Bravyi-Kitaev mapping of BeH2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-12.109913082430284+0j)
IIIIIIIIIIIIIZ (2.2171347906711634+0j)
IIIIIIIIIIIIZX (-0.03244503389443126+0j)
IIIIIIIIIIIIIX (0.03244503389443126+0j)
IIIIIIIIYIYIXX (0.025024027413175127+0j)
IIIIIIIIXZYIXY (-0.025024027413175127+0j)
IIIIIIIIIIIIZZ (0.008570336809177598+0j)
IIIIIIIIYIYIXZ (-0.028369382192993467+0j)
IIIIIIIIXZYIYI (0.028369382192993467+0j)
IIIIIIIIIIIZII (-0.02155379736967831+0j)
IIIIIIIYZIYXZI (-0.010844106329307622+0j)
IIIIIIIXZIYYZI (0.010844106329307622+0j)
IIIIIIIIIIZZZI (-0.14703256851988547+0j)
IIIIIIIIIZIIII (-0.1470325685198853+0j)
IIIIIIIIZZIIII (-0.27046926163730567+0j)
IIIIIIIZIIIIII (-0.49018407729572483+0j)
IIIIIIZZZIZIII (2.217134790671163+0j)
IIXIXYYZZIZIII (0.032445033894431236+0j)
IIXIXXXIIIIIII (0.032445033894431236+0j)
XYZIIIYZZIZIII (0.025024027413175116+0j)
XXZIIIXIIIIIII (0.025024027413175116+0j)
IIIIIZIIIIIIII (0.008570336809177168+0j)
XYYIXXIIIIIIII (-0.028369382192993495+0j)
XXYIXYIIIIIIII (0.028369382192993495+0j)
IIIIZZIIIIIIII (-0.021553797369678204+0j)
YIYIXZIIIIIIII (-0.01084410632930761+0j)
XZYIYIIIIIIIII (0.01084410632930761+0j)
IIIZIIIIIIIIII (-0.14703256851988541+0j)
IIZZZIIIIIIIII (-0.1470325685198854+0j)
IZIIIIIIIIIIII (-0.27046926163730595+0j)
ZZIIIIIIIIIIII (-0.4901840772957249+0j)
IIIIIIIIIIIIZI (0.11622280017997322+0j)
IIIIIIIIYIYIXI (-0.020705584480567602+0j)
IIIIIIIIXZYIYZ (0.020705584480567602+0j)
IIIIIIIIIIIZIZ (0.11423100554785275+0j)
IIIIIIIYZIYXZZ (-0.031696111244351226+0j)
IIIIIIIXZIYYZZ (0.031696111244351226+0j)
IIIIIIIIIIZZZZ (0.13835103444268612+0j)
IIIIIIIIIZIIIZ (0.13835103444268623+0j)
IIIIIIIIZZIIIZ (0.11356880406905016+0j)
IIIIIIIZIIIIIZ (0.13983738921622463+0j)
IIIIIIZZZIZIIZ (0.567866581501791+0j)
IIXIXYYZZIZIIZ (0.050207794132134095+0j)
IIXIXXXIIIIIIZ (0.050207794132134095+0j)
XYZIIIYZZIZIIZ (0.044671673136156595+0j)
XXZIIIXIIIIIIZ (0.044671673136156595+0j)
IIIIIZIIIIIIIZ (0.12303175502961902+0j)
XYYIXXIIIIIIIZ (-0.026933903862159703+0j)
XXYIXYIIIIIIIZ (0.026933903862159703+0j)
IIIIZZIIIIIIIZ (0.1157754503589181+0j)
YIYIXZIIIIIIIZ (-0.0345595978163892+0j)
XZYIYIIIIIIIIZ (0.0345595978163892+0j)
IIIZIIIIIIIIIZ (0.14229299196031547+0j)
IIZZZIIIIIIIIZ (0.14229299196031558+0j)
IZIIIIIIIIIIIZ (0.11933209515552604+0j)
ZZIIIIIIIIIIIZ (0.14526754648302317+0j)
IIIIIIIIYIYIYY (-3.875214412914999e-05+0j)
IIIIIIIIXZYIYX (-3.875214412914999e-05+0j)
IIIIIIIIIIIZZX (-0.004380679259245681+0j)
IIIIIIIIIIIZIX (0.004380679259245681+0j)
IIIIIIIYZIYXIX (0.00651020864099568+0j)
IIIIIIIXZIYYIX (-0.002144606570902468+0j)
IIIIIIIYZIYYZY (0.00436560207009321+0j)
IIIIIIIXZIYXIY (-0.00436560207009321+0j)
IIIIIIIYZIYXZX (-0.002144606570902468+0j)
IIIIIIIXZIYYZX (0.00651020864099568+0j)
IIIIIIIIIIZZIX (-0.0058790424234687975+0j)
IIIIIIIIIIZZZX (0.0058790424234687975+0j)
IIIIIIIIIZIIZX (-0.005879042423468801+0j)
IIIIIIIIIZIIIX (0.005879042423468801+0j)
IIIIIIIIZZIIZX (-0.0006988721068193675+0j)
IIIIIIIIZZIIIX (0.0006988721068193675+0j)
IIIIIIIZIIIIZX (-0.004102811672108251+0j)
IIIIIIIZIIIIIX (0.004102811672108251+0j)
IIIIIIZZZIZIZX (-0.050207794132134095+0j)
IIIIIIZZZIZIIX (0.050207794132134095+0j)
IIXIXYYZZIZIZX (-0.006808954849645805+0j)
IIXIXXXIIIIIZX (-0.006808954849645805+0j)
IIXIXYYZZIZIIX (0.006808954849645805+0j)
IIXIXXXIIIIIIX (0.006808954849645805+0j)
XYZIIIYZZIZIZX (-0.0062283193815921+0j)
XXZIIIXIIIIIZX (-0.0062283193815921+0j)
XYZIIIYZZIZIIX (0.0062283193815921+0j)
XXZIIIXIIIIIIX (0.0062283193815921+0j)
IIIIIZIIIIIIZX (-0.0017243074155991116+0j)
IIIIIZIIIIIIIX (0.0017243074155991116+0j)
XYYIXXIIIIIIZX (0.0016806933093403249+0j)
XXYIXYIIIIIIZX (-0.0016806933093403249+0j)
XYYIXXIIIIIIIX (-0.0016806933093403249+0j)
XXYIXYIIIIIIIX (0.0016806933093403249+0j)
IIIIZZIIIIIIZX (-0.0007215408112740118+0j)
IIIIZZIIIIIIIX (0.0007215408112740118+0j)
YIYIXZIIIIIIZX (0.0013110626161813215+0j)
XZYIYIIIIIIIZX (-0.0013110626161813215+0j)
YIYIXZIIIIIIIX (-0.0013110626161813215+0j)
XZYIYIIIIIIIIX (0.0013110626161813215+0j)
IIIZIIIIIIIIZX (-0.0020412486074172136+0j)
IIIZIIIIIIIIIX (0.0020412486074172136+0j)
IIZZZIIIIIIIZX (-0.002041248607417213+0j)
IIZZZIIIIIIIIX (0.002041248607417213+0j)
IZIIIIIIIIIIZX (-0.0016331538525335475+0j)
IZIIIIIIIIIIIX (0.0016331538525335475+0j)
ZZIIIIIIIIIIZX (-0.0023138699556311156+0j)
ZZIIIIIIIIIIIX (0.0023138699556311156+0j)
IIIIIIIIYIYZXX (0.00031692937658847674+0j)
IIIIIIIIXZYZXY (-0.00031692937658847674+0j)
IIIIIIIYYZIYYX (0.0034687869685246283+0j)
IIIIIIIXXIIYYX (0.0036748113105703082+0j)
IIIIIIIYXIIXYX (-0.00020602434204567988+0j)
IIIIIIIXYZIYYY (0.00020602434204567988+0j)
IIIIIIIYYZIXYY (-0.0036748113105703082+0j)
IIIIIIIXXIIXYY (-0.0034687869685246283+0j)
IIXIYIYZZIZYYX (0.0015444448110653575+0j)
IIXIXZXIIIIYYX (0.0015444448110653575+0j)
IIXIYIYZZIZXYY (-0.0015444448110653575+0j)
IIXIXZXIIIIXYY (-0.0015444448110653575+0j)
YIZIIIYZZIZYYX (0.002863486572037971+0j)
XZZIIIXIIIIYYX (0.002863486572037971+0j)
YIZIIIYZZIZXYY (-0.002863486572037971+0j)
XZZIIIXIIIIXYY (-0.002863486572037971+0j)
IIIIZXIIIIIYYX (-0.0036591384479716686+0j)
IIIIIXIIIIIYYX (0.0036591384479716686+0j)
IIIIZXIIIIIXYY (0.0036591384479716686+0j)
IIIIIXIIIIIXYY (-0.0036591384479716686+0j)
YIYIXXIIIIIYYX (0.0008335439547211461+0j)
XZYIXYIIIIIYYX (-0.0008335439547211461+0j)
YIYIXXIIIIIXYY (-0.0008335439547211461+0j)
XZYIXYIIIIIXYY (0.0008335439547211461+0j)
XYYIXZIIIIIYYX (-0.0007462478602607016+0j)
XXYIYIIIIIIYYX (0.0007462478602607016+0j)
XYYIXZIIIIIXYY (0.0007462478602607016+0j)
XXYIYIIIIIIXYY (-0.0007462478602607016+0j)
ZXIIIIIIIIIYYX (-0.002869889314662391+0j)
IXIIIIIIIIIYYX (0.002869889314662391+0j)
ZXIIIIIIIIIXYY (0.002869889314662391+0j)
IXIIIIIIIIIXYY (-0.002869889314662391+0j)
IIIIIIIIYIXZYX (0.005226423196581951+0j)
IIIIIIIIXZXZYY (-0.005226423196581951+0j)
IIXYZIYZZIIIXX (-0.0039419575176293555+0j)
IIXXZIXIIIZIXX (-0.0039419575176293555+0j)
IIXYZIYZZIZZYY (-0.0039419575176293555+0j)
IIXXZIXIIIIZYY (-0.0039419575176293555+0j)
IIIYYXIIIIZIXX (-0.003837793816051584+0j)
IIIXYYIIIIZIXX (0.003837793816051584+0j)
IIIYYXIIIIIZYY (-0.003837793816051584+0j)
