Jordan-Wigner mapping of BeH2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-12.109913082430284+0j)
IIIIIIIIIIIIIZ (2.2171347906711634+0j)
IIIIIIIIIIIIYY (0.03244503389443126+0j)
IIIIIIIIIIIIXX (0.03244503389443126+0j)
IIIIIIIIYZZZZY (0.025024027413175127+0j)
IIIIIIIIXZZZZX (0.025024027413175127+0j)
IIIIIIIIIIIIZI (0.008570336809177598+0j)
IIIIIIIIYZZZYI (-0.028369382192993467+0j)
IIIIIIIIXZZZXI (-0.028369382192993467+0j)
IIIIIIIIIIIZII (-0.02155379736967831+0j)
IIIIIIIYZZZYII (-0.010844106329307622+0j)
IIIIIIIXZZZXII (-0.010844106329307622+0j)
IIIIIIIIIIZIII (-0.14703256851988547+0j)
IIIIIIIIIZIIII (-0.1470325685198853+0j)
IIIIIIIIZIIIII (-0.27046926163730567+0j)
IIIIIIIZIIIIII (-0.49018407729572483+0j)
IIIIIIZIIIIIII (2.217134790671163+0j)
IIIIIYYIIIIIII (0.032445033894431236+0j)
IIIIIXXIIIIIII (0.032445033894431236+0j)
IYZZZZYIIIIIII (0.025024027413175116+0j)
IXZZZZXIIIIIII (0.025024027413175116+0j)
IIIIIZIIIIIIII (0.008570336809177168+0j)
IYZZZYIIIIIIII (-0.028369382192993495+0j)
IXZZZXIIIIIIII (-0.028369382192993495+0j)
IIIIZIIIIIIIII (-0.021553797369678204+0j)
YZZZYIIIIIIIII (-0.01084410632930761+0j)
XZZZXIIIIIIIII (-0.01084410632930761+0j)
IIIZIIIIIIIIII (-0.14703256851988541+0j)
IIZIIIIIIIIIII (-0.1470325685198854+0j)
IZIIIIIIIIIIII (-0.27046926163730595+0j)
ZIIIIIIIIIIIII (-0.4901840772957249+0j)
IIIIIIIIIIIIZZ (0.11622280017997322+0j)
IIIIIIIIYZZZYZ (-0.020705584480567602+0j)
IIIIIIIIXZZZXZ (-0.020705584480567602+0j)
IIIIIIIIIIIZIZ (0.11423100554785275+0j)
IIIIIIIYZZZYIZ (-0.031696111244351226+0j)
IIIIIIIXZZZXIZ (-0.031696111244351226+0j)
IIIIIIIIIIZIIZ (0.13835103444268612+0j)
IIIIIIIIIZIIIZ (0.13835103444268623+0j)
IIIIIIIIZIIIIZ (0.11356880406905016+0j)
IIIIIIIZIIIIIZ (0.13983738921622463+0j)
IIIIIIZIIIIIIZ (0.567866581501791+0j)
IIIIIYYIIIIIIZ (0.050207794132134095+0j)
IIIIIXXIIIIIIZ (0.050207794132134095+0j)
IYZZZZYIIIIIIZ (0.044671673136156595+0j)
IXZZZZXIIIIIIZ (0.044671673136156595+0j)
IIIIIZIIIIIIIZ (0.12303175502961902+0j)
IYZZZYIIIIIIIZ (-0.026933903862159703+0j)
IXZZZXIIIIIIIZ (-0.026933903862159703+0j)
IIIIZIIIIIIIIZ (0.1157754503589181+0j)
YZZZYIIIIIIIIZ (-0.0345595978163892+0j)
XZZZXIIIIIIIIZ (-0.0345595978163892+0j)
IIIZIIIIIIIIIZ (0.14229299196031547+0j)
IIZIIIIIIIIIIZ (0.14229299196031558+0j)
IZIIIIIIIIIIIZ (0.11933209515552604+0j)
ZIIIIIIIIIIIIZ (0.14526754648302317+0j)
IIIIIIIIYZZZIY (3.875214412914999e-05+0j)
IIIIIIIIXZZZIX (3.875214412914999e-05+0j)
IIIIIIIIIIIZYY (0.004380679259245681+0j)
IIIIIIIIIIIZXX (0.004380679259245681+0j)
IIIIIIIYZZZYYY (-0.00651020864099568+0j)
IIIIIIIXZZZXYY (-0.002144606570902468+0j)
IIIIIIIYZZZXXY (-0.00436560207009321+0j)
IIIIIIIXZZZYYX (-0.00436560207009321+0j)
