Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-36.41716132236646+0j)
IIIIIIIIIIIIIIIZ (6.2936323656131705+0j)
IIIIIIIIIIIIIYYX (0.0408423806551054+0j)
IIIIIIIIIIIIIXYY (-0.0408423806551054+0j)
IIIIIIIIIIIIIIZZ (0.9281768347141793+0j)
IIIIIIIIIIYIYIXZ (-0.08517256136980261+0j)
IIIIIIIIIIXZYIYI (0.08517256136980261+0j)
IIIIIIIIIIIIIZII (0.6195474928439221+0j)
IIIIIIIIIIIIZZZI (0.6199816974856588+0j)
IIIIIIIIIIIZIIII (0.6199816974856598+0j)
IIIIIIIIIIZZIIII (0.5767942255609861+0j)
IIIIIIIIIZIIIIII (0.45710918425279196+0j)
IIIIIIIIZZZIZIII (0.4571091842527917+0j)
IIIIIIIZIIIIIIII (6.293632365613173+0j)
IIIIIYYXIIIIIIII (0.04084238065510542+0j)
IIIIIXYYIIIIIIII (-0.04084238065510542+0j)
IIIIIIZZIIIIIIII (0.9281768347141791+0j)
IIYIYIXZIIIIIIII (-0.08517256136980268+0j)
IIXZYIYIIIIIIIII (0.08517256136980268+0j)
IIIIIZIIIIIIIIII (0.6195474928439219+0j)
IIIIZZZIIIIIIIII (0.6199816974856596+0j)
IIIZIIIIIIIIIIII (0.61998169748566+0j)
IIZZIIIIIIIIIIII (0.576794225560985+0j)
IZIIIIIIIIIIIIII (0.4571091842527912+0j)
ZZZIZIIIZIIIIIII (0.4571091842527913+0j)
IIIIIIIIIIIIIIZI (0.16139357723513878+0j)
IIIIIIIIIIYIYIXI (-0.017313723583356058+0j)
IIIIIIIIIIXZYIYZ (0.017313723583356058+0j)
IIIIIIIIIIIIIZIZ (0.1399896566207328+0j)
IIIIIIIIIIIIZZZZ (0.14887799830660964+0j)
IIIIIIIIIIIZIIIZ (0.1488779983066097+0j)
IIIIIIIIIIZZIIIZ (0.15114555865816473+0j)
IIIIIIIIIZIIIIIZ (0.15629507022563335+0j)
IIIIIIIIZZZIZIIZ (0.15629507022563338+0j)
IIIIIIIZIIIIIIIZ (0.49086110920854814+0j)
IIIIIYYXIIIIIIIZ (0.04335575530630583+0j)
IIIIIXYYIIIIIIIZ (-0.04335575530630583+0j)
IIIIIIZZIIIIIIIZ (0.16895657075788753+0j)
IIYIYIXZIIIIIIIZ (-0.016062622983098834+0j)
IIXZYIYIIIIIIIIZ (0.016062622983098834+0j)
IIIIIZIIIIIIIIIZ (0.14697008934301894+0j)
IIIIZZZIIIIIIIIZ (0.15113123336739723+0j)
IIIZIIIIIIIIIIIZ (0.15113123336739728+0j)
IIZZIIIIIIIIIIIZ (0.15407030061554947+0j)
IZIIIIIIIIIIIIIZ (0.159783280739081+0j)
ZZZIZIIIZIIIIIIZ (0.15978328073908102+0j)
IIIIIIIIIIIIIYXY (0.0017567033816539733+0j)
IIIIIIIIIIIIIXXX (0.0017567033816539733+0j)
IIIIIIIIIIYIYXIX (-0.0033924477441524413+0j)
IIIIIIIIIIXZYYIX (0.00406473576231663+0j)
IIIIIIIIIIYIYYZY (0.0006722880181641886+0j)
IIIIIIIIIIXZYXIY (-0.0006722880181641886+0j)
IIIIIIIIIIYIYXZX (0.00406473576231663+0j)
IIIIIIIIIIXZYYZX (-0.0033924477441524413+0j)
IIIIIIIIIYZIYZIX (-0.0016442898437600596+0j)
IIIIIIIIIXZIXIZX (-0.0012222461933954537+0j)
IIIIIIIIIYZIXIIY (0.0004220436503646057+0j)
IIIIIIIIIXZIYZIY (0.0004220436503646057+0j)
IIIIIIIIIYZIYZZX (0.0012222461933954537+0j)
IIIIIIIIIXZIXIIX (0.0016442898437600596+0j)
IIIIIIIIZIIIXZIX (-0.00634440705411237+0j)
IIIIIIIIIZZIXIZX (0.004715973525390004+0j)
IIIIIIIIZIIIYIIY (-0.0016284335287223652+0j)
IIIIIIIIIZZIYZIY (-0.0016284335287223652+0j)
IIIIIIIIZIIIXZZX (0.004715973525390004+0j)
IIIIIIIIIZZIXIIX (-0.00634440705411237+0j)
IIIIIIIIIYYXIIZX (0.006344407054112376+0j)
IIIIIIIIIXYYIIZX (-0.004715973525390009+0j)
IIIIIIIIIYYYIIIY (0.0016284335287223657+0j)
IIIIIIIIIXYXIIZY (-0.0016284335287223657+0j)
IIIIIIIIIYYXIIIX (-0.004715973525390009+0j)
IIIIIIIIIXYYIIIX (0.006344407054112376+0j)
IIIIIIIIZIXXZIZX (-0.0016442898437600544+0j)
IIIIIIIIIZYYIIZX (-0.0012222461933954502+0j)
IIIIIIIIZIXYZIIY (-0.0004220436503646042+0j)
IIIIIIIIIZYXIIZY (-0.0004220436503646042+0j)
IIIIIIIIZIXXZIIX (0.0012222461933954502+0j)
IIIIIIIIIZYYIIIX (0.0016442898437600544+0j)
IIIIIIZXIIIIIIZX (0.007562993522748745+0j)
IIIIIIIXIIIIIIZX (-0.007562993522748745+0j)
IIIIIIZXIIIIIIIX (-0.007562993522748745+0j)
IIIIIIIXIIIIIIIX (0.007562993522748745+0j)
IIYIYIXXIIIIIIZX (0.0012511006002572257+0j)
IIXZYIXYIIIIIIZX (-0.0012511006002572257+0j)
IIYIYIXXIIIIIIIX (-0.0012511006002572257+0j)
IIXZYIXYIIIIIIIX (0.0012511006002572257+0j)
IIIIIYYZIIIIIIZX (0.002332108214760327+0j)
IIIIIXXIIIIIIIZX (0.002332108214760327+0j)
IIIIIYYZIIIIIIIX (-0.002332108214760327+0j)
IIIIIXXIIIIIIIIX (-0.002332108214760327+0j)
IIYIYXZIIIIIIIZX (-0.0026398981309504435+0j)
IIXZYYZIIIIIIIZX (0.0026398981309504435+0j)
IIYIYXZIIIIIIIIX (0.0026398981309504435+0j)
IIXZYYZIIIIIIIIX (-0.0026398981309504435+0j)
IYZIYZZIIIIIIIZX (-0.0005089427850248747+0j)
IXZIXIIIIIIIIIZX (-0.0005089427850248747+0j)
IYZIYZZIIIIIIIIX (0.0005089427850248747+0j)
