Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-61.68813609254261+0j)
IIIIIIIIIIIIIIIIIZ (6.8897215773691025+0j)
IIIIIIIIIIIIIIIYYX (0.08356504559916245+0j)
IIIIIIIIIIIIIIIXYY (-0.08356504559916245+0j)
IIIIIIIIIIIYZIYIXX (-0.04193361381969266+0j)
IIIIIIIIIIIXZIYIXY (0.04193361381969266+0j)
IIIIIIIIIIIIIIIIZZ (6.889343992499907+0j)
IIIIIIIIIIIIIIZIXZ (-0.0858515536964587+0j)
IIIIIIIIIIIIIIIZXI (0.0858515536964587+0j)
IIIIIIIIIIIIIIIZII (1.2584509058202165+0j)
IIIIIIIIIIIYZIYXZI (-0.118422205722748+0j)
IIIIIIIIIIIXZIYYZI (0.118422205722748+0j)
IIIIIIIIIIIIIIZZZI (0.9065811742094417+0j)
IIIIIIIIIIIIIZIIII (0.919836007838942+0j)
IIIIIIIIIIIIZZIIII (0.9198360078389424+0j)
IIIIIIIIIIIZIIIIII (0.8817577407323345+0j)
IIIIIIIIIIZZZIZIII (0.7733322981154378+0j)
IIIIIIIIIZIIIIIIII (0.7733322981154379+0j)
IIIIIIIIZZIIIIIIII (6.889721577369102+0j)
IIIIIIZIXZIIIIIIII (-0.08356504559916245+0j)
IIIIIIIZXIIIIIIIII (0.08356504559916245+0j)
IIZIIIXIXZZIIIIIII (0.041933613819692635+0j)
IIIZZIYIYIIIIIIIII (0.041933613819692635+0j)
IIIIIIIZIIIIIIIIII (6.8893439924999+0j)
IIIIXYYXZIIIIIIIII (0.08585155369645865+0j)
IIIIXXYYZIIIIIIIII (-0.08585155369645865+0j)
IIIIIIZZZIIIIIIIII (1.258450905820216+0j)
IIZIIIXZZIZIIIIIII (0.118422205722748+0j)
IIIZZIXIIIIIIIIIII (-0.118422205722748+0j)
IIIIIZIIIIIIIIIIII (0.9065811742094417+0j)
IIIIZZIIIIIIIIIIII (0.9198360078389418+0j)
IIIZIIIIIIIIIIIIII (0.919836007838943+0j)
IIZZZIZIIIZIIIIIII (0.8817577407323343+0j)
