Bravyi-Kitaev mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-62.50754225107464+0j)
IIIIIIIIIIIIIIIIIIIZ (6.505650337176555+0j)
IIIIIIIIIIIIIIIIIYYX (0.07787717050014567+0j)
IIIIIIIIIIIIIIIIIXYY (-0.07787717050014567+0j)
IIIIIIIIIIIIIYZIYIXX (-0.02931124512470973+0j)
IIIIIIIIIIIIIXZIYIXY (0.02931124512470973+0j)
IIIIIIIIIIIIIIIIIIZZ (6.505502413924979+0j)
IIIIIIIIIIIIIIIIZIXZ (-0.07263171883994646+0j)
IIIIIIIIIIIIIIIIIZXI (0.07263171883994646+0j)
IIIIIIIIXIYIYIIIXIXZ (-0.04082453940907417+0j)
IIIIIIIIXIXZYIIIXIYI (0.04082453940907417+0j)
IIIIIIIIIIIIIIIIIZII (0.9710737200409365+0j)
IIIIIIIIIIIIIYZIYXZI (-0.0879235361110759+0j)
IIIIIIIIIIIIIXZIYYZI (0.0879235361110759+0j)
IIIIIIIIIIIIIIIIZZZI (0.6711106494857112+0j)
IIIIIIIIXIYIYIIIXZZI (0.03833545061645892+0j)
IIIIIIIIXIXZYIIIYIII (-0.03833545061645892+0j)
IIIIIIIIIIIIIIIZIIII (0.6554210008820975+0j)
IIIIIIIIIIIIIIZZIIII (0.6554210008821002+0j)
IIIIIIIIIIIIIZIIIIII (0.6347924114972814+0j)
IIIIIIIIIIIIZZZIZIII (0.5106997448151026+0j)
IIIIIIIIIIIZIIIIIIII (0.5106997448151026+0j)
IIIIIIIIIIZZIIIIIIII (0.3263941521656717+0j)
IIIIIIIIIZIIIIIIIIII (6.50565033717656+0j)
IIIIIIXYYXZIIIIIIIII (0.07787717050014573+0j)
IIIIIIXXYYZIIIIIIIII (-0.07787717050014573+0j)
XIXYYIIIXXZIZIIIIIII (-0.029311245124709707+0j)
XIXXYIIIXYZIZIIIIIII (0.029311245124709707+0j)
IIIIIIIIZZZIIIIIIIII (6.505502413924973+0j)
IIIIIIYIYZZIIIIIIIII (0.0726317188399465+0j)
IIIIIIXZXIIIIIIIIIII (0.0726317188399465+0j)
YIIIYIIIXZZIZIIIIIII (-0.04082453940907421+0j)
XZZIYIIIYIIIZIIIIIII (0.04082453940907421+0j)
IIIIIIIZIIIIIIIIIIII (0.9710737200409367+0j)
XIXYYIXXZIIIZIIIIIII (-0.08792353611107585+0j)
XIXXYIXYZIIIZIIIIIII (0.08792353611107585+0j)
IIIIIIZZIIIIIIIIIIII (0.6711106494857113+0j)
YIIIYIXZZIIIZIIIIIII (0.03833545061645893+0j)
XZZIYIYIZIIIZIIIIIII (-0.03833545061645893+0j)
IIIIIZIIIIIIIIIIIIII (0.6554210008820979+0j)
IIIIZZZIZIIIZIIIIIII (0.6554210008821003+0j)
IIIZIIIIIIIIIIIIIIII (0.6347924114972813+0j)
IIZZIIIIIIIIIIIIIIII (0.5106997448151037+0j)
IZIIIIIIIIIIIIIIIIII (0.510699744815103+0j)
ZZZIIIIIIIIIIIIIIIII (0.3263941521656707+0j)
IIIIIIIIIIIIIIIIIIZI (0.10479090573311334+0j)
IIIIIIIIIIIIIIIIZIXI (-0.0016498339836929568+0j)
IIIIIIIIIIIIIIIIIZXZ (0.0016498339836929568+0j)
IIIIIIIIXIYIYIIIXIXI (0.004247796519602588+0j)
IIIIIIIIXIXZYIIIXIYZ (-0.004247796519602588+0j)
IIIIIIIIIIIIIIIIIZIZ (0.16133692256832696+0j)
IIIIIIIIIIIIIYZIYXZZ (-0.017204367783438233+0j)
IIIIIIIIIIIIIXZIYYZZ (0.017204367783438233+0j)
IIIIIIIIIIIIIIIIZZZZ (0.14005122006251808+0j)
