Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-36.41716132236646+0j)
IIIIIIIIIIIIIIIZ (6.2936323656131705+0j)
IIIIIIIIIIIIIYZY (0.0408423806551054+0j)
IIIIIIIIIIIIIXZX (0.0408423806551054+0j)
IIIIIIIIIIIIIIZI (0.9281768347141793+0j)
IIIIIIIIIIYZZZYI (-0.08517256136980261+0j)
IIIIIIIIIIXZZZXI (-0.08517256136980261+0j)
IIIIIIIIIIIIIZII (0.6195474928439221+0j)
IIIIIIIIIIIIZIII (0.6199816974856588+0j)
IIIIIIIIIIIZIIII (0.6199816974856598+0j)
IIIIIIIIIIZIIIII (0.5767942255609861+0j)
IIIIIIIIIZIIIIII (0.45710918425279196+0j)
IIIIIIIIZIIIIIII (0.4571091842527917+0j)
IIIIIIIZIIIIIIII (6.293632365613173+0j)
IIIIIYZYIIIIIIII (0.04084238065510542+0j)
IIIIIXZXIIIIIIII (0.04084238065510542+0j)
IIIIIIZIIIIIIIII (0.9281768347141791+0j)
IIYZZZYIIIIIIIII (-0.08517256136980268+0j)
IIXZZZXIIIIIIIII (-0.08517256136980268+0j)
IIIIIZIIIIIIIIII (0.6195474928439219+0j)
IIIIZIIIIIIIIIII (0.6199816974856596+0j)
IIIZIIIIIIIIIIII (0.61998169748566+0j)
IIZIIIIIIIIIIIII (0.576794225560985+0j)
IZIIIIIIIIIIIIII (0.4571091842527912+0j)
ZIIIIIIIIIIIIIII (0.4571091842527913+0j)
IIIIIIIIIIIIIIZZ (0.16139357723513878+0j)
IIIIIIIIIIYZZZYZ (-0.017313723583356058+0j)
IIIIIIIIIIXZZZXZ (-0.017313723583356058+0j)
IIIIIIIIIIIIIZIZ (0.1399896566207328+0j)
IIIIIIIIIIIIZIIZ (0.14887799830660964+0j)
IIIIIIIIIIIZIIIZ (0.1488779983066097+0j)
IIIIIIIIIIZIIIIZ (0.15114555865816473+0j)
IIIIIIIIIZIIIIIZ (0.15629507022563335+0j)
IIIIIIIIZIIIIIIZ (0.15629507022563338+0j)
IIIIIIIZIIIIIIIZ (0.49086110920854814+0j)
IIIIIYZYIIIIIIIZ (0.04335575530630583+0j)
IIIIIXZXIIIIIIIZ (0.04335575530630583+0j)
IIIIIIZIIIIIIIIZ (0.16895657075788753+0j)
IIYZZZYIIIIIIIIZ (-0.016062622983098834+0j)
IIXZZZXIIIIIIIIZ (-0.016062622983098834+0j)
IIIIIZIIIIIIIIIZ (0.14697008934301894+0j)
IIIIZIIIIIIIIIIZ (0.15113123336739723+0j)
IIIZIIIIIIIIIIIZ (0.15113123336739728+0j)
IIZIIIIIIIIIIIIZ (0.15407030061554947+0j)
IZIIIIIIIIIIIIIZ (0.159783280739081+0j)
ZIIIIIIIIIIIIIIZ (0.15978328073908102+0j)
IIIIIIIIIIIIIYIY (0.0017567033816539733+0j)
IIIIIIIIIIIIIXIX (0.0017567033816539733+0j)
IIIIIIIIIIYZZYYY (0.0033924477441524413+0j)
IIIIIIIIIIXZZXYY (0.00406473576231663+0j)
IIIIIIIIIIYZZXXY (-0.0006722880181641886+0j)
IIIIIIIIIIXZZYYX (-0.0006722880181641886+0j)
IIIIIIIIIIYZZYXX (0.00406473576231663+0j)
IIIIIIIIIIXZZXXX (0.0033924477441524413+0j)
IIIIIIIIIYZZYIYY (0.0016442898437600596+0j)
IIIIIIIIIXZZXIYY (0.0012222461933954537+0j)
IIIIIIIIIYZZXIXY (0.0004220436503646057+0j)
IIIIIIIIIXZZYIYX (0.0004220436503646057+0j)
IIIIIIIIIYZZYIXX (0.0012222461933954537+0j)
IIIIIIIIIXZZXIXX (0.0016442898437600596+0j)
IIIIIIIIYZZZYIYY (-0.00634440705411237+0j)
IIIIIIIIXZZZXIYY (-0.004715973525390004+0j)
IIIIIIIIYZZZXIXY (-0.0016284335287223652+0j)
IIIIIIIIXZZZYIYX (-0.0016284335287223652+0j)
IIIIIIIIYZZZYIXX (-0.004715973525390004+0j)
IIIIIIIIXZZZXIXX (-0.00634440705411237+0j)
IIIIIIIIIYZYIIYY (-0.006344407054112376+0j)
IIIIIIIIIXZXIIYY (-0.004715973525390009+0j)
IIIIIIIIIYZXIIXY (-0.0016284335287223657+0j)
IIIIIIIIIXZYIIYX (-0.0016284335287223657+0j)
IIIIIIIIIYZYIIXX (-0.004715973525390009+0j)
IIIIIIIIIXZXIIXX (-0.006344407054112376+0j)
IIIIIIIIYZZYIIYY (-0.0016442898437600544+0j)
IIIIIIIIXZZXIIYY (-0.0012222461933954502+0j)
IIIIIIIIYZZXIIXY (-0.0004220436503646042+0j)
IIIIIIIIXZZYIIYX (-0.0004220436503646042+0j)
IIIIIIIIYZZYIIXX (-0.0012222461933954502+0j)
IIIIIIIIXZZXIIXX (-0.0016442898437600544+0j)
IIIIIIYYIIIIIIYY (0.007562993522748745+0j)
IIIIIIXXIIIIIIYY (0.007562993522748745+0j)
IIIIIIYYIIIIIIXX (0.007562993522748745+0j)
IIIIIIXXIIIIIIXX (0.007562993522748745+0j)
IIYZZZZYIIIIIIYY (-0.0012511006002572257+0j)
IIXZZZZXIIIIIIYY (-0.0012511006002572257+0j)
IIYZZZZYIIIIIIXX (-0.0012511006002572257+0j)
IIXZZZZXIIIIIIXX (-0.0012511006002572257+0j)
IIIIIYYIIIIIIIYY (-0.002332108214760327+0j)
IIIIIXXIIIIIIIYY (-0.002332108214760327+0j)
IIIIIYYIIIIIIIXX (-0.002332108214760327+0j)
IIIIIXXIIIIIIIXX (-0.002332108214760327+0j)
IIYZZYIIIIIIIIYY (0.0026398981309504435+0j)
IIXZZXIIIIIIIIYY (0.0026398981309504435+0j)
IIYZZYIIIIIIIIXX (0.0026398981309504435+0j)
IIXZZXIIIIIIIIXX (0.0026398981309504435+0j)
IYZZYIIIIIIIIIYY (0.0005089427850248747+0j)
IXZZXIIIIIIIIIYY (0.0005089427850248747+0j)
IYZZYIIIIIIIIIXX (0.0005089427850248747+0j)
IXZZXIIIIIIIIIXX (0.0005089427850248747+0j)
YZZZYIIIIIIIIIYY (-0.001963729331361477+0j)
XZZZXIIIIIIIIIYY (-0.001963729331361477+0j)
YZZZYIIIIIIIIIXX (-0.001963729331361477+0j)
XZZZXIIIIIIIIIXX (-0.001963729331361477+0j)
IYZYIIIIIIIIIIYY (-0.001963729331361482+0j)
IXZXIIIIIIIIIIYY (-0.001963729331361482+0j)
IYZYIIIIIIIIIIXX (-0.001963729331361482+0j)
IXZXIIIIIIIIIIXX (-0.001963729331361482+0j)
YZZYIIIIIIIIIIYY (-0.0005089427850248732+0j)
XZZXIIIIIIIIIIYY (-0.0005089427850248732+0j)
YZZYIIIIIIIIIIXX (-0.0005089427850248732+0j)
XZZXIIIIIIIIIIXX (-0.0005089427850248732+0j)
IIIIIIIIIIIIZYZY (0.004557485324819564+0j)
IIIIIIIIIIIIZXZX (0.004557485324819564+0j)
IIIIIIIIIIIZIYZY (0.004557485324819569+0j)
IIIIIIIIIIIZIXZX (0.004557485324819569+0j)
IIIIIIIIIIZIIYZY (0.004964267598456749+0j)
IIIIIIIIIIZIIXZX (0.004964267598456749+0j)
IIIIIIIIIZIIIYZY (0.006258293357573534+0j)
IIIIIIIIIZIIIXZX (0.006258293357573534+0j)
IIIIIIIIZIIIIYZY (0.0062582933575735245+0j)
IIIIIIIIZIIIIXZX (0.0062582933575735245+0j)
IIIIIIIZIIIIIYZY (0.04335575530630583+0j)
IIIIIIIZIIIIIXZX (0.04335575530630583+0j)
IIIIIYZYIIIIIYZY (0.006980432722286164+0j)
IIIIIXZXIIIIIYZY (0.006980432722286164+0j)
IIIIIYZYIIIIIXZX (0.006980432722286164+0j)
IIIIIXZXIIIIIXZX (0.006980432722286164+0j)
