Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-61.68813609254261+0j)
IIIIIIIIIIIIIIIIIZ (6.8897215773691025+0j)
IIIIIIIIIIIIIIIYZY (0.08356504559916245+0j)
IIIIIIIIIIIIIIIXZX (0.08356504559916245+0j)
IIIIIIIIIIIYZZZZZY (-0.04193361381969266+0j)
IIIIIIIIIIIXZZZZZX (-0.04193361381969266+0j)
IIIIIIIIIIIIIIIIZI (6.889343992499907+0j)
IIIIIIIIIIIIIIYZYI (0.0858515536964587+0j)
IIIIIIIIIIIIIIXZXI (0.0858515536964587+0j)
IIIIIIIIIIIIIIIZII (1.2584509058202165+0j)
IIIIIIIIIIIYZZZYII (-0.118422205722748+0j)
IIIIIIIIIIIXZZZXII (-0.118422205722748+0j)
IIIIIIIIIIIIIIZIII (0.9065811742094417+0j)
IIIIIIIIIIIIIZIIII (0.919836007838942+0j)
IIIIIIIIIIIIZIIIII (0.9198360078389424+0j)
IIIIIIIIIIIZIIIIII (0.8817577407323345+0j)
IIIIIIIIIIZIIIIIII (0.7733322981154378+0j)
IIIIIIIIIZIIIIIIII (0.7733322981154379+0j)
IIIIIIIIZIIIIIIIII (6.889721577369102+0j)
IIIIIIYZYIIIIIIIII (0.08356504559916245+0j)
IIIIIIXZXIIIIIIIII (0.08356504559916245+0j)
IIYZZZZZYIIIIIIIII (-0.041933613819692635+0j)
IIXZZZZZXIIIIIIIII (-0.041933613819692635+0j)
IIIIIIIZIIIIIIIIII (6.8893439924999+0j)
IIIIIYZYIIIIIIIIII (0.08585155369645865+0j)
IIIIIXZXIIIIIIIIII (0.08585155369645865+0j)
IIIIIIZIIIIIIIIIII (1.258450905820216+0j)
IIYZZZYIIIIIIIIIII (-0.118422205722748+0j)
IIXZZZXIIIIIIIIIII (-0.118422205722748+0j)
IIIIIZIIIIIIIIIIII (0.9065811742094417+0j)
IIIIZIIIIIIIIIIIII (0.9198360078389418+0j)
IIIZIIIIIIIIIIIIII (0.919836007838943+0j)
IIZIIIIIIIIIIIIIII (0.8817577407323343+0j)
IZIIIIIIIIIIIIIIII (0.7733322981154378+0j)
ZIIIIIIIIIIIIIIIII (0.7733322981154379+0j)
IIIIIIIIIIIIIIIIZZ (0.10479090573311328+0j)
IIIIIIIIIIIIIIYZYZ (0.0016498339836929499+0j)
IIIIIIIIIIIIIIXZXZ (0.0016498339836929499+0j)
IIIIIIIIIIIIIIIZIZ (0.16133692256832707+0j)
IIIIIIIIIIIYZZZYIZ (-0.017204367783438236+0j)
IIIIIIIIIIIXZZZXIZ (-0.017204367783438236+0j)
IIIIIIIIIIIIIIZIIZ (0.14005122006251805+0j)
IIIIIIIIIIIIIZIIIZ (0.1487351921805507+0j)
IIIIIIIIIIIIZIIIIZ (0.14873519218055078+0j)
IIIIIIIIIIIZIIIIIZ (0.15088370406921048+0j)
IIIIIIIIIIZIIIIIIZ (0.15644905498389772+0j)
IIIIIIIIIZIIIIIIIZ (0.1564490549838978+0j)
IIIIIIIIZIIIIIIIIZ (0.4909806435923954+0j)
IIIIIIYZYIIIIIIIIZ (0.04459551424241066+0j)
IIIIIIXZXIIIIIIIIZ (0.04459551424241066+0j)
IIYZZZZZYIIIIIIIIZ (-0.014516632710289589+0j)
IIXZZZZZXIIIIIIIIZ (-0.014516632710289589+0j)
IIIIIIIZIIIIIIIIIZ (0.49092072115361296+0j)
IIIIIYZYIIIIIIIIIZ (0.04335933905766109+0j)
IIIIIXZXIIIIIIIIIZ (0.04335933905766109+0j)
IIIIIIZIIIIIIIIIIZ (0.16893714853770833+0j)
IIYZZZYIIIIIIIIIIZ (-0.016045276569507418+0j)
IIXZZZXIIIIIIIIIIZ (-0.016045276569507418+0j)
IIIIIZIIIIIIIIIIIZ (0.1469824613030027+0j)
IIIIZIIIIIIIIIIIIZ (0.15111911817273477+0j)
IIIZIIIIIIIIIIIIIZ (0.15111911817273485+0j)
IIZIIIIIIIIIIIIIIZ (0.15407981110213748+0j)
IZIIIIIIIIIIIIIIIZ (0.1597740588787506+0j)
ZIIIIIIIIIIIIIIIIZ (0.15977405887875068+0j)
IIIIIIIIIIIIIIIYIY (-0.001236312752842611+0j)
IIIIIIIIIIIIIIIXIX (-0.001236312752842611+0j)
IIIIIIIIIIIYZZZZIY (-0.003697700633154438+0j)
