Jordan-Wigner mapping of C2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-62.50754225107464+0j)
IIIIIIIIIIIIIIIIIIIZ (6.505650337176555+0j)
IIIIIIIIIIIIIIIIIYZY (0.07787717050014567+0j)
IIIIIIIIIIIIIIIIIXZX (0.07787717050014567+0j)
IIIIIIIIIIIIIYZZZZZY (-0.02931124512470973+0j)
IIIIIIIIIIIIIXZZZZZX (-0.02931124512470973+0j)
IIIIIIIIIIIIIIIIIIZI (6.505502413924979+0j)
IIIIIIIIIIIIIIIIYZYI (0.07263171883994646+0j)
IIIIIIIIIIIIIIIIXZXI (0.07263171883994646+0j)
IIIIIIIIIIYZZZZZZZYI (-0.04082453940907417+0j)
IIIIIIIIIIXZZZZZZZXI (-0.04082453940907417+0j)
IIIIIIIIIIIIIIIIIZII (0.9710737200409365+0j)
IIIIIIIIIIIIIYZZZYII (-0.0879235361110759+0j)
IIIIIIIIIIIIIXZZZXII (-0.0879235361110759+0j)
IIIIIIIIIIIIIIIIZIII (0.6711106494857112+0j)
IIIIIIIIIIYZZZZZYIII (0.03833545061645892+0j)
IIIIIIIIIIXZZZZZXIII (0.03833545061645892+0j)
IIIIIIIIIIIIIIIZIIII (0.6554210008820975+0j)
IIIIIIIIIIIIIIZIIIII (0.6554210008821002+0j)
IIIIIIIIIIIIIZIIIIII (0.6347924114972814+0j)
IIIIIIIIIIIIZIIIIIII (0.5106997448151026+0j)
IIIIIIIIIIIZIIIIIIII (0.5106997448151026+0j)
IIIIIIIIIIZIIIIIIIII (0.3263941521656717+0j)
IIIIIIIIIZIIIIIIIIII (6.50565033717656+0j)
IIIIIIIYZYIIIIIIIIII (0.07787717050014573+0j)
IIIIIIIXZXIIIIIIIIII (0.07787717050014573+0j)
IIIYZZZZZYIIIIIIIIII (-0.029311245124709707+0j)
IIIXZZZZZXIIIIIIIIII (-0.029311245124709707+0j)
IIIIIIIIZIIIIIIIIIII (6.505502413924973+0j)
IIIIIIYZYIIIIIIIIIII (0.0726317188399465+0j)
IIIIIIXZXIIIIIIIIIII (0.0726317188399465+0j)
YZZZZZZZYIIIIIIIIIII (-0.04082453940907421+0j)
XZZZZZZZXIIIIIIIIIII (-0.04082453940907421+0j)
IIIIIIIZIIIIIIIIIIII (0.9710737200409367+0j)
IIIYZZZYIIIIIIIIIIII (-0.08792353611107585+0j)
IIIXZZZXIIIIIIIIIIII (-0.08792353611107585+0j)
IIIIIIZIIIIIIIIIIIII (0.6711106494857113+0j)
YZZZZZYIIIIIIIIIIIII (0.03833545061645893+0j)
XZZZZZXIIIIIIIIIIIII (0.03833545061645893+0j)
IIIIIZIIIIIIIIIIIIII (0.6554210008820979+0j)
IIIIZIIIIIIIIIIIIIII (0.6554210008821003+0j)
IIIZIIIIIIIIIIIIIIII (0.6347924114972813+0j)
IIZIIIIIIIIIIIIIIIII (0.5106997448151037+0j)
IZIIIIIIIIIIIIIIIIII (0.510699744815103+0j)
ZIIIIIIIIIIIIIIIIIII (0.3263941521656707+0j)
IIIIIIIIIIIIIIIIIIZZ (0.10479090573311334+0j)
IIIIIIIIIIIIIIIIYZYZ (0.0016498339836929568+0j)
IIIIIIIIIIIIIIIIXZXZ (0.0016498339836929568+0j)
IIIIIIIIIIYZZZZZZZYZ (0.004247796519602588+0j)
IIIIIIIIIIXZZZZZZZXZ (0.004247796519602588+0j)
IIIIIIIIIIIIIIIIIZIZ (0.16133692256832696+0j)
IIIIIIIIIIIIIYZZZYIZ (-0.017204367783438233+0j)
IIIIIIIIIIIIIXZZZXIZ (-0.017204367783438233+0j)
IIIIIIIIIIIIIIIIZIIZ (0.14005122006251808+0j)
IIIIIIIIIIYZZZZZYIIZ (0.007781341581739614+0j)
IIIIIIIIIIXZZZZZXIIZ (0.007781341581739614+0j)
IIIIIIIIIIIIIIIZIIIZ (0.1487351921805507+0j)
IIIIIIIIIIIIIIZIIIIZ (0.1487351921805508+0j)
IIIIIIIIIIIIIZIIIIIZ (0.1508837040692105+0j)
IIIIIIIIIIIIZIIIIIIZ (0.15644905498389758+0j)
IIIIIIIIIIIZIIIIIIIZ (0.1564490549838976+0j)
IIIIIIIIIIZIIIIIIIIZ (0.18785629384453414+0j)
IIIIIIIIIZIIIIIIIIIZ (0.49098064359239507+0j)
IIIIIIIYZYIIIIIIIIIZ (0.04459551424241061+0j)
IIIIIIIXZXIIIIIIIIIZ (0.04459551424241061+0j)
IIIYZZZZZYIIIIIIIIIZ (-0.014516632710289565+0j)
IIIXZZZZZXIIIIIIIIIZ (-0.014516632710289565+0j)
IIIIIIIIZIIIIIIIIIIZ (0.49092072115361257+0j)
IIIIIIYZYIIIIIIIIIIZ (0.04335933905766105+0j)
IIIIIIXZXIIIIIIIIIIZ (0.04335933905766105+0j)
YZZZZZZZYIIIIIIIIIIZ (-0.028486041893160265+0j)
XZZZZZZZXIIIIIIIIIIZ (-0.028486041893160265+0j)
IIIIIIIZIIIIIIIIIIIZ (0.1689371485377082+0j)
IIIYZZZYIIIIIIIIIIIZ (-0.016045276569507414+0j)
IIIXZZZXIIIIIIIIIIIZ (-0.016045276569507414+0j)
IIIIIIZIIIIIIIIIIIIZ (0.1469824613030027+0j)
YZZZZZYIIIIIIIIIIIIZ (0.01125023104138262+0j)
XZZZZZXIIIIIIIIIIIIZ (0.01125023104138262+0j)
IIIIIZIIIIIIIIIIIIIZ (0.15111911817273477+0j)
IIIIZIIIIIIIIIIIIIIZ (0.15111911817273488+0j)
IIIZIIIIIIIIIIIIIIIZ (0.1540798111021375+0j)
IIZIIIIIIIIIIIIIIIIZ (0.15977405887875046+0j)
IZIIIIIIIIIIIIIIIIIZ (0.15977405887875049+0j)
ZIIIIIIIIIIIIIIIIIIZ (0.19621494634800263+0j)
IIIIIIIIIIIIIIIIIYIY (-0.0012363127528425902+0j)
IIIIIIIIIIIIIIIIIXIX (-0.0012363127528425902+0j)
IIIIIIIIIIIIIYZZZZIY (-0.003697700633154395+0j)
IIIIIIIIIIIIIXZZZZIX (-0.003697700633154395+0j)
IIIIIIIIIIIIIIIIYYYY (0.03822333663353918+0j)
IIIIIIIIIIIIIIIIXXYY (0.03825761443074009+0j)
IIIIIIIIIIIIIIIIYXXY (-3.427779720090521e-05+0j)
IIIIIIIIIIIIIIIIXYYX (-3.427779720090521e-05+0j)
IIIIIIIIIIIIIIIIYYXX (0.03825761443074009+0j)
IIIIIIIIIIIIIIIIXXXX (0.03822333663353918+0j)
IIIIIIIIIIYZZZZZZYYY (-0.03821121476497055+0j)
IIIIIIIIIIXZZZZZZXYY (-0.03812819582800728+0j)
IIIIIIIIIIYZZZZZZXXY (-8.301893696327414e-05+0j)
IIIIIIIIIIXZZZZZZYYX (-8.301893696327414e-05+0j)
IIIIIIIIIIYZZZZZZYXX (-0.03812819582800728+0j)
IIIIIIIIIIXZZZZZZXXX (-0.03821121476497055+0j)
IIIIIIIIIIIIIYZZYIYY (-0.04774560589871454+0j)
IIIIIIIIIIIIIXZZXIYY (-0.047857982641673034+0j)
IIIIIIIIIIIIIYZZXIXY (0.00011237674295849331+0j)
IIIIIIIIIIIIIXZZYIYX (0.00011237674295849331+0j)
IIIIIIIIIIIIIYZZYIXX (-0.047857982641673034+0j)
IIIIIIIIIIIIIXZZXIXX (-0.04774560589871454+0j)
IIIIIIIIIIIIYZZYIIYY (0.05821533151801084+0j)
IIIIIIIIIIIIXZZXIIYY (0.058070838577543+0j)
IIIIIIIIIIIIYZZXIIXY (0.00014449294046784897+0j)
IIIIIIIIIIIIXZZYIIYX (0.00014449294046784897+0j)
IIIIIIIIIIIIYZZYIIXX (0.058070838577543+0j)
IIIIIIIIIIIIXZZXIIXX (0.05821533151801084+0j)
IIIIIIIIIIIYZZZYIIYY (-0.0027429133744877807+0j)
IIIIIIIIIIIXZZZXIIYY (-0.002736105346282947+0j)
IIIIIIIIIIIYZZZXIIXY (-6.808028204833129e-06+0j)
IIIIIIIIIIIXZZZYIIYX (-6.808028204833129e-06+0j)
IIIIIIIIIIIYZZZYIIXX (-0.002736105346282947+0j)
IIIIIIIIIIIXZZZXIIXX (-0.0027429133744877807+0j)
IIIIIIIIIIIIYZYIIIYY (0.0027429133744877633+0j)
IIIIIIIIIIIIXZXIIIYY (0.0027361053462829307+0j)
IIIIIIIIIIIIYZXIIIXY (6.808028204833075e-06+0j)
IIIIIIIIIIIIXZYIIIYX (6.808028204833075e-06+0j)
IIIIIIIIIIIIYZYIIIXX (0.0027361053462829307+0j)
IIIIIIIIIIIIXZXIIIXX (0.0027429133744877633+0j)
IIIIIIIIIIIYZZYIIIYY (0.058215331518010865+0j)
IIIIIIIIIIIXZZXIIIYY (0.05807083857754301+0j)
IIIIIIIIIIIYZZXIIIXY (0.00014449294046784897+0j)
IIIIIIIIIIIXZZYIIIYX (0.00014449294046784897+0j)
IIIIIIIIIIIYZZYIIIXX (0.05807083857754301+0j)
IIIIIIIIIIIXZZXIIIXX (0.058215331518010865+0j)
IIIIIIIIIIYZZYIIIIYY (-0.04642895806229955+0j)
IIIIIIIIIIXZZXIIIIYY (-0.046141574948298715+0j)
IIIIIIIIIIYZZXIIIIXY (-0.00028738311400083264+0j)
IIIIIIIIIIXZZYIIIIYX (-0.00028738311400083264+0j)
IIIIIIIIIIYZZYIIIIXX (-0.046141574948298715+0j)
IIIIIIIIIIXZZXIIIIXX (-0.04642895806229955+0j)
IIIIIIIIYYIIIIIIIIYY (0.3861298154204992+0j)
IIIIIIIIXXIIIIIIIIYY (0.3861298154204992+0j)
IIIIIIIIYYIIIIIIIIXX (0.3861298154204992+0j)
IIIIIIIIXXIIIIIIIIXX (0.3861298154204992+0j)
IIIIIIYZZYIIIIIIIIYY (-0.041709505073968096+0j)
IIIIIIXZZXIIIIIIIIYY (-0.041709505073968096+0j)
IIIIIIYZZYIIIIIIIIXX (-0.041709505073968096+0j)
IIIIIIXZZXIIIIIIIIXX (-0.041709505073968096+0j)
YZZZZZZZZYIIIIIIIIYY (0.032733838412762846+0j)
XZZZZZZZZXIIIIIIIIYY (0.032733838412762846+0j)
YZZZZZZZZYIIIIIIIIXX (0.032733838412762846+0j)
XZZZZZZZZXIIIIIIIIXX (0.032733838412762846+0j)
IIIIIIIYYIIIIIIIIIYY (-0.04580973416515933+0j)
IIIIIIIXXIIIIIIIIIYY (-0.04580973416515933+0j)
IIIIIIIYYIIIIIIIIIXX (-0.04580973416515933+0j)
IIIIIIIXXIIIIIIIIIXX (-0.04580973416515933+0j)
IIIYZZZZYIIIIIIIIIYY (0.010839291580633688+0j)
IIIXZZZZXIIIIIIIIIYY (0.010839291580633688+0j)
IIIYZZZZYIIIIIIIIIXX (0.010839291580633688+0j)
IIIXZZZZXIIIIIIIIIXX (0.010839291580633688+0j)
IIIIIIYYIIIIIIIIIIYY (0.04480910587544197+0j)
IIIIIIXXIIIIIIIIIIYY (0.04480910587544197+0j)
IIIIIIYYIIIIIIIIIIXX (0.04480910587544197+0j)
IIIIIIXXIIIIIIIIIIXX (0.04480910587544197+0j)
YZZZZZZYIIIIIIIIIIYY (-0.044427451806609834+0j)
XZZZZZZXIIIIIIIIIIYY (-0.044427451806609834+0j)
YZZZZZZYIIIIIIIIIIXX (-0.044427451806609834+0j)
XZZZZZZXIIIIIIIIIIXX (-0.044427451806609834+0j)
IIIYZZYIIIIIIIIIIIYY (-0.050749480988322784+0j)
IIIXZZXIIIIIIIIIIIYY (-0.050749480988322784+0j)
IIIYZZYIIIIIIIIIIIXX (-0.050749480988322784+0j)
IIIXZZXIIIIIIIIIIIXX (-0.050749480988322784+0j)
IIYZZYIIIIIIIIIIIIYY (0.0609477387682361+0j)
IIXZZXIIIIIIIIIIIIYY (0.0609477387682361+0j)
IIYZZYIIIIIIIIIIIIXX (0.0609477387682361+0j)
IIXZZXIIIIIIIIIIIIXX (0.0609477387682361+0j)
IYZZZYIIIIIIIIIIIIYY (-0.002871655343239972+0j)
IXZZZXIIIIIIIIIIIIYY (-0.002871655343239972+0j)
IYZZZYIIIIIIIIIIIIXX (-0.002871655343239972+0j)
IXZZZXIIIIIIIIIIIIXX (-0.002871655343239972+0j)
IIYZYIIIIIIIIIIIIIYY (0.002871655343239954+0j)
IIXZXIIIIIIIIIIIIIYY (0.002871655343239954+0j)
IIYZYIIIIIIIIIIIIIXX (0.002871655343239954+0j)
IIXZXIIIIIIIIIIIIIXX (0.002871655343239954+0j)
IYZZYIIIIIIIIIIIIIYY (0.06094773876823612+0j)
IXZZXIIIIIIIIIIIIIYY (0.06094773876823612+0j)
IYZZYIIIIIIIIIIIIIXX (0.06094773876823612+0j)
IXZZXIIIIIIIIIIIIIXX (0.06094773876823612+0j)
YZZYIIIIIIIIIIIIIIYY (-0.048344394867002864+0j)
XZZXIIIIIIIIIIIIIIYY (-0.048344394867002864+0j)
YZZYIIIIIIIIIIIIIIXX (-0.048344394867002864+0j)
XZZXIIIIIIIIIIIIIIXX (-0.048344394867002864+0j)
IIIIIIIIIIIIIYZZZIZY (-0.003778860394739322+0j)
IIIIIIIIIIIIIXZZZIZX (-0.003778860394739322+0j)
IIIIIIIIIIIIIIIIZYZY (0.0017337490556414321+0j)
IIIIIIIIIIIIIIIIZXZX (0.0017337490556414321+0j)
IIIIIIIIIIYZZZZZYYZY (-0.0028910446020460534+0j)
IIIIIIIIIIXZZZZZXYZY (-0.0029540432155324824+0j)
IIIIIIIIIIYZZZZZXXZY (6.29986134864295e-05+0j)
IIIIIIIIIIXZZZZZYYZX (6.29986134864295e-05+0j)
IIIIIIIIIIYZZZZZYXZX (-0.0029540432155324824+0j)
IIIIIIIIIIXZZZZZXXZX (-0.0028910446020460534+0j)
IIIIIIIIIIIIIIIZIYZY (0.004667371564222612+0j)
IIIIIIIIIIIIIIIZIXZX (0.004667371564222612+0j)
IIIIIIIIIIIIIIZIIYZY (0.0046673715642226166+0j)
IIIIIIIIIIIIIIZIIXZX (0.0046673715642226166+0j)
IIIIIIIIIIIIIZIIIYZY (0.0055232059267575325+0j)
IIIIIIIIIIIIIZIIIXZX (0.0055232059267575325+0j)
IIIIIIIIIIIIZIIIIYZY (0.004940271792629761+0j)
IIIIIIIIIIIIZIIIIXZX (0.004940271792629761+0j)
IIIIIIIIIIIZIIIIIYZY (0.004940271792629764+0j)
IIIIIIIIIIIZIIIIIXZX (0.004940271792629764+0j)
IIIIIIIIIIZIIIIIIYZY (0.0036398443340728125+0j)
IIIIIIIIIIZIIIIIIXZX (0.0036398443340728125+0j)
IIIIIIIIIZIIIIIIIYZY (0.04459551424241061+0j)
IIIIIIIIIZIIIIIIIXZX (0.04459551424241061+0j)
IIIIIIIYZYIIIIIIIYZY (0.007600225969381231+0j)
IIIIIIIXZXIIIIIIIYZY (0.007600225969381231+0j)
IIIIIIIYZYIIIIIIIXZX (0.007600225969381231+0j)
IIIIIIIXZXIIIIIIIXZX (0.007600225969381231+0j)
IIIYZZZZZYIIIIIIIYZY (-0.0011590912139308213+0j)
IIIXZZZZZXIIIIIIIYZY (-0.0011590912139308213+0j)
IIIYZZZZZYIIIIIIIXZX (-0.0011590912139308213+0j)
IIIXZZZZZXIIIIIIIXZX (-0.0011590912139308213+0j)
IIIIIIIIZIIIIIIIIYZY (0.04457342141231674+0j)
IIIIIIIIZIIIIIIIIXZX (0.04457342141231674+0j)
IIIIIIYZYIIIIIIIIYZY (0.006551491444701887+0j)
IIIIIIXZXIIIIIIIIYZY (0.006551491444701887+0j)
IIIIIIYZYIIIIIIIIXZX (0.006551491444701887+0j)
IIIIIIXZXIIIIIIIIXZX (0.006551491444701887+0j)
YZZZZZZZYIIIIIIIIYZY (-0.006299255978602556+0j)
XZZZZZZZXIIIIIIIIYZY (-0.006299255978602556+0j)
YZZZZZZZYIIIIIIIIXZX (-0.006299255978602556+0j)
XZZZZZZZXIIIIIIIIXZX (-0.006299255978602556+0j)
IIIIIIIZIIIIIIIIIYZY (0.0006785514404977071+0j)
IIIIIIIZIIIIIIIIIXZX (0.0006785514404977071+0j)
IIIYZZZYIIIIIIIIIYZY (0.0015286523438175431+0j)
IIIXZZZXIIIIIIIIIYZY (0.0015286523438175431+0j)
IIIYZZZYIIIIIIIIIXZX (0.0015286523438175431+0j)
IIIXZZZXIIIIIIIIIXZX (0.0015286523438175431+0j)
IIIIIIZIIIIIIIIIIYZY (0.002907543145240818+0j)
IIIIIIZIIIIIIIIIIXZX (0.002907543145240818+0j)
YZZZZZYIIIIIIIIIIYZY (-0.0002822748620538631+0j)
XZZZZZXIIIIIIIIIIYZY (-0.0002822748620538631+0j)
YZZZZZYIIIIIIIIIIXZX (-0.0002822748620538631+0j)
XZZZZZXIIIIIIIIIIXZX (-0.0002822748620538631+0j)
IIIIIZIIIIIIIIIIIYZY (0.0006643142655695935+0j)
IIIIIZIIIIIIIIIIIXZX (0.0006643142655695935+0j)
IIIIZIIIIIIIIIIIIYZY (0.0006643142655695938+0j)
IIIIZIIIIIIIIIIIIXZX (0.0006643142655695938+0j)
IIIZIIIIIIIIIIIIIYZY (0.0017514359313500476+0j)
IIIZIIIIIIIIIIIIIXZX (0.0017514359313500476+0j)
IIZIIIIIIIIIIIIIIYZY (0.001597803574445786+0j)
IIZIIIIIIIIIIIIIIXZX (0.001597803574445786+0j)
IZIIIIIIIIIIIIIIIYZY (0.0015978035744457894+0j)
IZIIIIIIIIIIIIIIIXZX (0.0015978035744457894+0j)
ZIIIIIIIIIIIIIIIIYZY (0.0020480307649437548+0j)
ZIIIIIIIIIIIIIIIIXZX (0.0020480307649437548+0j)
IIIIIIIIIIIIIYZZIZZY (0.000566857445634476+0j)
IIIIIIIIIIIIIXZZIZZX (0.000566857445634476+0j)
IIIIIIIIIIIIYZZYYZZY (-0.0038752900263958846+0j)
IIIIIIIIIIIIXZZXYZZY (-0.004380043397123114+0j)
IIIIIIIIIIIIYZZXXZZY (0.0005047533707272291+0j)
IIIIIIIIIIIIXZZYYZZX (0.0005047533707272291+0j)
IIIIIIIIIIIIYZZYXZZX (-0.004380043397123114+0j)
IIIIIIIIIIIIXZZXXZZX (-0.0038752900263958846+0j)
IIIIIIIIIIIYZZZYYZZY (0.0001825908152757279+0j)
IIIIIIIIIIIXZZZXYZZY (0.0002063731203023198+0j)
IIIIIIIIIIIYZZZXXZZY (-2.3782305026591977e-05+0j)
IIIIIIIIIIIXZZZYYZZX (-2.3782305026591977e-05+0j)
IIIIIIIIIIIYZZZYXZZX (0.0002063731203023198+0j)
IIIIIIIIIIIXZZZXXZZX (0.0001825908152757279+0j)
IIIIIIIIIIIIYZYIYZZY (-0.00018259081527572686+0j)
IIIIIIIIIIIIXZXIYZZY (-0.00020637312030231874+0j)
IIIIIIIIIIIIYZXIXZZY (2.378230502659184e-05+0j)
IIIIIIIIIIIIXZYIYZZX (2.378230502659184e-05+0j)
IIIIIIIIIIIIYZYIXZZX (-0.00020637312030231874+0j)
