Bravyi-Kitaev mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-51.93362142169509+0j)
IIIIIIIIIIIIIZ (12.414090372052062+0j)
IIIIIIIIIIIIZX (-0.1300081629741695+0j)
IIIIIIIIIIIIIX (0.1300081629741695+0j)
IIIIIIIIIIIYYX (-0.03933431883735754+0j)
IIIIIIIIIIIXYY (0.03933431883735754+0j)
IIIIIIIIIIZIXX (-3.1190100754807542e-06+0j)
IIIIIIIIIIIZYY (-3.1190100754807542e-06+0j)
IIIIIIIYZIYIXX (-0.0490387803479065+0j)
IIIIIIIXZIYIXY (0.0490387803479065+0j)
IIIIIIIIIIIIZZ (1.6369559633436077+0j)
IIIIIIIIIIIYYZ (0.12461370114048248+0j)
IIIIIIIIIIIXXI (0.12461370114048248+0j)
IIIIIIIIIIZIXZ (9.963151357314719e-06+0j)
IIIIIIIIIIIZXI (-9.963151357314719e-06+0j)
IIIIIIIIYIYIXZ (3.5868607608315087e-08+0j)
IIIIIIIIXZYIYI (-3.5868607608315087e-08+0j)
IIIIIIIYZIYIXZ (0.20800688984306262+0j)
IIIIIIIXZIYIYI (-0.20800688984306262+0j)
IIIIIIIIIIIZII (1.2212109569364231+0j)
IIIIIIIIIIZXZI (2.0410955970526124e-06+0j)
IIIIIIIIIIIXII (-2.0410955970526124e-06+0j)
IIIIIIIIYIYXZI (4.8815746776639914e-08+0j)
IIIIIIIIXZYYZI (-4.8815746776639914e-08+0j)
IIIIIIIYZIYXZI (0.30301295006908974+0j)
IIIIIIIXZIYYZI (-0.30301295006908974+0j)
IIIIIIIIIIZZZI (1.3478687607713102+0j)
IIIIIIIIXYYZZI (-5.5230579630432436e-08+0j)
IIIIIIIIXXXIII (-5.5230579630432436e-08+0j)
IIIIIIIIYIYZZI (-5.537817541525619e-08+0j)
IIIIIIIIXZXIII (-5.537817541525619e-08+0j)
IIIIIIIYZIYZZI (-6.927315937191011e-06+0j)
IIIIIIIXZIXIII (-6.927315937191011e-06+0j)
IIIIIIIIIZIIII (0.7554631122902344+0j)
IIIIIIIIZXIIII (-0.5956543830534918+0j)
IIIIIIIIIXIIII (0.5956543830534918+0j)
IIIIIIIYYXIIII (-1.1090818208967665e-07+0j)
IIIIIIIXYYIIII (1.1090818208967665e-07+0j)
IIIIIIIIZZIIII (0.7489478269355527+0j)
IIIIIIIYYZIIII (-2.4874672743784307e-08+0j)
IIIIIIIXXIIIII (-2.4874672743784307e-08+0j)
IIIIIIIZIIIIII (0.8065443739677733+0j)
IIIIIIZZZIZIII (12.414090372052062+0j)
IIXIXYYZZIZIII (0.1300081629741695+0j)
IIXIXXXIIIIIII (0.1300081629741695+0j)
IIXIYIYZZIZIII (-0.03933431883735758+0j)
IIXIXZXIIIIIII (-0.03933431883735758+0j)
IIXYZIYZZIZIII (3.1190100754807923e-06+0j)
IIXXZIXIIIIIII (3.1190100754807923e-06+0j)
YIZIIIYZZIZIII (-0.04903878034790654+0j)
XZZIIIXIIIIIII (-0.04903878034790654+0j)
IIIIIZIIIIIIII (1.6369559633436088+0j)
IIIIZXIIIIIIII (-0.12461370114048247+0j)
IIIIIXIIIIIIII (0.12461370114048247+0j)
IIIYYXIIIIIIII (-9.963151357314393e-06+0j)
IIIXYYIIIIIIII (9.963151357314393e-06+0j)
XYYIXXIIIIIIII (3.5868607608315087e-08+0j)
XXYIXYIIIIIIII (-3.5868607608315087e-08+0j)
YIYIXXIIIIIIII (0.20800688984306273+0j)
XZYIXYIIIIIIII (-0.20800688984306273+0j)
IIIIZZIIIIIIII (1.221210956936423+0j)
IIIYYZIIIIIIII (-2.0410955970527344e-06+0j)
IIIXXIIIIIIIII (-2.0410955970527344e-06+0j)
XYYIXZIIIIIIII (4.8815746776639914e-08+0j)
XXYIYIIIIIIIII (-4.8815746776639914e-08+0j)
YIYIXZIIIIIIII (0.3030129500690897+0j)
XZYIYIIIIIIIII (-0.3030129500690897+0j)
IIIZIIIIIIIIII (1.3478687607713105+0j)
IIZXZIIIIIIIII (5.5230579630432436e-08+0j)
IIIXIIIIIIIIII (-5.5230579630432436e-08+0j)
XYYXZIIIIIIIII (-5.537817541525619e-08+0j)
XXYYZIIIIIIIII (5.537817541525619e-08+0j)
YIYXZIIIIIIIII (-6.927315937191013e-06+0j)
XZYYZIIIIIIIII (6.927315937191013e-06+0j)
IIZZZIIIIIIIII (0.7554631122902338+0j)
XYYZZIIIIIIIII (0.5956543830534918+0j)
XXXIIIIIIIIIII (0.5956543830534918+0j)
YIYZZIIIIIIIII (-1.1090818208967665e-07+0j)
XZXIIIIIIIIIII (-1.1090818208967665e-07+0j)
IZIIIIIIIIIIII (0.7489478269355528+0j)
ZXIIIIIIIIIIII (2.4874672743784307e-08+0j)
IXIIIIIIIIIIII (-2.4874672743784307e-08+0j)
ZZIIIIIIIIIIII (0.8065443739677738+0j)
IIIIIIIIIIIIZI (0.2449397365523112+0j)
IIIIIIIIIIIYYI (0.029241774513573515+0j)
IIIIIIIIIIIXXZ (0.029241774513573515+0j)
IIIIIIIIIIZIXI (5.235734141802161e-07+0j)
IIIIIIIIIIIZXZ (-5.235734141802161e-07+0j)
