Bravyi-Kitaev mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.938363293773717+0j)
IIIIIIIIIIIZ (1.1310939470951058+0j)
IIIIIIIIIIZX (-0.060759386426776654+0j)
IIIIIIIIIIIX (0.060759386426776654+0j)
IIIIIIIIIYYX (-8.542231466696938e-06+0j)
IIIIIIIIIXYY (8.542231466696938e-06+0j)
IIIIIIIIZIXX (3.657419160919669e-07+0j)
IIIIIIIIIZYY (3.657419160919669e-07+0j)
IIIIIIXYYIXX (-2.0752001278796933e-07+0j)
IIIIIIXXYIXY (2.0752001278796933e-07+0j)
IIIIIIYIYIXX (0.10145223126760722+0j)
IIIIIIXZYIXY (-0.10145223126760722+0j)
IIIIIIIIIIZZ (0.7812983453116839+0j)
IIIIIIIIIYYZ (8.393825493378464e-07+0j)
IIIIIIIIIXXI (8.393825493378464e-07+0j)
IIIIIIIIZIXZ (2.961714255489938e-07+0j)
IIIIIIIIIZXI (-2.961714255489938e-07+0j)
IIIIIIXYYIXZ (-1.932575862660918e-07+0j)
IIIIIIXXYIYI (1.932575862660918e-07+0j)
IIIIIIYIYIXZ (0.15591502609947178+0j)
IIIIIIXZYIYI (-0.15591502609947178+0j)
IIIIIIIIIZII (0.7966649251540753+0j)
IIIIIIIIZXZI (-6.376996244544038e-08+0j)
IIIIIIIIIXII (6.376996244544038e-08+0j)
IIIIIIXYYXZI (-7.650487082632789e-08+0j)
IIIIIIXXYYZI (7.650487082632789e-08+0j)
IIIIIIYIYXZI (-3.4558226451366636e-06+0j)
IIIIIIXZYYZI (3.4558226451366636e-06+0j)
IIIIIIIIZZZI (0.4590165789008024+0j)
IIIIIIXYYZZI (-0.3394996720804503+0j)
IIIIIIXXXIII (-0.3394996720804503+0j)
IIIIIIYIYZZI (-7.772433024836152e-07+0j)
IIIIIIXZXIII (-7.772433024836152e-07+0j)
IIIIIIIZIIII (0.4553037760171284+0j)
IIIIIIZXIIII (8.123751387512255e-07+0j)
IIIIIIIXIIII (-8.123751387512255e-07+0j)
IIIIIIZZIIII (0.3985942463091888+0j)
IIIIIZIIIIII (1.1310939470951058+0j)
IIIIZXZIZIII (-0.06075938642677664+0j)
IIIIIXIIIIII (0.06075938642677664+0j)
XIXYYXZIZIII (-8.542231466697237e-06+0j)
XIXXYYZIZIII (8.542231466697237e-06+0j)
XIYIYXZIZIII (-3.65741916091967e-07+0j)
XIXZYYZIZIII (3.65741916091967e-07+0j)
XYZIYXZIZIII (-2.0752001278796927e-07+0j)
XXZIYYZIZIII (2.0752001278796927e-07+0j)
YIIIYXZIZIII (0.10145223126760727+0j)
XZZIYYZIZIII (-0.10145223126760727+0j)
IIIIZZZIZIII (0.781298345311684+0j)
XIXYYZZIZIII (8.393825493379277e-07+0j)
XIXXXIIIIIII (8.393825493379277e-07+0j)
XIYIYZZIZIII (-2.961714255489938e-07+0j)
XIXZXIIIIIII (-2.961714255489938e-07+0j)
XYZIYZZIZIII (-1.9325758626609175e-07+0j)
XXZIXIIIIIII (-1.9325758626609175e-07+0j)
YIIIYZZIZIII (0.15591502609947194+0j)
XZZIXIIIIIII (0.15591502609947194+0j)
IIIZIIIIIIII (0.7966649251540742+0j)
IIZXIIIIIIII (-6.376996244544038e-08+0j)
IIIXIIIIIIII (6.376996244544038e-08+0j)
IYYXIIIIIIII (-7.650487082632789e-08+0j)
