Jordan-Wigner mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-51.93362142169509+0j)
IIIIIIIIIIIIIZ (12.414090372052062+0j)
IIIIIIIIIIIIYY (0.1300081629741695+0j)
IIIIIIIIIIIIXX (0.1300081629741695+0j)
IIIIIIIIIIIYZY (-0.03933431883735754+0j)
IIIIIIIIIIIXZX (-0.03933431883735754+0j)
IIIIIIIIIIYZZY (3.1190100754807542e-06+0j)
IIIIIIIIIIXZZX (3.1190100754807542e-06+0j)
IIIIIIIYZZZZZY (-0.0490387803479065+0j)
IIIIIIIXZZZZZX (-0.0490387803479065+0j)
IIIIIIIIIIIIZI (1.6369559633436077+0j)
IIIIIIIIIIIYYI (0.12461370114048248+0j)
IIIIIIIIIIIXXI (0.12461370114048248+0j)
IIIIIIIIIIYZYI (-9.963151357314719e-06+0j)
IIIIIIIIIIXZXI (-9.963151357314719e-06+0j)
IIIIIIIIYZZZYI (3.5868607608315087e-08+0j)
IIIIIIIIXZZZXI (3.5868607608315087e-08+0j)
IIIIIIIYZZZZYI (0.20800688984306262+0j)
IIIIIIIXZZZZXI (0.20800688984306262+0j)
IIIIIIIIIIIZII (1.2212109569364231+0j)
IIIIIIIIIIYYII (-2.0410955970526124e-06+0j)
IIIIIIIIIIXXII (-2.0410955970526124e-06+0j)
IIIIIIIIYZZYII (4.8815746776639914e-08+0j)
IIIIIIIIXZZXII (4.8815746776639914e-08+0j)
IIIIIIIYZZZYII (0.30301295006908974+0j)
IIIIIIIXZZZXII (0.30301295006908974+0j)
IIIIIIIIIIZIII (1.3478687607713102+0j)
IIIIIIIIIYYIII (-5.5230579630432436e-08+0j)
IIIIIIIIIXXIII (-5.5230579630432436e-08+0j)
IIIIIIIIYZYIII (-5.537817541525619e-08+0j)
IIIIIIIIXZXIII (-5.537817541525619e-08+0j)
IIIIIIIYZZYIII (-6.927315937191011e-06+0j)
IIIIIIIXZZXIII (-6.927315937191011e-06+0j)
IIIIIIIIIZIIII (0.7554631122902344+0j)
IIIIIIIIYYIIII (0.5956543830534918+0j)
IIIIIIIIXXIIII (0.5956543830534918+0j)
IIIIIIIYZYIIII (-1.1090818208967665e-07+0j)
IIIIIIIXZXIIII (-1.1090818208967665e-07+0j)
IIIIIIIIZIIIII (0.7489478269355527+0j)
IIIIIIIYYIIIII (-2.4874672743784307e-08+0j)
IIIIIIIXXIIIII (-2.4874672743784307e-08+0j)
IIIIIIIZIIIIII (0.8065443739677733+0j)
IIIIIIZIIIIIII (12.414090372052062+0j)
IIIIIYYIIIIIII (0.1300081629741695+0j)
IIIIIXXIIIIIII (0.1300081629741695+0j)
IIIIYZYIIIIIII (-0.03933431883735758+0j)
IIIIXZXIIIIIII (-0.03933431883735758+0j)
IIIYZZYIIIIIII (3.1190100754807923e-06+0j)
IIIXZZXIIIIIII (3.1190100754807923e-06+0j)
YZZZZZYIIIIIII (-0.04903878034790654+0j)
XZZZZZXIIIIIII (-0.04903878034790654+0j)
IIIIIZIIIIIIII (1.6369559633436088+0j)
IIIIYYIIIIIIII (0.12461370114048247+0j)
IIIIXXIIIIIIII (0.12461370114048247+0j)
IIIYZYIIIIIIII (-9.963151357314393e-06+0j)
IIIXZXIIIIIIII (-9.963151357314393e-06+0j)
IYZZZYIIIIIIII (3.5868607608315087e-08+0j)
IXZZZXIIIIIIII (3.5868607608315087e-08+0j)
YZZZZYIIIIIIII (0.20800688984306273+0j)
XZZZZXIIIIIIII (0.20800688984306273+0j)
IIIIZIIIIIIIII (1.221210956936423+0j)
IIIYYIIIIIIIII (-2.0410955970527344e-06+0j)
IIIXXIIIIIIIII (-2.0410955970527344e-06+0j)
IYZZYIIIIIIIII (4.8815746776639914e-08+0j)
IXZZXIIIIIIIII (4.8815746776639914e-08+0j)
YZZZYIIIIIIIII (0.3030129500690897+0j)
XZZZXIIIIIIIII (0.3030129500690897+0j)
