Jordan-Wigner mapping of H2O Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.938363293773717+0j)
IIIIIIIIIIIZ (1.1310939470951058+0j)
IIIIIIIIIIYY (0.060759386426776654+0j)
IIIIIIIIIIXX (0.060759386426776654+0j)
IIIIIIIIIYZY (-8.542231466696938e-06+0j)
IIIIIIIIIXZX (-8.542231466696938e-06+0j)
IIIIIIIIYZZY (-3.657419160919669e-07+0j)
IIIIIIIIXZZX (-3.657419160919669e-07+0j)
IIIIIIIYZZZY (-2.0752001278796933e-07+0j)
IIIIIIIXZZZX (-2.0752001278796933e-07+0j)
IIIIIIYZZZZY (0.10145223126760722+0j)
IIIIIIXZZZZX (0.10145223126760722+0j)
IIIIIIIIIIZI (0.7812983453116839+0j)
IIIIIIIIIYYI (8.393825493378464e-07+0j)
IIIIIIIIIXXI (8.393825493378464e-07+0j)
IIIIIIIIYZYI (-2.961714255489938e-07+0j)
IIIIIIIIXZXI (-2.961714255489938e-07+0j)
IIIIIIIYZZYI (-1.932575862660918e-07+0j)
IIIIIIIXZZXI (-1.932575862660918e-07+0j)
IIIIIIYZZZYI (0.15591502609947178+0j)
IIIIIIXZZZXI (0.15591502609947178+0j)
IIIIIIIIIZII (0.7966649251540753+0j)
IIIIIIIIYYII (6.376996244544038e-08+0j)
IIIIIIIIXXII (6.376996244544038e-08+0j)
IIIIIIIYZYII (-7.650487082632789e-08+0j)
IIIIIIIXZXII (-7.650487082632789e-08+0j)
IIIIIIYZZYII (-3.4558226451366636e-06+0j)
IIIIIIXZZXII (-3.4558226451366636e-06+0j)
IIIIIIIIZIII (0.4590165789008024+0j)
IIIIIIIYYIII (-0.3394996720804503+0j)
IIIIIIIXXIII (-0.3394996720804503+0j)
IIIIIIYZYIII (-7.772433024836152e-07+0j)
IIIIIIXZXIII (-7.772433024836152e-07+0j)
IIIIIIIZIIII (0.4553037760171284+0j)
IIIIIIYYIIII (-8.123751387512255e-07+0j)
IIIIIIXXIIII (-8.123751387512255e-07+0j)
IIIIIIZIIIII (0.3985942463091888+0j)
IIIIIZIIIIII (1.1310939470951058+0j)
IIIIYYIIIIII (0.06075938642677664+0j)
IIIIXXIIIIII (0.06075938642677664+0j)
IIIYZYIIIIII (-8.542231466697237e-06+0j)
IIIXZXIIIIII (-8.542231466697237e-06+0j)
IIYZZYIIIIII (-3.65741916091967e-07+0j)
IIXZZXIIIIII (-3.65741916091967e-07+0j)
IYZZZYIIIIII (-2.0752001278796927e-07+0j)
IXZZZXIIIIII (-2.0752001278796927e-07+0j)
YZZZZYIIIIII (0.10145223126760727+0j)
XZZZZXIIIIII (0.10145223126760727+0j)
IIIIZIIIIIII (0.781298345311684+0j)
IIIYYIIIIIII (8.393825493379277e-07+0j)
IIIXXIIIIIII (8.393825493379277e-07+0j)
IIYZYIIIIIII (-2.961714255489938e-07+0j)
IIXZXIIIIIII (-2.961714255489938e-07+0j)
IYZZYIIIIIII (-1.9325758626609175e-07+0j)
IXZZXIIIIIII (-1.9325758626609175e-07+0j)
YZZZYIIIIIII (0.15591502609947194+0j)
XZZZXIIIIIII (0.15591502609947194+0j)
IIIZIIIIIIII (0.7966649251540742+0j)
IIYYIIIIIIII (6.376996244544038e-08+0j)
IIXXIIIIIIII (6.376996244544038e-08+0j)
IYZYIIIIIIII (-7.650487082632789e-08+0j)
IXZXIIIIIIII (-7.650487082632789e-08+0j)
YZZYIIIIIIII (-3.455822645136667e-06+0j)
XZZXIIIIIIII (-3.455822645136667e-06+0j)
IIZIIIIIIIII (0.4590165789008025+0j)
IYYIIIIIIIII (-0.33949967208045034+0j)
IXXIIIIIIIII (-0.33949967208045034+0j)
YZYIIIIIIIII (-7.772433024836153e-07+0j)
XZXIIIIIIIII (-7.772433024836153e-07+0j)
IZIIIIIIIIII (0.45530377601712846+0j)
YYIIIIIIIIII (-8.123751387512254e-07+0j)
XXIIIIIIIIII (-8.123751387512254e-07+0j)
ZIIIIIIIIIII (0.3985942463091888+0j)
IIIIIIIIIIZZ (0.13126664467407706+0j)
IIIIIIIIIYYZ (-6.590658656947759e-07+0j)
IIIIIIIIIXXZ (-6.590658656947759e-07+0j)
IIIIIIIIYZYZ (-1.0030900134682567e-07+0j)
IIIIIIIIXZXZ (-1.0030900134682567e-07+0j)
IIIIIIIYZZYZ (-8.444364497182943e-08+0j)
IIIIIIIXZZXZ (-8.444364497182943e-08+0j)
IIIIIIYZZZYZ (0.02298913349297786+0j)
IIIIIIXZZZXZ (0.02298913349297786+0j)
IIIIIIIIIZIZ (0.15306448297442393+0j)
IIIIIIYZZYIZ (-4.966769304833331e-07+0j)
IIIIIIXZZXIZ (-4.966769304833331e-07+0j)
IIIIIIIIZIIZ (0.08645825100254342+0j)
IIIIIIIYYIIZ (-0.06697143400189073+0j)
IIIIIIIXXIIZ (-0.06697143400189073+0j)
IIIIIIYZYIIZ (-1.049602329946913e-07+0j)
IIIIIIXZXIIZ (-1.049602329946913e-07+0j)
IIIIIIIZIIIZ (0.08572584460078857+0j)
IIIIIIYYIIIZ (-1.2016033686054663e-07+0j)
IIIIIIXXIIIZ (-1.2016033686054663e-07+0j)
IIIIIIZIIIIZ (0.13617516147802966+0j)
IIIIIZIIIIIZ (0.18772585390470323+0j)
IIIIYYIIIIIZ (0.0022242761668676905+0j)
IIIIXXIIIIIZ (0.0022242761668676905+0j)
IIIYZYIIIIIZ (1.5151703434042196e-06+0j)
IIIXZXIIIIIZ (1.5151703434042196e-06+0j)
YZZZZYIIIIIZ (0.028730372819434195+0j)
XZZZZXIIIIIZ (0.028730372819434195+0j)
IIIIZIIIIIIZ (0.16706063982650654+0j)
IIIYYIIIIIIZ (-1.2763205117973372e-06+0j)
IIIXXIIIIIIZ (-1.2763205117973372e-06+0j)
IIYZYIIIIIIZ (-1.0030900134682567e-07+0j)
IIXZXIIIIIIZ (-1.0030900134682567e-07+0j)
IYZZYIIIIIIZ (-8.444364497182943e-08+0j)
IXZZXIIIIIIZ (-8.444364497182943e-08+0j)
YZZZYIIIIIIZ (0.03013032819063+0j)
XZZZXIIIIIIZ (0.03013032819063+0j)
IIIZIIIIIIIZ (0.1917582096451666+0j)
YZZYIIIIIIIZ (-9.533844723713412e-07+0j)
XZZXIIIIIIIZ (-9.533844723713412e-07+0j)
IIZIIIIIIIIZ (0.10591090242766282+0j)
IYYIIIIIIIIZ (-0.08631800815237181+0j)
IXXIIIIIIIIZ (-0.08631800815237181+0j)
YZYIIIIIIIIZ (-1.049602329946913e-07+0j)
XZXIIIIIIIIZ (-1.049602329946913e-07+0j)
IZIIIIIIIIIZ (0.10496691992674326+0j)
YYIIIIIIIIIZ (-1.2016033686054663e-07+0j)
XXIIIIIIIIIZ (-1.2016033686054663e-07+0j)
ZIIIIIIIIIIZ (0.15976824619169347+0j)
IIIIIIIIIYIY (2.3911654333333356e-07+0j)
IIIIIIIIIXIX (2.3911654333333356e-07+0j)
IIIIIIYZZZIY (0.03101307478771985+0j)
IIIIIIXZZZIX (0.03101307478771985+0j)
IIIIIIIIIZYY (0.007635451817681606+0j)
IIIIIIIIIZXX (0.007635451817681606+0j)
IIIIIIYZZYYY (-4.396493143457317e-07+0j)
IIIIIIXZZXYY (-2.569684378963362e-07+0j)
IIIIIIYZZXXY (-1.826808764493955e-07+0j)
IIIIIIXZZYYX (-1.826808764493955e-07+0j)
IIIIIIYZZYXX (-2.569684378963362e-07+0j)
IIIIIIXZZXXX (-4.396493143457317e-07+0j)
IIIIIIIIZIYY (0.004241935484354082+0j)
IIIIIIIIZIXX (0.004241935484354082+0j)
IIIIIIIYYIYY (-0.0034121229881613722+0j)
IIIIIIIXXIYY (-0.0034121229881608622+0j)
IIIIIIIYYIXX (-0.0034121229881608622+0j)
IIIIIIIXXIXX (-0.0034121229881613722+0j)
IIIIIIYZYIYY (-4.1537508694732135e-08+0j)
IIIIIIYZXIXY (-3.454377520508136e-08+0j)
IIIIIIXZYIYX (-3.454377520508136e-08+0j)
IIIIIIXZXIXX (-4.1537508694732135e-08+0j)
IIIIIIIZIIYY (0.004204620160908969+0j)
IIIIIIIZIIXX (0.004204620160908969+0j)
IIIIIIYYIIYY (-4.401510815332408e-08+0j)
IIIIIIXXIIYY (-1.0331240369943508e-08+0j)
IIIIIIYXIIXY (-3.3683867783380585e-08+0j)
IIIIIIXYIIYX (-3.3683867783380585e-08+0j)
IIIIIIYYIIXX (-1.0331240369943508e-08+0j)
IIIIIIXXIIXX (-4.401510815332408e-08+0j)
IIIIIIZIIIYY (-0.003779429302716273+0j)
IIIIIIZIIIXX (-0.003779429302716273+0j)
IIIIIZIIIIYY (0.0022242761668676905+0j)
IIIIIZIIIIXX (0.0022242761668676905+0j)
IIIIYYIIIIYY (0.03579399515242948+0j)
IIIIXXIIIIYY (0.03579399515242948+0j)
IIIIYYIIIIXX (0.03579399515242948+0j)
IIIIXXIIIIXX (0.03579399515242948+0j)
IIIYZYIIIIYY (6.172546461025612e-07+0j)
IIIXZXIIIIYY (6.172546461025612e-07+0j)
IIIYZYIIIIXX (6.172546461025612e-07+0j)
IIIXZXIIIIXX (6.172546461025612e-07+0j)
YZZZZYIIIIYY (-0.00714119469765214+0j)
XZZZZXIIIIYY (-0.00714119469765214+0j)
YZZZZYIIIIXX (-0.00714119469765214+0j)
XZZZZXIIIIXX (-0.00714119469765214+0j)
IIIIZIIIIIYY (0.010582643050866257+0j)
IIIIZIIIIIXX (0.010582643050866257+0j)
IIIYYIIIIIYY (-2.2070873941367718e-07+0j)
IIIXXIIIIIYY (-2.2070873941367718e-07+0j)
IIIYYIIIIIXX (-2.2070873941367718e-07+0j)
IIIXXIIIIIXX (-2.2070873941367718e-07+0j)
YZZZYIIIIIYY (0.024517214650905613+0j)
XZZZXIIIIIYY (0.024517214650905613+0j)
YZZZYIIIIIXX (0.024517214650905613+0j)
XZZZXIIIIIXX (0.024517214650905613+0j)
IIIZIIIIIIYY (0.018519148057128+0j)
IIIZIIIIIIXX (0.018519148057128+0j)
