Bravyi-Kitaev mapping of LiH Hamiltonian in sto3g basis.
IIIIIIIIIIII (-5.152415944121773+0j)
IIIIIIIIIIIZ (1.009705351382549+0j)
IIIIIIIIIIZX (-0.014933601044711182+0j)
IIIIIIIIIIIX (0.014933601044711182+0j)
IIIIIIIIIYYX (0.025641208994883678+0j)
IIIIIIIIIXYY (-0.025641208994883678+0j)
IIIIIIYIYIXX (-0.0005430128050272961+0j)
IIIIIIXZYIXY (0.0005430128050272961+0j)
IIIIIIIIIIZZ (-0.11593001878868933+0j)
IIIIIIIIIYYZ (-0.007686159929813186+0j)
IIIIIIIIIXXI (-0.007686159929813186+0j)
IIIIIIYIYIXZ (0.006131478682016732+0j)
IIIIIIXZYIYI (-0.006131478682016732+0j)
IIIIIIIIIZII (-0.19755800557428788+0j)
IIIIIIYIYXZI (0.01457244568968491+0j)
IIIIIIXZYYZI (-0.01457244568968491+0j)
IIIIIIIIZZZI (-0.22925205182151426+0j)
IIIIIIIZIIII (-0.22925205182151417+0j)
IIIIIIZZIIII (-0.39497429169934495+0j)
IIIIIZIIIIII (1.0097053513825485+0j)
IIIIZXZIZIII (-0.01493360104471118+0j)
IIIIIXIIIIII (0.01493360104471118+0j)
XIXYYXZIZIII (0.02564120899488368+0j)
XIXXYYZIZIII (-0.02564120899488368+0j)
YIIIYXZIZIII (-0.0005430128050272934+0j)
XZZIYYZIZIII (0.0005430128050272934+0j)
IIIIZZZIZIII (-0.11593001878868947+0j)
XIXYYZZIZIII (-0.007686159929813174+0j)
XIXXXIIIIIII (-0.007686159929813174+0j)
YIIIYZZIZIII (0.006131478682016772+0j)
XZZIXIIIIIII (0.006131478682016772+0j)
IIIZIIIIIIII (-0.1975580055742879+0j)
ZIXXIIIIIIII (-0.014572445689684906+0j)
IZYYIIIIIIII (-0.014572445689684906+0j)
IIZZIIIIIIII (-0.2292520518215142+0j)
IZIIIIIIIIII (-0.2292520518215142+0j)
ZZZIIIIIIIII (-0.3949742916993449+0j)
IIIIIIIIIIZI (0.09042954374501538+0j)
IIIIIIIIIYYI (-0.00012210605198425964+0j)
IIIIIIIIIXXZ (-0.00012210605198425964+0j)
IIIIIIYIYIXI (0.0059616612533371395+0j)
IIIIIIXZYIYZ (-0.0059616612533371395+0j)
IIIIIIIIIZIZ (0.09358431220220058+0j)
IIIIIIYIYXZZ (-0.00475607771229241+0j)
IIIIIIXZYYZZ (0.00475607771229241+0j)
IIIIIIIIZZZZ (0.09662318460715838+0j)
IIIIIIIZIIIZ (0.09662318460715838+0j)
IIIIIIZZIIIZ (0.08853342039397287+0j)
IIIIIZIIIIIZ (0.4145733024613798+0j)
IIIIZXZIZIIZ (-0.02885210310927823+0j)
IIIIIXIIIIIZ (0.02885210310927823+0j)
XIXYYXZIZIIZ (0.034474629751479066+0j)
XIXXYYZIZIIZ (-0.034474629751479066+0j)
YIIIYXZIZIIZ (-0.01155995488975384+0j)
XZZIYYZIZIIZ (0.01155995488975384+0j)
IIIIZZZIZIIZ (0.0940061154064797+0j)
XIXYYZZIZIIZ (-0.002984868297598454+0j)
XIXXXIIIIIIZ (-0.002984868297598454+0j)
YIIIYZZIZIIZ (0.00805731874984492+0j)
XZZIXIIIIIIZ (0.00805731874984492+0j)
IIIZIIIIIIIZ (0.09897320675972478+0j)
ZIXXIIIIIIIZ (0.004360974516833923+0j)
