Jordan-Wigner mapping of LiH Hamiltonian in sto3g basis.
IIIIIIIIIIII (-5.152415944121773+0j)
IIIIIIIIIIIZ (1.009705351382549+0j)
IIIIIIIIIIYY (0.014933601044711182+0j)
IIIIIIIIIIXX (0.014933601044711182+0j)
IIIIIIIIIYZY (0.025641208994883678+0j)
IIIIIIIIIXZX (0.025641208994883678+0j)
IIIIIIYZZZZY (-0.0005430128050272961+0j)
IIIIIIXZZZZX (-0.0005430128050272961+0j)
IIIIIIIIIIZI (-0.11593001878868933+0j)
IIIIIIIIIYYI (-0.007686159929813186+0j)
IIIIIIIIIXXI (-0.007686159929813186+0j)
IIIIIIYZZZYI (0.006131478682016732+0j)
IIIIIIXZZZXI (0.006131478682016732+0j)
IIIIIIIIIZII (-0.19755800557428788+0j)
IIIIIIYZZYII (0.01457244568968491+0j)
IIIIIIXZZXII (0.01457244568968491+0j)
IIIIIIIIZIII (-0.22925205182151426+0j)
IIIIIIIZIIII (-0.22925205182151417+0j)
IIIIIIZIIIII (-0.39497429169934495+0j)
IIIIIZIIIIII (1.0097053513825485+0j)
IIIIYYIIIIII (0.01493360104471118+0j)
IIIIXXIIIIII (0.01493360104471118+0j)
IIIYZYIIIIII (0.02564120899488368+0j)
IIIXZXIIIIII (0.02564120899488368+0j)
YZZZZYIIIIII (-0.0005430128050272934+0j)
XZZZZXIIIIII (-0.0005430128050272934+0j)
IIIIZIIIIIII (-0.11593001878868947+0j)
IIIYYIIIIIII (-0.007686159929813174+0j)
IIIXXIIIIIII (-0.007686159929813174+0j)
YZZZYIIIIIII (0.006131478682016772+0j)
XZZZXIIIIIII (0.006131478682016772+0j)
IIIZIIIIIIII (-0.1975580055742879+0j)
YZZYIIIIIIII (0.014572445689684906+0j)
XZZXIIIIIIII (0.014572445689684906+0j)
IIZIIIIIIIII (-0.2292520518215142+0j)
IZIIIIIIIIII (-0.2292520518215142+0j)
ZIIIIIIIIIII (-0.3949742916993449+0j)
IIIIIIIIIIZZ (0.09042954374501538+0j)
IIIIIIIIIYYZ (-0.00012210605198425964+0j)
IIIIIIIIIXXZ (-0.00012210605198425964+0j)
IIIIIIYZZZYZ (0.0059616612533371395+0j)
IIIIIIXZZZXZ (0.0059616612533371395+0j)
IIIIIIIIIZIZ (0.09358431220220058+0j)
IIIIIIYZZYIZ (-0.00475607771229241+0j)
IIIIIIXZZXIZ (-0.00475607771229241+0j)
IIIIIIIIZIIZ (0.09662318460715838+0j)
IIIIIIIZIIIZ (0.09662318460715838+0j)
IIIIIIZIIIIZ (0.08853342039397287+0j)
IIIIIZIIIIIZ (0.4145733024613798+0j)
IIIIYYIIIIIZ (0.02885210310927823+0j)
IIIIXXIIIIIZ (0.02885210310927823+0j)
IIIYZYIIIIIZ (0.034474629751479066+0j)
IIIXZXIIIIIZ (0.034474629751479066+0j)
YZZZZYIIIIIZ (-0.01155995488975384+0j)
XZZZZXIIIIIZ (-0.01155995488975384+0j)
IIIIZIIIIIIZ (0.0940061154064797+0j)
IIIYYIIIIIIZ (-0.002984868297598454+0j)
IIIXXIIIIIIZ (-0.002984868297598454+0j)
YZZZYIIIIIIZ (0.00805731874984492+0j)
XZZZXIIIIIIZ (0.00805731874984492+0j)
IIIZIIIIIIIZ (0.09897320675972478+0j)
YZZYIIIIIIIZ (-0.004360974516833923+0j)
XZZXIIIIIIIZ (-0.004360974516833923+0j)
IIZIIIIIIIIZ (0.0990778898789144+0j)
IZIIIIIIIIIZ (0.0990778898789144+0j)
ZIIIIIIIIIIZ (0.0904361091949772+0j)
IIIIIIIIIYIY (0.0032965239635161002+0j)
IIIIIIIIIXIX (0.0032965239635161002+0j)
IIIIIIYZZZIY (0.002929923661047115+0j)
IIIIIIXZZZIX (0.002929923661047115+0j)
IIIIIIIIIZYY (0.0029292660683236673+0j)
IIIIIIIIIZXX (0.0029292660683236673+0j)
IIIIIIYZZYYY (-0.001365856966049339+0j)
IIIIIIXZZXYY (-0.0009306496497366405+0j)
IIIIIIYZZXXY (-0.00043520731631269875+0j)
IIIIIIXZZYYX (-0.00043520731631269875+0j)
IIIIIIYZZYXX (-0.0009306496497366405+0j)
IIIIIIXZZXXX (-0.001365856966049339+0j)
IIIIIIIIZIYY (0.0030199976438174698+0j)
IIIIIIIIZIXX (0.0030199976438174698+0j)
IIIIIIIZIIYY (0.0030199976438174706+0j)
IIIIIIIZIIXX (0.0030199976438174706+0j)
IIIIIIZIIIYY (-0.0009261835147084776+0j)
IIIIIIZIIIXX (-0.0009261835147084776+0j)
IIIIIZIIIIYY (0.02885210310927823+0j)
IIIIIZIIIIXX (0.02885210310927823+0j)
IIIIYYIIIIYY (0.003576571661464321+0j)
IIIIXXIIIIYY (0.003576571661464321+0j)
IIIIYYIIIIXX (0.003576571661464321+0j)
IIIIXXIIIIXX (0.003576571661464321+0j)
IIIYZYIIIIYY (0.002862762245614194+0j)
IIIXZXIIIIYY (0.002862762245614194+0j)
IIIYZYIIIIXX (0.002862762245614194+0j)
IIIXZXIIIIXX (0.002862762245614194+0j)
YZZZZYIIIIYY (-0.0020956574965077805+0j)
XZZZZXIIIIYY (-0.0020956574965077805+0j)
YZZZZYIIIIXX (-0.0020956574965077805+0j)
XZZZZXIIIIXX (-0.0020956574965077805+0j)
IIIIZIIIIIYY (-0.0017413692235801249+0j)
IIIIZIIIIIXX (-0.0017413692235801249+0j)
IIIYYIIIIIYY (-0.0008929389797010688+0j)
IIIXXIIIIIYY (-0.0008929389797010688+0j)
IIIYYIIIIIXX (-0.0008929389797010688+0j)
IIIXXIIIIIXX (-0.0008929389797010688+0j)
YZZZYIIIIIYY (0.0013651879963209321+0j)
XZZZXIIIIIYY (0.0013651879963209321+0j)
YZZZYIIIIIXX (0.0013651879963209321+0j)
XZZZXIIIIIXX (0.0013651879963209321+0j)
IIIZIIIIIIYY (0.002874483977934139+0j)
IIIZIIIIIIXX (0.002874483977934139+0j)
YZZYIIIIIIYY (-0.0010234796628406358+0j)
XZZXIIIIIIYY (-0.0010234796628406358+0j)
YZZYIIIIIIXX (-0.0010234796628406358+0j)
XZZXIIIIIIXX (-0.0010234796628406358+0j)
IIZIIIIIIIYY (0.0011319350519759736+0j)
IIZIIIIIIIXX (0.0011319350519759736+0j)
