Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-25.237330367908303+0j)
IIIIIIIIIIIIIIIZ (1.0162639115610934+0j)
IIIIIIIIIIXYYIXX (0.03643922291076108+0j)
IIIIIIIIIIXXYIXY (-0.03643922291076108+0j)
IIIIIIIIIIIIIIZZ (0.6858981794686276+0j)
IIIIIIIIZIIIXIXZ (0.04262771956258546+0j)
IIIIIIIIIZZIYIYI (0.04262771956258546+0j)
IIIIIIIIIIIIIZII (0.6291992947250596+0j)
IIIIIIIIIIIIZZZI (0.6291992947250586+0j)
IIIIIIIIIIIZIIII (0.593931611981436+0j)
IIIIIIIIIIZZIIII (0.4500477059119322+0j)
IIIIIIIIIZIIIIII (0.4500477059119332+0j)
IIIIIIIIZZZIZIII (0.20018885959777838+0j)
IIIIIIIZIIIIIIII (1.0162639115610934+0j)
IIXYYIXXIIIIIIII (0.03643922291076109+0j)
IIXXYIXYIIIIIIII (-0.03643922291076109+0j)
IIIIIIZZIIIIIIII (0.6858981794686277+0j)
ZIIIXIXZZIIIIIII (0.04262771956258555+0j)
IZZIYIYIIIIIIIII (0.04262771956258555+0j)
IIIIIZIIIIIIIIII (0.6291992947250579+0j)
IIIIZZZIIIIIIIII (0.6291992947250583+0j)
IIIZIIIIIIIIIIII (0.5939316119814371+0j)
IIZZIIIIIIIIIIII (0.4500477059119318+0j)
IZIIIIIIIIIIIIII (0.4500477059119322+0j)
ZZZIZIIIZIIIIIII (0.20018885959777868+0j)
IIIIIIIIIIIIIIZI (0.10921597324467565+0j)
IIIIIIIIZIIIXIXI (0.003466149259571165+0j)
IIIIIIIIIZZIYIYZ (0.003466149259571165+0j)
IIIIIIIIIIIIIZIZ (0.12460122013638757+0j)
IIIIIIIIIIIIZZZZ (0.12460122013638747+0j)
IIIIIIIIIIIZIIIZ (0.11954708066333411+0j)
IIIIIIIIIIZZIIIZ (0.13363548570618344+0j)
IIIIIIIIIZIIIIIZ (0.13363548570618353+0j)
IIIIIIIIZZZIZIIZ (0.14921273389598366+0j)
IIIIIIIZIIIIIIIZ (0.1787863413513575+0j)
IIXYYIXXIIIIIIIZ (0.026948519029038054+0j)
