Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-54.90718292900202+0j)
IIIIIIIIIIIIIIIIIZ (8.886024862326945+0j)
IIIIIIIIIIIIIIIYYX (-0.04491272011437132+0j)
IIIIIIIIIIIIIIIXYY (0.04491272011437132+0j)
IIIIIIXIXYYIIIXIXX (0.027131706447061726+0j)
IIIIIIXIXXYIIIXIXY (-0.027131706447061726+0j)
IIIIIIIIIIIIIIIIZZ (1.3872079091861633+0j)
IIIIIIIIIIIIYIYIXZ (0.06721359428828919+0j)
IIIIIIIIIIIIXZYIYI (-0.06721359428828919+0j)
IIIIIIIIIIIIIIIZII (1.0090248860273874+0j)
IIIIIIXIXYYIIIXXZI (0.06595497078311655+0j)
IIIIIIXIXXYIIIXYZI (-0.06595497078311655+0j)
IIIIIIIIIIIIIIZZZI (0.9646039121110119+0j)
IIIIIIIIIIIIIZIIII (0.9646039121110129+0j)
IIIIIIIIIIIIZZIIII (0.9285140853417281+0j)
IIIIIIIIIIIZIIIIII (0.8031938799172929+0j)
IIIIIIIIIIZZZIZIII (0.8031938799172931+0j)
IIIIIIIIIZIIIIIIII (0.6258046600775833+0j)
IIIIIIIIZZIIIIIIII (8.886024862326945+0j)
IIIIIIZIXZIIIIIIII (0.044912720114371266+0j)
IIIIIIIZXIIIIIIIII (-0.044912720114371266+0j)
YIYIIIXIXZZIIIIIII (0.02713170644706171+0j)
XZYIIIXIYIZIIIIIII (-0.02713170644706171+0j)
IIIIIIIZIIIIIIIIII (1.3872079091861633+0j)
IIIYZIYXZIIIIIIIII (0.06721359428828903+0j)
IIIXZIYYZIIIIIIIII (-0.06721359428828903+0j)
IIIIIIZZZIIIIIIIII (1.0090248860273872+0j)
YIYIIIXZZIZIIIIIII (0.0659549707831165+0j)
XZYIIIYIIIZIIIIIII (-0.0659549707831165+0j)
IIIIIZIIIIIIIIIIII (0.9646039121110126+0j)
IIIIZZIIIIIIIIIIII (0.9646039121110129+0j)
IIIZIIIIIIIIIIIIII (0.9285140853417287+0j)
IIZZZIZIIIZIIIIIII (0.8031938799172923+0j)
IZIIIIIIIIIIIIIIII (0.8031938799172917+0j)
ZZIIIIIIIIIIIIIIII (0.6258046600775831+0j)
IIIIIIIIIIIIIIIIZI (0.18184218909684127+0j)
IIIIIIIIIIIIYIYIXI (0.016299813290948408+0j)
IIIIIIIIIIIIXZYIYZ (-0.016299813290948408+0j)
IIIIIIIIIIIIIIIZIZ (0.1578549902331414+0j)
IIIIIIXIXYYIIIXXZZ (0.009863451752189173+0j)
IIIIIIXIXXYIIIXYZZ (-0.009863451752189173+0j)
IIIIIIIIIIIIIIZZZZ (0.16652395583568178+0j)
IIIIIIIIIIIIIZIIIZ (0.166523955835682+0j)
IIIIIIIIIIIIZZIIIZ (0.1656357855424571+0j)
IIIIIIIIIIIZIIIIIZ (0.1748260922177339+0j)
IIIIIIIIIIZZZIZIIZ (0.17482609221773385+0j)
IIIIIIIIIZIIIIIIIZ (0.20855379680534172+0j)
IIIIIIIIZZIIIIIIIZ (0.5723205932136648+0j)
IIIIIIZIXZIIIIIIIZ (0.048626774871797944+0j)
IIIIIIIZXIIIIIIIIZ (-0.048626774871797944+0j)
YIYIIIXIXZZIIIIIIZ (0.03129537529369652+0j)
XZYIIIXIYIZIIIIIIZ (-0.03129537529369652+0j)
IIIIIIIZIIIIIIIIIZ (0.18910180852823172+0j)
IIIYZIYXZIIIIIIIIZ (0.014474558086580049+0j)
IIIXZIYYZIIIIIIIIZ (-0.014474558086580049+0j)
IIIIIIZZZIIIIIIIIZ (0.1652717163256183+0j)
YIYIIIXZZIZIIIIIIZ (0.013463799468341772+0j)
XZYIIIYIIIZIIIIIIZ (-0.013463799468341772+0j)
IIIIIZIIIIIIIIIIIZ (0.16888066155027345+0j)
IIIIZZIIIIIIIIIIIZ (0.16888066155027368+0j)
IIIZIIIIIIIIIIIIIZ (0.16894668781783687+0j)
IIZZZIZIIIZIIIIIIZ (0.17832008178762507+0j)
IZIIIIIIIIIIIIIIIZ (0.178320081787625+0j)
ZZIIIIIIIIIIIIIIIZ (0.2170620036744616+0j)
IIIIIIIIIIIIIIIYXY (-0.0020576292850909912+0j)
IIIIIIIIIIIIIIIXXX (-0.0020576292850909912+0j)
IIIIIIXIXYYIIIXIYY (0.006000982033088428+0j)
IIIIIIXIXXYIIIXIYX (0.006000982033088428+0j)
IIIIIIIIIIIIYIYXIX (-0.0032445497452893057+0j)
IIIIIIIIIIIIXZYYIX (0.0041417728435421625+0j)
IIIIIIIIIIIIYIYYZY (0.0008972230982528564+0j)
IIIIIIIIIIIIXZYXIY (-0.0008972230982528564+0j)
IIIIIIIIIIIIYIYXZX (0.0041417728435421625+0j)
IIIIIIIIIIIIXZYYZX (-0.0032445497452893057+0j)
IIIIIIIIIIIYZIYZIX (-0.006476199410346927+0j)
IIIIIIIIIIIXZIXIZX (-0.00490933836535121+0j)
IIIIIIIIIIIYZIXIIY (0.0015668610449957173+0j)
IIIIIIIIIIIXZIYZIY (0.0015668610449957173+0j)
IIIIIIIIIIIYZIYZZX (0.00490933836535121+0j)
IIIIIIIIIIIXZIXIIX (0.006476199410346927+0j)
IIIIIIIIIIZIIIXZIX (-0.0006906881089380937+0j)
IIIIIIIIIIIZZIXIZX (0.0005235820296521745+0j)
IIIIIIIIIIZIIIYIIY (-0.00016710607928591923+0j)
IIIIIIIIIIIZZIYZIY (-0.00016710607928591923+0j)
IIIIIIIIIIZIIIXZZX (0.0005235820296521745+0j)
IIIIIIIIIIIZZIXIIX (-0.0006906881089380937+0j)
IIIIIIIIIIIYYXIIZX (0.0006906881089380934+0j)
IIIIIIIIIIIXYYIIZX (-0.0005235820296521739+0j)
IIIIIIIIIIIYYYIIIY (0.00016710607928591955+0j)
IIIIIIIIIIIXYXIIZY (-0.00016710607928591955+0j)
IIIIIIIIIIIYYXIIIX (-0.0005235820296521739+0j)
IIIIIIIIIIIXYYIIIX (0.0006906881089380934+0j)
IIIIIIIIIIZIXXZIZX (-0.006476199410346931+0j)
IIIIIIIIIIIZYYIIZX (-0.004909338365351211+0j)
IIIIIIIIIIZIXYZIIY (-0.0015668610449957182+0j)
IIIIIIIIIIIZYXIIZY (-0.0015668610449957182+0j)
IIIIIIIIIIZIXXZIIX (0.004909338365351211+0j)
IIIIIIIIIIIZYYIIIX (0.006476199410346931+0j)
IIIIIIXIXYYIXZZIZX (-0.005825045051519881+0j)
IIIIIIXIXXYIYIZIZX (0.004460092242880329+0j)
IIIIIIXIXYYIYIZIIY (-0.0013649528086395538+0j)
IIIIIIXIXXYIXZZIZY (0.0013649528086395538+0j)
IIIIIIXIXYYIXZZIIX (0.004460092242880329+0j)
IIIIIIXIXXYIYIZIIX (-0.005825045051519881+0j)
IIIIIIIYYZIIIIIIZX (-0.007259619431390433+0j)
IIIIIIIXXIIIIIIIZX (-0.007259619431390433+0j)
IIIIIIIYYZIIIIIIIX (0.007259619431390433+0j)
IIIIIIIXXIIIIIIIIX (0.007259619431390433+0j)
IIIYZIYIXZIIIIIIZX (-0.0018252552043683604+0j)
