Bravyi-Kitaev mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-88.68589203916153+0j)
IIIIIIIIIIIIIIIIIIIZ (9.57074420118836+0j)
IIIIIIIIIIIIIIIIIYYX (0.09759550977264858+0j)
IIIIIIIIIIIIIIIIIXYY (-0.09759550977264858+0j)
IIIIIIIIIIIIIYZIYIXX (-0.04038027817296736+0j)
IIIIIIIIIIIIIXZIYIXY (0.04038027817296736+0j)
IIIIIIIIIIIIIIIIIIZZ (9.570705362425882+0j)
IIIIIIIIIIIIIIIIZIXZ (0.09492972873996622+0j)
IIIIIIIIIIIIIIIIIZXI (-0.09492972873996622+0j)
IIIIIIIIXIYIYIIIXIXZ (0.05437775105655278+0j)
IIIIIIIIXIXZYIIIXIYI (-0.05437775105655278+0j)
IIIIIIIIIIIIIIIIIZII (1.758045344695242+0j)
IIIIIIIIIIIIIYZIYXZI (-0.09785733098570021+0j)
IIIIIIIIIIIIIXZIYYZI (0.09785733098570021+0j)
IIIIIIIIIIIIIIIIZZZI (1.3322280715825412+0j)
IIIIIIIIXIYIYIIIXZZI (0.08912755993526918+0j)
IIIIIIIIXIXZYIIIYIII (-0.08912755993526918+0j)
IIIIIIIIIIIIIIIZIIII (1.2998922605229377+0j)
IIIIIIIIIIIIIIZZIIII (1.2998922605229373+0j)
IIIIIIIIIIIIIZIIIIII (1.2629464143827975+0j)
IIIIIIIIIIIIZZZIZIII (1.1564778736442551+0j)
IIIIIIIIIIIZIIIIIIII (1.156477873644255+0j)
IIIIIIIIIIZZIIIIIIII (1.051607757453741+0j)
IIIIIIIIIZIIIIIIIIII (9.57074420118836+0j)
IIIIIIXYYXZIIIIIIIII (0.0975955097726485+0j)
IIIIIIXXYYZIIIIIIIII (-0.0975955097726485+0j)
XIXYYIIIXXZIZIIIIIII (-0.04038027817296728+0j)
XIXXYIIIXYZIZIIIIIII (0.04038027817296728+0j)
IIIIIIIIZZZIIIIIIIII (9.570705362425882+0j)
IIIIIIYIYZZIIIIIIIII (-0.09492972873996605+0j)
IIIIIIXZXIIIIIIIIIII (-0.09492972873996605+0j)
YIIIYIIIXZZIZIIIIIII (0.054377751056552785+0j)
XZZIYIIIYIIIZIIIIIII (-0.054377751056552785+0j)
IIIIIIIZIIIIIIIIIIII (1.75804534469524+0j)
XIXYYIXXZIIIZIIIIIII (-0.09785733098570032+0j)
XIXXYIXYZIIIZIIIIIII (0.09785733098570032+0j)
IIIIIIZZIIIIIIIIIIII (1.3322280715825399+0j)
YIIIYIXZZIIIZIIIIIII (0.08912755993526922+0j)
XZZIYIYIZIIIZIIIIIII (-0.08912755993526922+0j)
IIIIIZIIIIIIIIIIIIII (1.2998922605229386+0j)
IIIIZZZIZIIIZIIIIIII (1.2998922605229375+0j)
IIIZIIIIIIIIIIIIIIII (1.2629464143827973+0j)
IIZZIIIIIIIIIIIIIIII (1.1564778736442545+0j)
IZIIIIIIIIIIIIIIIIII (1.156477873644255+0j)
ZZZIIIIIIIIIIIIIIIII (1.05160775745374+0j)
IIIIIIIIIIIIIIIIIIZI (0.1121126175349933+0j)
IIIIIIIIIIIIIIIIZIXI (0.0013604888687186664+0j)
IIIIIIIIIIIIIIIIIZXZ (-0.0013604888687186664+0j)
IIIIIIIIXIYIYIIIXIXI (-0.004120182298332435+0j)
IIIIIIIIXIXZYIIIXIYZ (0.004120182298332435+0j)
IIIIIIIIIIIIIIIIIZIZ (0.18176436380549638+0j)
IIIIIIIIIIIIIYZIYXZZ (-0.0161943488414977+0j)
IIIIIIIIIIIIIXZIYYZZ (0.0161943488414977+0j)
IIIIIIIIIIIIIIIIZZZZ (0.15790683567958028+0j)
IIIIIIIIXIYIYIIIXZZZ (0.009733423916128942+0j)
IIIIIIIIXIXZYIIIYIIZ (-0.009733423916128942+0j)
IIIIIIIIIIIIIIIZIIIZ (0.16641899805153143+0j)
IIIIIIIIIIIIIIZZIIIZ (0.16641899805153146+0j)
IIIIIIIIIIIIIZIIIIIZ (0.1654647548931934+0j)
IIIIIIIIIIIIZZZIZIIZ (0.17496845480045622+0j)
IIIIIIIIIIIZIIIIIIIZ (0.17496845480045617+0j)
IIIIIIIIIIZZIIIIIIIZ (0.20876446457325074+0j)
IIIIIIIIIZIIIIIIIIIZ (0.5728157803499955+0j)
IIIIIIXYYXZIIIIIIIIZ (0.04704927383639873+0j)
IIIIIIXXYYZIIIIIIIIZ (-0.04704927383639873+0j)
XIXYYIIIXXZIZIIIIIIZ (-0.02067393093802241+0j)
XIXXYIIIXYZIZIIIIIIZ (0.02067393093802241+0j)
IIIIIIIIZZZIIIIIIIIZ (0.572567882563959+0j)
IIIIIIYIYZZIIIIIIIIZ (-0.04865651975687317+0j)
IIIIIIXZXIIIIIIIIIIZ (-0.04865651975687317+0j)
YIIIYIIIXZZIZIIIIIIZ (0.031366226907822044+0j)
XZZIYIIIYIIIZIIIIIIZ (-0.031366226907822044+0j)
IIIIIIIZIIIIIIIIIIIZ (0.18907307170357898+0j)
XIXYYIXXZIIIZIIIIIIZ (-0.014449387855912672+0j)
XIXXYIXYZIIIZIIIIIIZ (0.014449387855912672+0j)
IIIIIIZZIIIIIIIIIIIZ (0.16529634987557326+0j)
YIIIYIXZZIIIZIIIIIIZ (0.013439165236023773+0j)
XZZIYIYIZIIIZIIIIIIZ (-0.013439165236023773+0j)
IIIIIZIIIIIIIIIIIIIZ (0.16886935036039094+0j)
IIIIZZZIZIIIZIIIIIIZ (0.16886935036039097+0j)
IIIZIIIIIIIIIIIIIIIZ (0.16896757414787233+0j)
IIZZIIIIIIIIIIIIIIIZ (0.17831553892650417+0j)
IZIIIIIIIIIIIIIIIIIZ (0.17831553892650412+0j)
ZZZIIIIIIIIIIIIIIIIZ (0.2170386328029026+0j)
IIIIIIIIIIIIIIIIIYXY (-0.001304360751714452+0j)
IIIIIIIIIIIIIIIIIXXX (-0.001304360751714452+0j)
IIIIIIIIIIIIIYZIYIYY (0.0032170758942036866+0j)
IIIIIIIIIIIIIXZIYIYX (0.0032170758942036866+0j)
IIIIIIIIIIIIIIIIZXIX (-0.041049926193601004+0j)
IIIIIIIIIIIIIIIIIXZX (0.041079142442170584+0j)
IIIIIIIIIIIIIIIIZYZY (2.921624856958016e-05+0j)
IIIIIIIIIIIIIIIIIYZY (2.921624856958016e-05+0j)
IIIIIIIIIIIIIIIIZXZX (0.041079142442170584+0j)
IIIIIIIIIIIIIIIIIXIX (-0.041049926193601004+0j)
IIIIIIIIXIYIYIIIXXIX (-0.048060007566624645+0j)
IIIIIIIIXIXZYIIIXYIX (0.04797833804713857+0j)
IIIIIIIIXIYIYIIIXYZY (-8.166951948607518e-05+0j)
IIIIIIIIXIXZYIIIXXIY (8.166951948607518e-05+0j)
IIIIIIIIXIYIYIIIXXZX (0.04797833804713857+0j)
IIIIIIIIXIXZYIIIXYZX (-0.048060007566624645+0j)
IIIIIIIIIIIIIYZIYZIX (-0.05836127795867041+0j)
IIIIIIIIIIIIIXZIXIZX (-0.05843788484628074+0j)
IIIIIIIIIIIIIYZIXIIY (-7.660688761034797e-05+0j)
IIIIIIIIIIIIIXZIYZIY (-7.660688761034797e-05+0j)
IIIIIIIIIIIIIYZIYZZX (0.05843788484628074+0j)
IIIIIIIIIIIIIXZIXIIX (0.05836127795867041+0j)
IIIIIIIIIIIIZIXXZIZX (-0.01420528597498907+0j)
IIIIIIIIIIIIIZYYIIZX (-0.014181064958079512+0j)
IIIIIIIIIIIIZIXYZIIY (-2.422101690955909e-05+0j)
IIIIIIIIIIIIIZYXIIZY (-2.422101690955909e-05+0j)
IIIIIIIIIIIIZIXXZIIX (0.014181064958079512+0j)
IIIIIIIIIIIIIZYYIIIX (0.01420528597498907+0j)
IIIIIIIIXIXYYIXXZIZX (-0.0669548333610661+0j)
IIIIIIIIXIXXYIXYZIZX (0.06684067063643877+0j)
IIIIIIIIXIXYYIXYZIIY (-0.00011416272462732441+0j)
IIIIIIIIXIXXYIXXZIZY (0.00011416272462732441+0j)
IIIIIIIIXIXYYIXXZIIX (0.06684067063643877+0j)
IIIIIIIIXIXXYIXYZIIX (-0.0669548333610661+0j)
IIIIIIIIIIIIZIXZZIZX (0.0669548333610661+0j)
IIIIIIIIIIIIIZXIIIZX (-0.06684067063643877+0j)
IIIIIIIIIIIIZIYIZIIY (0.00011416272462732441+0j)
IIIIIIIIIIIIIZYZIIZY (0.00011416272462732441+0j)
IIIIIIIIIIIIZIXZZIIX (-0.06684067063643877+0j)
IIIIIIIIIIIIIZXIIIIX (0.0669548333610661+0j)
IIIIIIIIXIXYYIXZZIZX (-0.014205285974989058+0j)
IIIIIIIIXIXXYIYIZIZX (0.014181064958079501+0j)
IIIIIIIIXIXYYIYIZIIY (-2.422101690955909e-05+0j)
IIIIIIIIXIXXYIXZZIZY (2.422101690955909e-05+0j)
IIIIIIIIXIXYYIXZZIIX (0.014181064958079501+0j)
IIIIIIIIXIXXYIYIZIIX (-0.014205285974989058+0j)
IIIIIIIIXIYIYXZIZIZX (-0.05031782975903119+0j)
IIIIIIIIXIXZYYZIZIZX (0.050089820639394114+0j)
IIIIIIIIXIYIYYZIZIIY (-0.0002280091196370619+0j)
IIIIIIIIXIXZYXZIZIZY (0.0002280091196370619+0j)
IIIIIIIIXIYIYXZIZIIX (0.050089820639394114+0j)
IIIIIIIIXIXZYYZIZIIX (-0.05031782975903119+0j)
IIIIIIIIZXZIIIIIIIZX (0.4604552650289656+0j)
IIIIIIIIIXIIIIIIIIZX (-0.4604552650289656+0j)
IIIIIIIIZXZIIIIIIIIX (-0.4604552650289656+0j)
IIIIIIIIIXIIIIIIIIIX (0.4604552650289656+0j)
IIIIIIYIYXZIIIIIIIZX (-0.0472960308881545+0j)
IIIIIIXZYYZIIIIIIIZX (0.0472960308881545+0j)
IIIIIIYIYXZIIIIIIIIX (0.0472960308881545+0j)
IIIIIIXZYYZIIIIIIIIX (-0.0472960308881545+0j)
YIIIYIIIXXZIZIIIIIZX (0.03548640920615448+0j)
XZZIYIIIXYZIZIIIIIZX (-0.03548640920615448+0j)
YIIIYIIIXXZIZIIIIIIX (-0.03548640920615448+0j)
XZZIYIIIXYZIZIIIIIIX (0.03548640920615448+0j)
IIIIIIXYYZZIIIIIIIZX (0.048301291941909075+0j)
IIIIIIXXXIIIIIIIIIZX (0.048301291941909075+0j)
IIIIIIXYYZZIIIIIIIIX (-0.048301291941909075+0j)
IIIIIIXXXIIIIIIIIIIX (-0.048301291941909075+0j)
XIXYYIIIXZZIZIIIIIZX (-0.01746875664740358+0j)
XIXXYIIIYIIIZIIIIIZX (0.01746875664740358+0j)
XIXYYIIIXZZIZIIIIIIX (0.01746875664740358+0j)
XIXXYIIIYIIIZIIIIIIX (-0.01746875664740358+0j)
IIIIIIZXIIIIIIIIIIZX (-0.04762158780624753+0j)
IIIIIIIXIIIIIIIIIIZX (0.04762158780624753+0j)
IIIIIIZXIIIIIIIIIIIX (0.04762158780624753+0j)
IIIIIIIXIIIIIIIIIIIX (-0.04762158780624753+0j)
YIIIYIXXZIIIZIIIIIZX (-0.05435630309672123+0j)
XZZIYIXYZIIIZIIIIIZX (0.05435630309672123+0j)
YIIIYIXXZIIIZIIIIIIX (0.05435630309672123+0j)
XZZIYIXYZIIIZIIIIIIX (-0.05435630309672123+0j)
XIXYYIXZZIIIZIIIIIZX (-0.062116581255610204+0j)
XIXXYIYIZIIIZIIIIIZX (0.062116581255610204+0j)
XIXYYIXZZIIIZIIIIIIX (0.062116581255610204+0j)
XIXXYIYIZIIIZIIIIIIX (-0.062116581255610204+0j)
XIYIYXZIZIIIZIIIIIZX (0.014787925912956664+0j)
XIXZYYZIZIIIZIIIIIZX (-0.014787925912956664+0j)
XIYIYXZIZIIIZIIIIIIX (-0.014787925912956664+0j)
XIXZYYZIZIIIZIIIIIIX (0.014787925912956664+0j)
XYZIYXZIZIIIZIIIIIZX (-0.06970103361530998+0j)
XXZIYYZIZIIIZIIIIIZX (0.06970103361530998+0j)
XYZIYXZIZIIIZIIIIIIX (0.06970103361530998+0j)
XXZIYYZIZIIIZIIIIIIX (-0.06970103361530998+0j)
XIYIYZZIZIIIZIIIIIZX (-0.06970103361530998+0j)
XIXZXIIIIIIIIIIIIIZX (-0.06970103361530998+0j)
XIYIYZZIZIIIZIIIIIIX (0.06970103361530998+0j)
XIXZXIIIIIIIIIIIIIIX (0.06970103361530998+0j)
XYZIYZZIZIIIZIIIIIZX (-0.014787925912956652+0j)
XXZIXIIIIIIIIIIIIIZX (-0.014787925912956652+0j)
XYZIYZZIZIIIZIIIIIIX (0.014787925912956652+0j)
XXZIXIIIIIIIIIIIIIIX (0.014787925912956652+0j)
ZIXXIIIIIIIIIIIIIIZX (0.0515475014993299+0j)
IZYYIIIIIIIIIIIIIIZX (0.0515475014993299+0j)
ZIXXIIIIIIIIIIIIIIIX (-0.0515475014993299+0j)
IZYYIIIIIIIIIIIIIIIX (-0.0515475014993299+0j)
IIIIIIIIIIIIIYZIYZXX (-0.004086626093112628+0j)
IIIIIIIIIIIIIXZIYZXY (0.004086626093112628+0j)
IIIIIIIIIIIIIIIIZXXX (-0.001649795205555903+0j)
IIIIIIIIIIIIIIIIZYXY (-0.001649795205555903+0j)
IIIIIIIIXIYIYIIIXXXX (0.0026576383792331682+0j)
IIIIIIIIXIXZYIIIYYYX (0.00338299876366127+0j)
IIIIIIIIXIYIYIIIYXYX (-0.0007253603844281012+0j)
IIIIIIIIXIXZYIIIXXXY (0.0007253603844281012+0j)
IIIIIIIIXIYIYIIIXYXY (0.00338299876366127+0j)
IIIIIIIIXIXZYIIIYXYY (-0.0026576383792331682+0j)
IIIIIIIIIIIIIIIZIYYX (0.004529238759663339+0j)
IIIIIIIIIIIIIIIZIXYY (-0.004529238759663339+0j)
IIIIIIIIIIIIIIZZIYYX (0.004529238759663349+0j)
IIIIIIIIIIIIIIZZIXYY (-0.004529238759663349+0j)
IIIIIIIIIIIIIZIIIYYX (0.0051989232484663936+0j)
IIIIIIIIIIIIIZIIIXYY (-0.0051989232484663936+0j)
IIIIIIIIIIIIZZZIZYYX (0.004824226541521598+0j)
IIIIIIIIIIIIZZZIZXYY (-0.004824226541521598+0j)
IIIIIIIIIIIZIIIIIYYX (0.004824226541521598+0j)
IIIIIIIIIIIZIIIIIXYY (-0.004824226541521598+0j)
IIIIIIIIIIZZIIIIIYYX (0.003201820887447443+0j)
IIIIIIIIIIZZIIIIIXYY (-0.003201820887447443+0j)
IIIIIIIIIZIIIIIIIYYX (0.04704927383639873+0j)
IIIIIIIIIZIIIIIIIXYY (-0.04704927383639873+0j)
IIIIIIXYYXZIIIIIIYYX (0.007308707898082613+0j)
IIIIIIXXYYZIIIIIIYYX (-0.007308707898082613+0j)
IIIIIIXYYXZIIIIIIXYY (-0.007308707898082613+0j)
IIIIIIXXYYZIIIIIIXYY (0.007308707898082613+0j)
XIXYYIIIXXZIZIIIIYYX (-0.0017449609855850266+0j)
XIXXYIIIXYZIZIIIIYYX (0.0017449609855850266+0j)
XIXYYIIIXXZIZIIIIXYY (0.0017449609855850266+0j)
XIXXYIIIXYZIZIIIIXYY (-0.0017449609855850266+0j)
IIIIIIIIZZZIIIIIIYYX (0.04699693119019462+0j)
