Jordan-Wigner mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIII (-54.90718292900202+0j)
IIIIIIIIIIIIIIIIIZ (8.886024862326945+0j)
IIIIIIIIIIIIIIIYZY (-0.04491272011437132+0j)
IIIIIIIIIIIIIIIXZX (-0.04491272011437132+0j)
IIIIIIIIIYZZZZZZZY (0.027131706447061726+0j)
IIIIIIIIIXZZZZZZZX (0.027131706447061726+0j)
IIIIIIIIIIIIIIIIZI (1.3872079091861633+0j)
IIIIIIIIIIIIYZZZYI (0.06721359428828919+0j)
IIIIIIIIIIIIXZZZXI (0.06721359428828919+0j)
IIIIIIIIIIIIIIIZII (1.0090248860273874+0j)
IIIIIIIIIYZZZZZYII (0.06595497078311655+0j)
IIIIIIIIIXZZZZZXII (0.06595497078311655+0j)
IIIIIIIIIIIIIIZIII (0.9646039121110119+0j)
IIIIIIIIIIIIIZIIII (0.9646039121110129+0j)
IIIIIIIIIIIIZIIIII (0.9285140853417281+0j)
IIIIIIIIIIIZIIIIII (0.8031938799172929+0j)
IIIIIIIIIIZIIIIIII (0.8031938799172931+0j)
IIIIIIIIIZIIIIIIII (0.6258046600775833+0j)
IIIIIIIIZIIIIIIIII (8.886024862326945+0j)
IIIIIIYZYIIIIIIIII (-0.044912720114371266+0j)
IIIIIIXZXIIIIIIIII (-0.044912720114371266+0j)
YZZZZZZZYIIIIIIIII (0.02713170644706171+0j)
XZZZZZZZXIIIIIIIII (0.02713170644706171+0j)
IIIIIIIZIIIIIIIIII (1.3872079091861633+0j)
IIIYZZZYIIIIIIIIII (0.06721359428828903+0j)
IIIXZZZXIIIIIIIIII (0.06721359428828903+0j)
IIIIIIZIIIIIIIIIII (1.0090248860273872+0j)
YZZZZZYIIIIIIIIIII (0.0659549707831165+0j)
XZZZZZXIIIIIIIIIII (0.0659549707831165+0j)
IIIIIZIIIIIIIIIIII (0.9646039121110126+0j)
IIIIZIIIIIIIIIIIII (0.9646039121110129+0j)
IIIZIIIIIIIIIIIIII (0.9285140853417287+0j)
IIZIIIIIIIIIIIIIII (0.8031938799172923+0j)
IZIIIIIIIIIIIIIIII (0.8031938799172917+0j)
ZIIIIIIIIIIIIIIIII (0.6258046600775831+0j)
IIIIIIIIIIIIIIIIZZ (0.18184218909684127+0j)
IIIIIIIIIIIIYZZZYZ (0.016299813290948408+0j)
IIIIIIIIIIIIXZZZXZ (0.016299813290948408+0j)
IIIIIIIIIIIIIIIZIZ (0.1578549902331414+0j)
IIIIIIIIIYZZZZZYIZ (0.009863451752189173+0j)
IIIIIIIIIXZZZZZXIZ (0.009863451752189173+0j)
IIIIIIIIIIIIIIZIIZ (0.16652395583568178+0j)
IIIIIIIIIIIIIZIIIZ (0.166523955835682+0j)
IIIIIIIIIIIIZIIIIZ (0.1656357855424571+0j)
IIIIIIIIIIIZIIIIIZ (0.1748260922177339+0j)
IIIIIIIIIIZIIIIIIZ (0.17482609221773385+0j)
IIIIIIIIIZIIIIIIIZ (0.20855379680534172+0j)
IIIIIIIIZIIIIIIIIZ (0.5723205932136648+0j)
IIIIIIYZYIIIIIIIIZ (-0.048626774871797944+0j)
IIIIIIXZXIIIIIIIIZ (-0.048626774871797944+0j)
YZZZZZZZYIIIIIIIIZ (0.03129537529369652+0j)
XZZZZZZZXIIIIIIIIZ (0.03129537529369652+0j)
IIIIIIIZIIIIIIIIIZ (0.18910180852823172+0j)
IIIYZZZYIIIIIIIIIZ (0.014474558086580049+0j)
IIIXZZZXIIIIIIIIIZ (0.014474558086580049+0j)
IIIIIIZIIIIIIIIIIZ (0.1652717163256183+0j)
YZZZZZYIIIIIIIIIIZ (0.013463799468341772+0j)
XZZZZZXIIIIIIIIIIZ (0.013463799468341772+0j)
IIIIIZIIIIIIIIIIIZ (0.16888066155027345+0j)
IIIIZIIIIIIIIIIIIZ (0.16888066155027368+0j)
IIIZIIIIIIIIIIIIIZ (0.16894668781783687+0j)
IIZIIIIIIIIIIIIIIZ (0.17832008178762507+0j)
IZIIIIIIIIIIIIIIIZ (0.178320081787625+0j)
ZIIIIIIIIIIIIIIIIZ (0.2170620036744616+0j)
IIIIIIIIIIIIIIIYIY (-0.0020576292850909912+0j)
IIIIIIIIIIIIIIIXIX (-0.0020576292850909912+0j)
IIIIIIIIIYZZZZZZIY (-0.006000982033088428+0j)
IIIIIIIIIXZZZZZZIX (-0.006000982033088428+0j)
IIIIIIIIIIIIYZZYYY (0.0032445497452893057+0j)
IIIIIIIIIIIIXZZXYY (0.0041417728435421625+0j)
IIIIIIIIIIIIYZZXXY (-0.0008972230982528564+0j)
IIIIIIIIIIIIXZZYYX (-0.0008972230982528564+0j)
