Jordan-Wigner mapping of N2 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-88.68589203916153+0j)
IIIIIIIIIIIIIIIIIIIZ (9.57074420118836+0j)
IIIIIIIIIIIIIIIIIYZY (0.09759550977264858+0j)
IIIIIIIIIIIIIIIIIXZX (0.09759550977264858+0j)
IIIIIIIIIIIIIYZZZZZY (-0.04038027817296736+0j)
IIIIIIIIIIIIIXZZZZZX (-0.04038027817296736+0j)
IIIIIIIIIIIIIIIIIIZI (9.570705362425882+0j)
IIIIIIIIIIIIIIIIYZYI (-0.09492972873996622+0j)
IIIIIIIIIIIIIIIIXZXI (-0.09492972873996622+0j)
IIIIIIIIIIYZZZZZZZYI (0.05437775105655278+0j)
IIIIIIIIIIXZZZZZZZXI (0.05437775105655278+0j)
IIIIIIIIIIIIIIIIIZII (1.758045344695242+0j)
IIIIIIIIIIIIIYZZZYII (-0.09785733098570021+0j)
IIIIIIIIIIIIIXZZZXII (-0.09785733098570021+0j)
IIIIIIIIIIIIIIIIZIII (1.3322280715825412+0j)
IIIIIIIIIIYZZZZZYIII (0.08912755993526918+0j)
IIIIIIIIIIXZZZZZXIII (0.08912755993526918+0j)
IIIIIIIIIIIIIIIZIIII (1.2998922605229377+0j)
IIIIIIIIIIIIIIZIIIII (1.2998922605229373+0j)
IIIIIIIIIIIIIZIIIIII (1.2629464143827975+0j)
IIIIIIIIIIIIZIIIIIII (1.1564778736442551+0j)
IIIIIIIIIIIZIIIIIIII (1.156477873644255+0j)
IIIIIIIIIIZIIIIIIIII (1.051607757453741+0j)
IIIIIIIIIZIIIIIIIIII (9.57074420118836+0j)
IIIIIIIYZYIIIIIIIIII (0.0975955097726485+0j)
IIIIIIIXZXIIIIIIIIII (0.0975955097726485+0j)
IIIYZZZZZYIIIIIIIIII (-0.04038027817296728+0j)
IIIXZZZZZXIIIIIIIIII (-0.04038027817296728+0j)
IIIIIIIIZIIIIIIIIIII (9.570705362425882+0j)
IIIIIIYZYIIIIIIIIIII (-0.09492972873996605+0j)
IIIIIIXZXIIIIIIIIIII (-0.09492972873996605+0j)
YZZZZZZZYIIIIIIIIIII (0.054377751056552785+0j)
XZZZZZZZXIIIIIIIIIII (0.054377751056552785+0j)
IIIIIIIZIIIIIIIIIIII (1.75804534469524+0j)
IIIYZZZYIIIIIIIIIIII (-0.09785733098570032+0j)
IIIXZZZXIIIIIIIIIIII (-0.09785733098570032+0j)
IIIIIIZIIIIIIIIIIIII (1.3322280715825399+0j)
YZZZZZYIIIIIIIIIIIII (0.08912755993526922+0j)
XZZZZZXIIIIIIIIIIIII (0.08912755993526922+0j)
IIIIIZIIIIIIIIIIIIII (1.2998922605229386+0j)
IIIIZIIIIIIIIIIIIIII (1.2998922605229375+0j)
