Bravyi-Kitaev mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-45.692878261398114+0j)
IIIIIIIIIIIIIIIZ (9.122162595582816+0j)
IIIIIIIIIIIIIIZX (-0.09039952967250456+0j)
IIIIIIIIIIIIIIIX (0.09039952967250456+0j)
IIIIIIIIIIIIIYYX (2.0559363671902127e-07+0j)
IIIIIIIIIIIIIXYY (-2.0559363671902127e-07+0j)
IIIIIIIIIIXYYIXX (0.030101427447727706+0j)
IIIIIIIIIIXXYIXY (-0.030101427447727706+0j)
IIIIIIIIIIYIYIXX (0.0693947694903371+0j)
IIIIIIIIIIXZYIXY (-0.0693947694903371+0j)
IIIIIIIIZIIIXIXX (-1.0316337207614175e-05+0j)
IIIIIIIIIZZIYIXY (-1.0316337207614175e-05+0j)
IIIIIIIIIIIIIIZZ (1.0911227262924563+0j)
IIIIIIIIIIIIIYYZ (-1.7462651942172329e-06+0j)
IIIIIIIIIIIIIXXI (-1.7462651942172329e-06+0j)
IIIIIIIIIIXYYIXZ (-0.06603220514498673+0j)
IIIIIIIIIIXXYIYI (0.06603220514498673+0j)
IIIIIIIIIIYIYIXZ (-0.213755118827608+0j)
IIIIIIIIIIXZYIYI (0.213755118827608+0j)
IIIIIIIIZIIIXIXZ (3.0973844205625656e-05+0j)
IIIIIIIIIZZIYIYI (3.0973844205625656e-05+0j)
IIIIIIIIIIIIIZII (0.7821590593236227+0j)
IIIIIIIIIIXYYXZI (1.448551524369391e-06+0j)
IIIIIIIIIIXXYYZI (-1.448551524369391e-06+0j)
IIIIIIIIIIYIYXZI (3.494458266230585e-05+0j)
IIIIIIIIIIXZYYZI (-3.494458266230585e-05+0j)
IIIIIIIIZIIIXXZI (0.2230734591761115+0j)
IIIIIIIIIZZIYYZI (0.2230734591761115+0j)
IIIIIIIIIIIIZZZI (0.7821498591591985+0j)
IIIIIIIIIYZIYZZI (-0.22307286959272576+0j)
IIIIIIIIIXZIXIII (-0.22307286959272576+0j)
IIIIIIIIIIIZIIII (0.8458010749578674+0j)
IIIIIIIIIIZXIIII (-0.08641248669942198+0j)
IIIIIIIIIIIXIIII (0.08641248669942198+0j)
IIIIIIIIZIXXZIII (-1.1979036530741609e-05+0j)
IIIIIIIIIZYYIIII (-1.1979036530741609e-05+0j)
IIIIIIIIIIZZIIII (0.4256470586993215+0j)
IIIIIIIIZIXZZIII (-7.944962838203444e-06+0j)
IIIIIIIIIZXIIIII (7.944962838203444e-06+0j)
IIIIIIIIIZIIIIII (0.44897862903333724+0j)
IIIIIIIIZZZIZIII (0.4489728949828471+0j)
IIIIIIIZIIIIIIII (9.122162595582816+0j)
IIIIIIZXIIIIIIII (-0.09039952967250456+0j)
IIIIIIIXIIIIIIII (0.09039952967250456+0j)
IIIIIYYXIIIIIIII (2.055936367189535e-07+0j)
IIIIIXYYIIIIIIII (-2.055936367189535e-07+0j)
IIXYYIXXIIIIIIII (0.030101427447727612+0j)
IIXXYIXYIIIIIIII (-0.030101427447727612+0j)
IIYIYIXXIIIIIIII (0.06939476949033688+0j)
IIXZYIXYIIIIIIII (-0.06939476949033688+0j)
ZIIIXIXXZIIIIIII (-1.0316337207614354e-05+0j)
IZZIYIXYIIIIIIII (-1.0316337207614354e-05+0j)
IIIIIIZZIIIIIIII (1.0911227262924563+0j)
IIIIIYYZIIIIIIII (-1.7462651942167992e-06+0j)
IIIIIXXIIIIIIIII (-1.7462651942167992e-06+0j)
IIXYYIXZIIIIIIII (-0.0660322051449867+0j)
IIXXYIYIIIIIIIII (0.0660322051449867+0j)
IIYIYIXZIIIIIIII (-0.21375511882760823+0j)
IIXZYIYIIIIIIIII (0.21375511882760823+0j)
ZIIIXIXZZIIIIIII (3.097384420562544e-05+0j)
IZZIYIYIIIIIIIII (3.097384420562544e-05+0j)
IIIIIZIIIIIIIIII (0.7821590593236226+0j)
IIXYYXZIIIIIIIII (1.4485515243691741e-06+0j)
IIXXYYZIIIIIIIII (-1.4485515243691741e-06+0j)
IIYIYXZIIIIIIIII (3.4944582662304984e-05+0j)
IIXZYYZIIIIIIIII (-3.4944582662304984e-05+0j)
ZIIIXXZIZIIIIIII (0.22307345917611157+0j)
