Bravyi-Kitaev mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.41294640079288+0j)
IIIIIIIIIIIZ (0.9449650198279476+0j)
IIIIIIIIIIZX (0.013665695299829039+0j)
IIIIIIIIIIIX (-0.013665695299829039+0j)
IIIIIIIIZIXX (0.029865549712647682+0j)
IIIIIIIIIZYY (0.029865549712647682+0j)
IIIIIIXYYIXX (-0.10933409724583854+0j)
IIIIIIXXYIXY (0.10933409724583854+0j)
IIIIIIIIIIZZ (0.6799028389955815+0j)
IIIIIIIIZIXZ (-0.002410273362479095+0j)
IIIIIIIIIZXI (0.002410273362479095+0j)
IIIIIIXYYIXZ (0.006477744192582821+0j)
IIIIIIXXYIYI (-0.006477744192582821+0j)
IIIIIIIIIZII (0.6693866092027922+0j)
IIIIIIYIYXZI (-0.12624606525521806+0j)
IIIIIIXZYYZI (0.12624606525521806+0j)
IIIIIIIIZZZI (0.6562634297017916+0j)
IIIIIIXYYZZI (0.04564519782382004+0j)
IIIIIIXXXIII (0.04564519782382004+0j)
IIIIIIIZIIII (0.2959897284746379+0j)
IIIIIIZZIIII (0.30213748084239345+0j)
IIIIIZIIIIII (0.9449650198279473+0j)
IIIIZXZIZIII (0.013665695299829042+0j)
IIIIIXIIIIII (-0.013665695299829042+0j)
XIYIYXZIZIII (-0.029865549712647675+0j)
XIXZYYZIZIII (0.029865549712647675+0j)
XYZIYXZIZIII (-0.10933409724583835+0j)
XXZIYYZIZIII (0.10933409724583835+0j)
IIIIZZZIZIII (0.6799028389955811+0j)
XIYIYZZIZIII (0.0024102733624790937+0j)
XIXZXIIIIIII (0.0024102733624790937+0j)
XYZIYZZIZIII (0.006477744192582828+0j)
XXZIXIIIIIII (0.006477744192582828+0j)
IIIZIIIIIIII (0.6693866092027925+0j)
ZIXXIIIIIIII (0.126246065255218+0j)
IZYYIIIIIIII (0.126246065255218+0j)
IIZZIIIIIIII (0.6562634297017914+0j)
IYYZIIIIIIII (0.045645197823820004+0j)
IXXIIIIIIIII (0.045645197823820004+0j)
IZIIIIIIIIII (0.2959897284746375+0j)
ZZZIIIIIIIII (0.30213748084239356+0j)
IIIIIIIIIIZI (0.10848581025370185+0j)
IIIIIIIIZIXI (-2.6031282169961586e-07+0j)
IIIIIIIIIZXZ (2.6031282169961586e-07+0j)
IIIIIIXYYIXI (3.1647869144284745e-06+0j)
IIIIIIXXYIYZ (-3.1647869144284745e-06+0j)
IIIIIIIIIZIZ (0.10848609088935371+0j)
