Bravyi-Kitaev mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-15.686545446509985+0j)
IIIIIIIIIIIIIZ (0.68417536457802+0j)
IIIIIIIIIIIIZX (2.2794528047693705e-07+0j)
IIIIIIIIIIIIIX (-2.2794528047693705e-07+0j)
IIIIIIIIIIZIXX (0.026514299547214737+0j)
IIIIIIIIIIIZYY (0.026514299547214737+0j)
IIIIIIIIXYYIXX (-0.06925006846899004+0j)
IIIIIIIIXXYIXY (0.06925006846899004+0j)
IIIIIIIYZIYIXX (-9.776130076455652e-06+0j)
IIIIIIIXZIYIXY (9.776130076455652e-06+0j)
IIIIIIIIIIIIZZ (0.43441264247955075+0j)
IIIIIIIIIIZIXZ (-8.145035754040554e-08+0j)
IIIIIIIIIIIZXI (8.145035754040554e-08+0j)
IIIIIIIIXYYIXZ (1.2010109598503682e-05+0j)
IIIIIIIIXXYIYI (-1.2010109598503682e-05+0j)
IIIIIIIYZIYIXZ (-0.07675806184473989+0j)
IIIIIIIXZIYIYI (0.07675806184473989+0j)
IIIIIIIIIIIZII (0.4344035208532182+0j)
IIIIIIIIYIYXZI (-0.0767580616002671+0j)
IIIIIIIIXZYYZI (0.0767580616002671+0j)
IIIIIIIIIIZZZI (0.3927119685395201+0j)
IIIIIIIIXYYZZI (0.021327589303324974+0j)
IIIIIIIIXXXIII (0.021327589303324974+0j)
IIIIIIIYZIYZZI (2.9488484915049344e-06+0j)
IIIIIIIXZIXIII (2.9488484915049344e-06+0j)
IIIIIIIIIZIIII (0.06716849995293767+0j)
IIIIIIIYYXIIII (3.855733671048918e-06+0j)
IIIIIIIXYYIIII (-3.855733671048918e-06+0j)
IIIIIIIIZZIIII (0.06473149491802037+0j)
IIIIIIIZIIIIII (0.0647193171976897+0j)
IIIIIIZZZIZIII (0.6841753645780195+0j)
IIXIXYYZZIZIII (-2.2794528047737073e-07+0j)
IIXIXXXIIIIIII (-2.2794528047737073e-07+0j)
IIXYZIYZZIZIII (-0.026514299547214727+0j)
IIXXZIXIIIIIII (-0.026514299547214727+0j)
IIYIIIYZZIZIII (-0.06925006846899008+0j)
IIXZZIXIIIIIII (-0.06925006846899008+0j)
YIZIIIYZZIZIII (-9.776130076455869e-06+0j)
XZZIIIXIIIIIII (-9.776130076455869e-06+0j)
IIIIIZIIIIIIII (0.4344126424795511+0j)
IIIYYXIIIIIIII (8.145035754040554e-08+0j)
IIIXYYIIIIIIII (-8.145035754040554e-08+0j)
IIZIXXIIIIIIII (-1.2010109598503682e-05+0j)
IIIZYYIIIIIIII (-1.2010109598503682e-05+0j)
YIYIXXIIIIIIII (-0.07675806184473996+0j)
XZYIXYIIIIIIII (0.07675806184473996+0j)
IIIIZZIIIIIIII (0.4344035208532181+0j)
XYYIXZIIIIIIII (-0.0767580616002671+0j)
XXYIYIIIIIIIII (0.0767580616002671+0j)
IIIZIIIIIIIIII (0.3927119685395203+0j)
IIZXZIIIIIIIII (-0.021327589303325005+0j)
IIIXIIIIIIIIII (0.021327589303325005+0j)
YIYXZIIIIIIIII (2.9488484915049344e-06+0j)
XZYYZIIIIIIIII (-2.9488484915049344e-06+0j)
IIZZZIIIIIIIII (0.06716849995293728+0j)
YIYZZIIIIIIIII (3.855733671050653e-06+0j)
XZXIIIIIIIIIII (3.855733671050653e-06+0j)
IZIIIIIIIIIIII (0.0647314949180202+0j)
ZZIIIIIIIIIIII (0.06471931719768952+0j)
IIIIIIIIIIIIZI (0.10848581025375134+0j)
IIIIIIIIIIZIXI (-2.603128211610113e-07+0j)
IIIIIIIIIIIZXZ (2.603128211610113e-07+0j)
IIIIIIIIXYYIXI (3.164786915100463e-06+0j)
IIIIIIIIXXYIYZ (-3.164786915100463e-06+0j)
IIIIIIIYZIYIXI (-0.01844825550390125+0j)
IIIIIIIXZIYIYZ (0.01844825550390125+0j)
IIIIIIIIIIIZIZ (0.10848609088940303+0j)
IIIIIIIIYIYXZZ (-0.01844822582854179+0j)
IIIIIIIIXZYYZZ (0.01844822582854179+0j)
IIIIIIIIIIZZZZ (0.12208627955336879+0j)
IIIIIIIIXYYZZZ (0.011677832958993422+0j)
IIIIIIIIXXXIIZ (0.011677832958993422+0j)
IIIIIIIYZIYZZZ (1.557493192133792e-06+0j)
IIIIIIIXZIXIIZ (1.557493192133792e-06+0j)
IIIIIIIIIZIIIZ (0.1127871674339366+0j)
IIIIIIIYYXIIIZ (1.2911703922864875e-06+0j)
IIIIIIIXYYIIIZ (-1.2911703922864875e-06+0j)
IIIIIIIIZZIIIZ (0.12380628920083635+0j)
IIIIIIIZIIIIIZ (0.1238075260305546+0j)
IIIIIIZZZIZIIZ (0.15322161549645805+0j)
IIXIXYYZZIZIIZ (-6.955101660452521e-07+0j)
IIXIXXXIIIIIIZ (-6.955101660452521e-07+0j)
IIXYZIYZZIZIIZ (0.004396096586198011+0j)
IIXXZIXIIIIIIZ (0.004396096586198011+0j)
IIYIIIYZZIZIIZ (-0.031723424959660615+0j)
IIXZZIXIIIIIIZ (-0.031723424959660615+0j)
YIZIIIYZZIZIIZ (-4.4383658010420455e-06+0j)
XZZIIIXIIIIIIZ (-4.4383658010420455e-06+0j)
IIIIIZIIIIIIIZ (0.1388787083862406+0j)
IIIYYXIIIIIIIZ (3.456913050084475e-07+0j)
IIIXYYIIIIIIIZ (-3.456913050084475e-07+0j)
IIZIXXIIIIIIIZ (-4.340647690584572e-06+0j)
IIIZYYIIIIIIIZ (-4.340647690584572e-06+0j)
YIYIXXIIIIIIIZ (-0.02521607802382437+0j)
XZYIXYIIIIIIIZ (0.02521607802382437+0j)
IIIIZZIIIIIIIZ (0.13887795453721813+0j)
XYYIXZIIIIIIIZ (-0.02521643980127433+0j)
XXYIYIIIIIIIIZ (0.02521643980127433+0j)
IIIZIIIIIIIIIZ (0.14591468453527617+0j)
IIZXZIIIIIIIIZ (-0.015264105849584462+0j)
IIIXIIIIIIIIIZ (0.015264105849584462+0j)
YIYXZIIIIIIIIZ (1.908486444544594e-06+0j)
XZYYZIIIIIIIIZ (-1.908486444544594e-06+0j)
IIZZZIIIIIIIIZ (0.136931355808578+0j)
YIYZZIIIIIIIIZ (-4.085209060090012e-07+0j)
XZXIIIIIIIIIIZ (-4.085209060090012e-07+0j)
IZIIIIIIIIIIIZ (0.1369809367735678+0j)
ZZIIIIIIIIIIIZ (0.13698212921958247+0j)
IIIIIIIIIIZIYY (-0.00034196138994494016+0j)
IIIIIIIIIIIZXX (-0.00034196138994494016+0j)
IIIIIIIIXYYIYY (0.02487716567171758+0j)
IIIIIIIIXXYIYX (0.02487716567171758+0j)
IIIIIIIYZIYIYY (0.006489859681043264+0j)
