Jordan-Wigner mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIII (-15.41294640079288+0j)
IIIIIIIIIIIZ (0.9449650198279476+0j)
IIIIIIIIIIYY (-0.013665695299829039+0j)
IIIIIIIIIIXX (-0.013665695299829039+0j)
IIIIIIIIYZZY (-0.029865549712647682+0j)
IIIIIIIIXZZX (-0.029865549712647682+0j)
IIIIIIIYZZZY (-0.10933409724583854+0j)
IIIIIIIXZZZX (-0.10933409724583854+0j)
IIIIIIIIIIZI (0.6799028389955815+0j)
IIIIIIIIYZYI (0.002410273362479095+0j)
IIIIIIIIXZXI (0.002410273362479095+0j)
IIIIIIIYZZYI (0.006477744192582821+0j)
IIIIIIIXZZXI (0.006477744192582821+0j)
IIIIIIIIIZII (0.6693866092027922+0j)
IIIIIIYZZYII (-0.12624606525521806+0j)
IIIIIIXZZXII (-0.12624606525521806+0j)
IIIIIIIIZIII (0.6562634297017916+0j)
IIIIIIIYYIII (0.04564519782382004+0j)
IIIIIIIXXIII (0.04564519782382004+0j)
IIIIIIIZIIII (0.2959897284746379+0j)
IIIIIIZIIIII (0.30213748084239345+0j)
IIIIIZIIIIII (0.9449650198279473+0j)
IIIIYYIIIIII (-0.013665695299829042+0j)
IIIIXXIIIIII (-0.013665695299829042+0j)
IIYZZYIIIIII (-0.029865549712647675+0j)
IIXZZXIIIIII (-0.029865549712647675+0j)
IYZZZYIIIIII (-0.10933409724583835+0j)
IXZZZXIIIIII (-0.10933409724583835+0j)
IIIIZIIIIIII (0.6799028389955811+0j)
IIYZYIIIIIII (0.0024102733624790937+0j)
IIXZXIIIIIII (0.0024102733624790937+0j)
IYZZYIIIIIII (0.006477744192582828+0j)
IXZZXIIIIIII (0.006477744192582828+0j)
IIIZIIIIIIII (0.6693866092027925+0j)
YZZYIIIIIIII (-0.126246065255218+0j)
XZZXIIIIIIII (-0.126246065255218+0j)
IIZIIIIIIIII (0.6562634297017914+0j)
IYYIIIIIIIII (0.045645197823820004+0j)
IXXIIIIIIIII (0.045645197823820004+0j)
IZIIIIIIIIII (0.2959897284746375+0j)
ZIIIIIIIIIII (0.30213748084239356+0j)
IIIIIIIIIIZZ (0.10848581025370185+0j)
IIIIIIIIYZYZ (2.6031282169961586e-07+0j)
IIIIIIIIXZXZ (2.6031282169961586e-07+0j)
IIIIIIIYZZYZ (3.1647869144284745e-06+0j)
IIIIIIIXZZXZ (3.1647869144284745e-06+0j)
IIIIIIIIIZIZ (0.10848609088935371+0j)
IIIIIIYZZYIZ (-0.01844822582853088+0j)
IIIIIIXZZXIZ (-0.01844822582853088+0j)
IIIIIIIIZIIZ (0.12208627955339334+0j)
IIIIIIIYYIIZ (0.011677832958948605+0j)
IIIIIIIXXIIZ (0.011677832958948605+0j)
IIIIIIIZIIIZ (0.11278716743387024+0j)
IIIIIIZIIIIZ (0.12380628920080962+0j)
IIIIIZIIIIIZ (0.1532216154963641+0j)
IIIIYYIIIIIZ (-6.955101661844636e-07+0j)
IIIIXXIIIIIZ (-6.955101661844636e-07+0j)
IIYZZYIIIIIZ (0.004396096586299502+0j)
IIXZZXIIIIIZ (0.004396096586299502+0j)
IYZZZYIIIIIZ (-0.03172342495963722+0j)
IXZZZXIIIIIZ (-0.03172342495963722+0j)
IIIIZIIIIIIZ (0.13887870838619845+0j)
IIYZYIIIIIIZ (3.4569130554710625e-07+0j)
IIXZXIIIIIIZ (3.4569130554710625e-07+0j)
IYZZYIIIIIIZ (4.340647689616813e-06+0j)
IXZZXIIIIIIZ (4.340647689616813e-06+0j)
IIIZIIIIIIIZ (0.1388779545371761+0j)
YZZYIIIIIIIZ (-0.025216439801225243+0j)
XZZXIIIIIIIZ (-0.025216439801225243+0j)
IIZIIIIIIIIZ (0.14591468453527678+0j)
IYYIIIIIIIIZ (0.015264105849520572+0j)
IXXIIIIIIIIZ (0.015264105849520572+0j)
IZIIIIIIIIIZ (0.1369313558085216+0j)
ZIIIIIIIIIIZ (0.13698093677353865+0j)
IIIIIIIIYZIY (-0.0003419613898698867+0j)
IIIIIIIIXZIX (-0.0003419613898698867+0j)
IIIIIIIYZZIY (-0.02487716567172257+0j)
IIIIIIIXZZIX (-0.02487716567172257+0j)
IIIIIIIIIZYY (2.6941227771262732e-08+0j)
IIIIIIIIIZXX (2.6941227771262732e-08+0j)
IIIIIIYZZYYY (0.00648737698996732+0j)
IIIIIIXZZXYY (4.1771795119237287e-07+0j)
IIIIIIYZZXXY (0.006486959272016131+0j)
IIIIIIXZZYYX (0.006486959272016131+0j)
IIIIIIYZZYXX (4.1771795119237287e-07+0j)
IIIIIIXZZXXX (0.00648737698996732+0j)
IIIIIIIIZIYY (-3.4282282457395643e-07+0j)
IIIIIIIIZIXX (-3.4282282457395643e-07+0j)
IIIIIIIYYIYY (-1.0160833583349425e-06+0j)
IIIIIIIXXIYY (-1.7709755669988256e-07+0j)
IIIIIIIYXIXY (-8.3898580163506e-07+0j)
IIIIIIIXYIYX (-8.3898580163506e-07+0j)
IIIIIIIYYIXX (-1.7709755669988256e-07+0j)
IIIIIIIXXIXX (-1.0160833583349425e-06+0j)
IIIIIIIZIIYY (2.1031862598404946e-06+0j)
IIIIIIIZIIXX (2.1031862598404946e-06+0j)
IIIIIIZIIIYY (0.006045421778902292+0j)
IIIIIIZIIIXX (0.006045421778902292+0j)
IIIIIZIIIIYY (-6.955101661844636e-07+0j)
IIIIIZIIIIXX (-6.955101661844636e-07+0j)
IIIIYYIIIIYY (0.030392898132496595+0j)
IIIIXXIIIIYY (0.030392898132496595+0j)
IIIIYYIIIIXX (0.030392898132496595+0j)
IIIIXXIIIIXX (0.030392898132496595+0j)
IIYZZYIIIIYY (-8.537848384749039e-08+0j)
IIXZZXIIIIYY (-8.537848384749039e-08+0j)
IIYZZYIIIIXX (-8.537848384749039e-08+0j)
IIXZZXIIIIXX (-8.537848384749039e-08+0j)
IYZZZYIIIIYY (-1.1758607751883384e-06+0j)
IXZZZXIIIIYY (-1.1758607751883384e-06+0j)
IYZZZYIIIIXX (-1.1758607751883384e-06+0j)
IXZZZXIIIIXX (-1.1758607751883384e-06+0j)
IIIIZIIIIIYY (-0.011340211110013175+0j)
IIIIZIIIIIXX (-0.011340211110013175+0j)
IIYZYIIIIIYY (-0.0008062968434918021+0j)
IIXZXIIIIIYY (-0.0008062968434918021+0j)
IIYZYIIIIIXX (-0.0008062968434918021+0j)
IIXZXIIIIIXX (-0.0008062968434918021+0j)
IYZZYIIIIIYY (-0.005199859187764931+0j)
IXZZXIIIIIYY (-0.005199859187764931+0j)
IYZZYIIIIIXX (-0.005199859187764931+0j)
IXZZXIIIIIXX (-0.005199859187764931+0j)
IIIZIIIIIIYY (0.01134064577183611+0j)
IIIZIIIIIIXX (0.01134064577183611+0j)
YZZYIIIIIIYY (0.010293518251262375+0j)
XZZXIIIIIIYY (0.010293518251262375+0j)
YZZYIIIIIIXX (0.010293518251262375+0j)
XZZXIIIIIIXX (0.010293518251262375+0j)
IIZIIIIIIIYY (-3.21799365247781e-07+0j)
IIZIIIIIIIXX (-3.21799365247781e-07+0j)
IYYIIIIIIIYY (-2.043620035018846e-06+0j)
IXXIIIIIIIYY (-2.043620035018846e-06+0j)
