Jordan-Wigner mapping of NH3 Hamiltonian in sto3g basis.
IIIIIIIIIIIIII (-15.686545446509985+0j)
IIIIIIIIIIIIIZ (0.68417536457802+0j)
IIIIIIIIIIIIYY (-2.2794528047693705e-07+0j)
IIIIIIIIIIIIXX (-2.2794528047693705e-07+0j)
IIIIIIIIIIYZZY (-0.026514299547214737+0j)
IIIIIIIIIIXZZX (-0.026514299547214737+0j)
IIIIIIIIIYZZZY (-0.06925006846899004+0j)
IIIIIIIIIXZZZX (-0.06925006846899004+0j)
IIIIIIIYZZZZZY (-9.776130076455652e-06+0j)
IIIIIIIXZZZZZX (-9.776130076455652e-06+0j)
IIIIIIIIIIIIZI (0.43441264247955075+0j)
IIIIIIIIIIYZYI (8.145035754040554e-08+0j)
IIIIIIIIIIXZXI (8.145035754040554e-08+0j)
IIIIIIIIIYZZYI (1.2010109598503682e-05+0j)
IIIIIIIIIXZZXI (1.2010109598503682e-05+0j)
IIIIIIIYZZZZYI (-0.07675806184473989+0j)
IIIIIIIXZZZZXI (-0.07675806184473989+0j)
IIIIIIIIIIIZII (0.4344035208532182+0j)
IIIIIIIIYZZYII (-0.0767580616002671+0j)
IIIIIIIIXZZXII (-0.0767580616002671+0j)
IIIIIIIIIIZIII (0.3927119685395201+0j)
IIIIIIIIIYYIII (0.021327589303324974+0j)
IIIIIIIIIXXIII (0.021327589303324974+0j)
IIIIIIIYZZYIII (2.9488484915049344e-06+0j)
IIIIIIIXZZXIII (2.9488484915049344e-06+0j)
IIIIIIIIIZIIII (0.06716849995293767+0j)
IIIIIIIYZYIIII (3.855733671048918e-06+0j)
IIIIIIIXZXIIII (3.855733671048918e-06+0j)
IIIIIIIIZIIIII (0.06473149491802037+0j)
IIIIIIIZIIIIII (0.0647193171976897+0j)
IIIIIIZIIIIIII (0.6841753645780195+0j)
IIIIIYYIIIIIII (-2.2794528047737073e-07+0j)
IIIIIXXIIIIIII (-2.2794528047737073e-07+0j)
IIIYZZYIIIIIII (-0.026514299547214727+0j)
IIIXZZXIIIIIII (-0.026514299547214727+0j)
IIYZZZYIIIIIII (-0.06925006846899008+0j)
IIXZZZXIIIIIII (-0.06925006846899008+0j)
YZZZZZYIIIIIII (-9.776130076455869e-06+0j)
XZZZZZXIIIIIII (-9.776130076455869e-06+0j)
IIIIIZIIIIIIII (0.4344126424795511+0j)
IIIYZYIIIIIIII (8.145035754040554e-08+0j)
IIIXZXIIIIIIII (8.145035754040554e-08+0j)
IIYZZYIIIIIIII (1.2010109598503682e-05+0j)
IIXZZXIIIIIIII (1.2010109598503682e-05+0j)
YZZZZYIIIIIIII (-0.07675806184473996+0j)
XZZZZXIIIIIIII (-0.07675806184473996+0j)
IIIIZIIIIIIIII (0.4344035208532181+0j)
IYZZYIIIIIIIII (-0.0767580616002671+0j)
IXZZXIIIIIIIII (-0.0767580616002671+0j)
IIIZIIIIIIIIII (0.3927119685395203+0j)
IIYYIIIIIIIIII (0.021327589303325005+0j)
IIXXIIIIIIIIII (0.021327589303325005+0j)
YZZYIIIIIIIIII (2.9488484915049344e-06+0j)
XZZXIIIIIIIIII (2.9488484915049344e-06+0j)
IIZIIIIIIIIIII (0.06716849995293728+0j)
YZYIIIIIIIIIII (3.855733671050653e-06+0j)
XZXIIIIIIIIIII (3.855733671050653e-06+0j)
IZIIIIIIIIIIII (0.0647314949180202+0j)
ZIIIIIIIIIIIII (0.06471931719768952+0j)
IIIIIIIIIIIIZZ (0.10848581025375134+0j)
