Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIII (-17.929044120024376+0j)
IIIIIIIIIIIIIIIZ (0.6288383968404462+0j)
IIIIIIIIZIIIXIXX (-0.05648772227958482+0j)
IIIIIIIIIZZIYIXY (-0.05648772227958482+0j)
IIIIIIIIIIIIIIZZ (0.5646814583230818+0j)
IIIIIIIIIYZIYIXZ (-0.06110582928011075+0j)
IIIIIIIIIXZIYIYI (0.06110582928011075+0j)
IIIIIIIIIIIIIZII (0.5484846117372865+0j)
IIIIIIIIIIIIZZZI (0.47957953908727957+0j)
IIIIIIIIIIIZIIII (0.48414117149051317+0j)
IIIIIIIIIIZZIIII (0.3360592731499792+0j)
IIIIIIIIIZIIIIII (0.14748183176886556+0j)
IIIIIIIIZZZIZIII (0.10746093865151814+0j)
IIIIIIIZIIIIIIII (0.6288383968404455+0j)
ZIIIXIXXZIIIIIII (-0.05648772227958485+0j)
IZZIYIXYIIIIIIII (-0.05648772227958485+0j)
IIIIIIZZIIIIIIII (0.5646814583230823+0j)
IYZIYIXZIIIIIIII (-0.06110582928011068+0j)
IXZIYIYIIIIIIIII (0.06110582928011068+0j)
IIIIIZIIIIIIIIII (0.5484846117372868+0j)
IIIIZZZIIIIIIIII (0.4795795390872801+0j)
IIIZIIIIIIIIIIII (0.4841411714905136+0j)
IIZZIIIIIIIIIIII (0.336059273149979+0j)
IZIIIIIIIIIIIIII (0.14748183176886479+0j)
ZZZIZIIIZIIIIIII (0.10746093865151873+0j)
IIIIIIIIIIIIIIZI (0.08001674537559783+0j)
IIIIIIIIIYZIYIXI (-0.01271781543316676+0j)
IIIIIIIIIXZIYIYZ (0.01271781543316676+0j)
IIIIIIIIIIIIIZIZ (0.07311431611808654+0j)
IIIIIIIIIIIIZZZZ (0.07331724492056499+0j)
IIIIIIIIIIIZIIIZ (0.09083604363857978+0j)
IIIIIIIIIIZZIIIZ (0.09092245274118506+0j)
IIIIIIIIIZIIIIIZ (0.08601578647434455+0j)
IIIIIIIIZZZIZIIZ (0.08097185312156815+0j)
IIIIIIIZIIIIIIIZ (0.10025030115059666+0j)
ZIIIXIXXZIIIIIIZ (-0.011418156076856182+0j)
IZZIYIXYIIIIIIIZ (-0.011418156076856182+0j)
IIIIIIZZIIIIIIIZ (0.09534760548636145+0j)
IYZIYIXZIIIIIIIZ (-0.008165957614392517+0j)
IXZIYIYIIIIIIIIZ (0.008165957614392517+0j)
IIIIIZIIIIIIIIIZ (0.10040829328656256+0j)
IIIIZZZIIIIIIIIZ (0.09531687734142578+0j)
IIIZIIIIIIIIIIIZ (0.0981056859711567+0j)
IIZZIIIIIIIIIIIZ (0.1022370499507782+0j)
IZIIIIIIIIIIIIIZ (0.092896694682412+0j)
ZZZIZIIIZIIIIIIZ (0.0949138526758709+0j)
IIIIIIIIZIIIXIYY (0.013544062930309103+0j)
IIIIIIIIIZZIYIYX (-0.013544062930309103+0j)
IIIIIIIIIIIIZXIX (0.0003527618071051072+0j)
IIIIIIIIIIIIIXZX (0.015700987724196487+0j)
IIIIIIIIIIIIZYZY (0.016053749531301592+0j)
IIIIIIIIIIIIIYZY (0.016053749531301592+0j)
IIIIIIIIIIIIZXZX (0.015700987724196487+0j)
IIIIIIIIIIIIIXIX (0.0003527618071051072+0j)
IIIIIIIIZXZIZIZX (-0.0023405987867509788+0j)
IIIIIIIIIXIIIIZX (0.007332910312310665+0j)
IIIIIIIIZYZIZIIY (0.004992311525559687+0j)
IIIIIIIIIYIIIIZY (0.004992311525559687+0j)
IIIIIIIIZXZIZIIX (0.007332910312310665+0j)
IIIIIIIIIXIIIIIX (-0.0023405987867509788+0j)
IIIIIIZXIIIIIIZX (0.01533086011076362+0j)
IIIIIIIXIIIIIIZX (-0.01533086011076362+0j)
IIIIIIZXIIIIIIIX (-0.01533086011076362+0j)
IIIIIIIXIIIIIIIX (0.01533086011076362+0j)
IYZIYIXXIIIIIIZX (0.004551857818774241+0j)
IXZIYIXYIIIIIIZX (-0.004551857818774241+0j)
IYZIYIXXIIIIIIIX (-0.004551857818774241+0j)
IXZIYIXYIIIIIIIX (0.004551857818774241+0j)
ZIIIXIXZZIIIIIZX (0.005258495578631763+0j)
IZZIYIYIIIIIIIZX (0.005258495578631763+0j)
ZIIIXIXZZIIIIIIX (-0.005258495578631763+0j)
IZZIYIYIIIIIIIIX (-0.005258495578631763+0j)
IIIIZXZIIIIIIIZX (0.01119742132742997+0j)
IIIIIXIIIIIIIIZX (-0.01119742132742997+0j)
IIIIZXZIIIIIIIIX (-0.01119742132742997+0j)
IIIIIXIIIIIIIIIX (0.01119742132742997+0j)
ZXZIZIIIZIIIIIZX (-0.014664466883921689+0j)
IXIIIIIIIIIIIIZX (0.014664466883921689+0j)
ZXZIZIIIZIIIIIIX (0.014664466883921689+0j)
IXIIIIIIIIIIIIIX (-0.014664466883921689+0j)
IIIIIIIIZIIIXZXX (-0.01599884484557626+0j)
IIIIIIIIIZZIYZXY (-0.01599884484557626+0j)
IIIIIIIIIYZIYXXX (0.002194261873821995+0j)
IIIIIIIIIXZIXYYX (0.0036379440316277887+0j)
IIIIIIIIIYZIXXYX (-0.005832205905449785+0j)
IIIIIIIIIXZIYXXY (-0.005832205905449785+0j)
IIIIIIIIIYZIYYXY (-0.0036379440316277887+0j)
IIIIIIIIIXZIXXYY (0.002194261873821995+0j)
IIIIIIIIIIZXIYYX (-0.02150303644911292+0j)
IIIIIIIIIIIXIYYX (0.019547503631212205+0j)
IIIIIIIIIIZYIXYX (0.001955532817900721+0j)
IIIIIIIIIIIYIYYY (-0.001955532817900721+0j)
IIIIIIIIIIZXIXYY (0.019547503631212205+0j)
IIIIIIIIIIIXIXYY (-0.02150303644911292+0j)
IIIIIYYXIIIIIYYX (0.027293977168476015+0j)
IIIIIXYYIIIIIYYX (-0.027293977168476015+0j)
IIIIIYYXIIIIIXYY (-0.027293977168476015+0j)
IIIIIXYYIIIIIXYY (0.027293977168476015+0j)
IIIIZIXZIIIIIYYX (-0.026898409051626444+0j)
IIIIIZXIIIIIIYYX (0.026898409051626444+0j)
IIIIZIXZIIIIIXYY (0.026898409051626444+0j)
IIIIIZXIIIIIIXYY (-0.026898409051626444+0j)
ZIIIXXZIZIIIIYYX (-0.001238953881856174+0j)
IZZIYYZIIIIIIYYX (-0.001238953881856174+0j)
ZIIIXXZIZIIIIXYY (0.001238953881856174+0j)
IZZIYYZIIIIIIXYY (0.001238953881856174+0j)
IYZIYZZIIIIIIYYX (-0.007914515751483773+0j)
IXZIXIIIIIIIIYYX (-0.007914515751483773+0j)
IYZIYZZIIIIIIXYY (0.007914515751483773+0j)
IXZIXIIIIIIIIXYY (0.007914515751483773+0j)
IIZXIIIIIIIIIYYX (-0.022152377953597983+0j)
IIIXIIIIIIIIIYYX (0.022152377953597983+0j)
IIZXIIIIIIIIIXYY (0.022152377953597983+0j)
IIIXIIIIIIIIIXYY (-0.022152377953597983+0j)
IIIIIIIIZIIIYZYX (0.015167957959116723+0j)
IIIIIIIIIZZIXZYY (-0.015167957959116723+0j)
IIIIZIXXIIIIZIXX (0.021999632420860785+0j)
IIIIIZYYIIIIZIXX (0.021999632420860785+0j)
IIIIZIXXIIIIIZYY (0.021999632420860785+0j)
IIIIIZYYIIIIIZYY (0.021999632420860785+0j)
