Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIII (-26.75747261175956+0j)
IIIIIIIIIIIIIIIIIIIZ (0.7994728063141963+0j)
IIIIIIIIIIIIIIIIZIXX (-0.06626870350289002+0j)
IIIIIIIIIIIIIIIIIZYY (-0.06626870350289002+0j)
IIIIIIIIXIYIYIIIXIXX (-0.037135393552265875+0j)
IIIIIIIIXIXZYIIIXIXY (0.037135393552265875+0j)
IIIIIIIIIIIIIIIIIIZZ (0.6230773864691379+0j)
IIIIIIIIXIXYYIIIXIXZ (0.07081727333733923+0j)
IIIIIIIIXIXXYIIIXIYI (-0.07081727333733923+0j)
IIIIIIIIIIIIIIIIIZII (0.5784311585548718+0j)
IIIIIIIIIIIIZIIIXXZI (0.0829205366334178+0j)
IIIIIIIIIIIIIZZIYYZI (0.0829205366334178+0j)
IIIIIIIIIIIIIIIIZZZI (0.5749936251147677+0j)
IIIIIIIIXIYIYIIIXZZI (-0.04391761592945738+0j)
IIIIIIIIXIXZYIIIYIII (0.04391761592945738+0j)
IIIIIIIIIIIIIIIZIIII (0.48701535153231335+0j)
IIIIIIIIIIIIIIZZIIII (0.5233631268031754+0j)
IIIIIIIIIIIIIZIIIIII (0.3742983375152007+0j)
IIIIIIIIIIIIZZZIZIII (0.17769720382239607+0j)
IIIIIIIIIIIZIIIIIIII (0.14002449308130469+0j)
IIIIIIIIIIZZIIIIIIII (0.1327106088348653+0j)
IIIIIIIIIZIIIIIIIIII (0.7994728063141964+0j)
IIIIIIYIYXZIIIIIIIII (0.06626870350288999+0j)
IIIIIIXZYYZIIIIIIIII (-0.06626870350288999+0j)
YIIIYIIIXXZIZIIIIIII (-0.03713539355226599+0j)
XZZIYIIIXYZIZIIIIIII (0.03713539355226599+0j)
IIIIIIIIZZZIIIIIIIII (0.6230773864691372+0j)
XYZIYIIIXZZIZIIIIIII (0.07081727333733917+0j)
XXZIYIIIYIIIZIIIIIII (-0.07081727333733917+0j)
IIIIIIIZIIIIIIIIIIII (0.5784311585548718+0j)
XIYIYIXXZIIIZIIIIIII (-0.08292053663341772+0j)
XIXZYIXYZIIIZIIIIIII (0.08292053663341772+0j)
IIIIIIZZIIIIIIIIIIII (0.5749936251147683+0j)
YIIIYIXZZIIIZIIIIIII (-0.0439176159294573+0j)
XZZIYIYIZIIIZIIIIIII (0.0439176159294573+0j)
IIIIIZIIIIIIIIIIIIII (0.48701535153231346+0j)
IIIIZZZIZIIIZIIIIIII (0.5233631268031746+0j)
IIIZIIIIIIIIIIIIIIII (0.3742983375152013+0j)
IIZZIIIIIIIIIIIIIIII (0.1776972038223965+0j)
IZIIIIIIIIIIIIIIIIII (0.1400244930813048+0j)
ZZZIIIIIIIIIIIIIIIII (0.13271060883486477+0j)
IIIIIIIIIIIIIIIIIIZI (0.07646596546678154+0j)
IIIIIIIIXIXYYIIIXIXI (0.009828126185071197+0j)
IIIIIIIIXIXXYIIIXIYZ (-0.009828126185071197+0j)
IIIIIIIIIIIIIIIIIZIZ (0.08594880613905284+0j)
IIIIIIIIIIIIZIIIXXZZ (0.017109668776795563+0j)
IIIIIIIIIIIIIZZIYYZZ (0.017109668776795563+0j)
IIIIIIIIIIIIIIIIZZZZ (0.09411177411328893+0j)
