Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIII (-51.161025573776655+0j)
IIIIIIIIIIIIIIIIIIIIIIIZ (6.241860613627146+0j)
IIIIIIIIIIIIIIIIIIIIIYYX (0.03418851810049764+0j)
IIIIIIIIIIIIIIIIIIIIIXYY (-0.03418851810049764+0j)
IIIIIIIIIIIIXIYIYIIIXIXX (-0.033333291304972756+0j)
IIIIIIIIIIIIXIXZYIIIXIXY (0.033333291304972756+0j)
IIIIIIIIIIIIIIIIIIIIIIZZ (0.8802925892751735+0j)
IIIIIIIIIIIIIIIIIIXYYIXZ (0.09731361978307432+0j)
IIIIIIIIIIIIIIIIIIXXYIYI (-0.09731361978307432+0j)
IIIIIIIIIIIIXYZIYIIIXIXZ (-0.06536532268935075+0j)
IIIIIIIIIIIIXXZIYIIIXIYI (0.06536532268935075+0j)
IIIIIIIIIIIIIIIIIIIIIZII (0.67123981438842+0j)
IIIIIIIIIIIIXIYIYIIIXXZI (0.11832894198851412+0j)
IIIIIIIIIIIIXIXZYIIIXYZI (-0.11832894198851412+0j)
IIIIIIIIIIIIIIIIIIIIZZZI (0.6242946023673475+0j)
IIIIIIIIIIIIXIXYYIIIXZZI (-0.13438065989233455+0j)
IIIIIIIIIIIIXIXXYIIIYIII (0.13438065989233455+0j)
IIIIIIIIIIIIIIIIIIIZIIII (0.6447517000862428+0j)
IIIIIIIIIIIIXYZIYIXXZIII (-0.0797967754813999+0j)
IIIIIIIIIIIIXXZIYIXYZIII (0.0797967754813999+0j)
IIIIIIIIIIIIIIIIIIZZIIII (0.526611447560935+0j)
IIIIIIIIIIIIYIIIYIXZZIII (-0.12165193850075161+0j)
IIIIIIIIIIIIXZZIYIYIZIII (0.12165193850075161+0j)
IIIIIIIIIIIIIIIIIZIIIIII (0.6075313334746058+0j)
IIIIIIIIIIIIIIIIZZZIZIII (0.470090316705288+0j)
IIIIIIIIIIIIIIIZIIIIIIII (0.2522271807906106+0j)
IIIIIIIIIIIIIIZZIIIIIIII (0.2009626958302193+0j)
IIIIIIIIIIIIIZIIIIIIIIII (0.18934441775304234+0j)
IIIIIIIIIIIIZZZIIIIIIIII (0.16477183044204702+0j)
IIIIIIIIIIIZIIIIIIIIIIII (6.241860613627146+0j)
IIIIIIIIIYYXIIIIIIIIIIII (0.034188518100497646+0j)
IIIIIIIIIXYYIIIIIIIIIIII (-0.034188518100497646+0j)
XIYIZIIIYIXXZIIIZIIIIIII (-0.033333291304972756+0j)
XIXZZIIIYIXYZIIIZIIIIIII (0.033333291304972756+0j)
IIIIIIIIIIZZIIIIIIIIIIII (0.8802925892751742+0j)
XIIIXIXYYIXZZIIIZIIIIIII (0.09731361978307436+0j)
XIIIXIXXYIYIZIIIZIIIIIII (-0.09731361978307436+0j)
XYZIZIIIYIXZZIIIZIIIIIII (-0.06536532268935079+0j)
XXZIZIIIYIYIZIIIZIIIIIII (0.06536532268935079+0j)
IIIIIIIIIZIIIIIIIIIIIIII (0.67123981438842+0j)
XIYIZIIIYXZIZIIIZIIIIIII (0.11832894198851412+0j)
XIXZZIIIYYZIZIIIZIIIIIII (-0.11832894198851412+0j)
IIIIIIIIZZZIZIIIZIIIIIII (0.6242946023673481+0j)
XIXYZIIIYZZIZIIIZIIIIIII (-0.13438065989233458+0j)
XIXXZIIIXIIIIIIIIIIIIIII (-0.13438065989233458+0j)
IIIIIIIZIIIIIIIIIIIIIIII (0.6447517000862429+0j)
IYZIYIXXIIIIIIIIIIIIIIII (-0.07979677548139993+0j)
IXZIYIXYIIIIIIIIIIIIIIII (0.07979677548139993+0j)
IIIIIIZZIIIIIIIIIIIIIIII (0.526611447560934+0j)
ZIIIXIXZIIIIIIIIIIIIIIII (0.12165193850075166+0j)
IZZIYIYIIIIIIIIIIIIIIIII (0.12165193850075166+0j)
IIIIIZIIIIIIIIIIIIIIIIII (0.6075313334746061+0j)
IIIIZZZIIIIIIIIIIIIIIIII (0.47009031670528734+0j)
IIIZIIIIIIIIIIIIIIIIIIII (0.2522271807906103+0j)
IIZZIIIIIIIIIIIIIIIIIIII (0.20096269583021958+0j)
IZIIIIIIIIIIIIIIIIIIIIII (0.1893444177530425+0j)
ZZZIZIIIIIIIIIIIIIIIIIII (0.1647718304420478+0j)
IIIIIIIIIIIIIIIIIIIIIIZI (0.14487218193261908+0j)
IIIIIIIIIIIIIIIIIIXYYIXI (0.02667189585017719+0j)
IIIIIIIIIIIIIIIIIIXXYIYZ (-0.02667189585017719+0j)
IIIIIIIIIIIIXYZIYIIIXIXI (-0.017904184090453707+0j)
IIIIIIIIIIIIXXZIYIIIXIYZ (0.017904184090453707+0j)
IIIIIIIIIIIIIIIIIIIIIZIZ (0.11717989581186909+0j)
IIIIIIIIIIIIXIYIYIIIXXZZ (0.03425380510421565+0j)
IIIIIIIIIIIIXIXZYIIIXYZZ (-0.03425380510421565+0j)
IIIIIIIIIIIIIIIIIIIIZZZZ (0.11871608803610763+0j)
IIIIIIIIIIIIXIXYYIIIXZZZ (-0.03821976426456901+0j)
IIIIIIIIIIIIXIXXYIIIYIIZ (0.03821976426456901+0j)
IIIIIIIIIIIIIIIIIIIZIIIZ (0.13775112171885776+0j)
IIIIIIIIIIIIXYZIYIXXZIIZ (-0.029449878528904867+0j)
IIIIIIIIIIIIXXZIYIXYZIIZ (0.029449878528904867+0j)
IIIIIIIIIIIIIIIIIIZZIIIZ (0.11052376938342269+0j)
IIIIIIIIIIIIYIIIYIXZZIIZ (-0.040821449482953534+0j)
IIIIIIIIIIIIXZZIYIYIZIIZ (0.040821449482953534+0j)
IIIIIIIIIIIIIIIIIZIIIIIZ (0.14671918240008772+0j)
IIIIIIIIIIIIIIIIZZZIZIIZ (0.15392231140464305+0j)
IIIIIIIIIIIIIIIZIIIIIIIZ (0.12270974198812833+0j)
IIIIIIIIIIIIIIZZIIIIIIIZ (0.11650876321672722+0j)
IIIIIIIIIIIIIZIIIIIIIIIZ (0.1171115335907457+0j)
IIIIIIIIIIIIZZZIIIIIIIIZ (0.141803252792944+0j)
IIIIIIIIIIIZIIIIIIIIIIIZ (0.4873071517473036+0j)
IIIIIIIIIYYXIIIIIIIIIIIZ (0.032413484194599024+0j)
IIIIIIIIIXYYIIIIIIIIIIIZ (-0.032413484194599024+0j)
XIYIZIIIYIXXZIIIZIIIIIIZ (-0.03942158172958571+0j)
XIXZZIIIYIXYZIIIZIIIIIIZ (0.03942158172958571+0j)
IIIIIIIIIIZZIIIIIIIIIIIZ (0.1512524227900775+0j)
XIIIXIXYYIXZZIIIZIIIIIIZ (0.02762623548859588+0j)
XIIIXIXXYIYIZIIIZIIIIIIZ (-0.02762623548859588+0j)
XYZIZIIIYIXZZIIIZIIIIIIZ (-0.02187054964743634+0j)
XXZIZIIIYIYIZIIIZIIIIIIZ (0.02187054964743634+0j)
IIIIIIIIIZIIIIIIIIIIIIIZ (0.12111715656924196+0j)
XIYIZIIIYXZIZIIIZIIIIIIZ (0.03901240161084028+0j)
XIXZZIIIYYZIZIIIZIIIIIIZ (-0.03901240161084028+0j)
IIIIIIIIZZZIZIIIZIIIIIIZ (0.11979438182690061+0j)
XIXYZIIIYZZIZIIIZIIIIIIZ (-0.039707803829877805+0j)
XIXXZIIIXIIIIIIIIIIIIIIZ (-0.039707803829877805+0j)
IIIIIIIZIIIIIIIIIIIIIIIZ (0.13948032591102738+0j)
IYZIYIXXIIIIIIIIIIIIIIIZ (-0.03048671279693151+0j)
IXZIYIXYIIIIIIIIIIIIIIIZ (0.03048671279693151+0j)
IIIIIIZZIIIIIIIIIIIIIIIZ (0.11154185234244188+0j)
ZIIIXIXZIIIIIIIIIIIIIIIZ (0.042773545658131476+0j)
IZZIYIYIIIIIIIIIIIIIIIIZ (0.042773545658131476+0j)
IIIIIZIIIIIIIIIIIIIIIIIZ (0.1490264824241476+0j)
IIIIZZZIIIIIIIIIIIIIIIIZ (0.15735398776434076+0j)
IIIZIIIIIIIIIIIIIIIIIIIZ (0.12477629274270596+0j)
IIZZIIIIIIIIIIIIIIIIIIIZ (0.12233771475036864+0j)
IZIIIIIIIIIIIIIIIIIIIIIZ (0.1212626204597928+0j)
ZZZIZIIIIIIIIIIIIIIIIIIZ (0.14556838500315206+0j)
IIIIIIIIIIIIIIIIIIIIIYXY (0.0008434384558961759+0j)
IIIIIIIIIIIIIIIIIIIIIXXX (0.0008434384558961759+0j)
IIIIIIIIIIIIXIYIYIIIXIYY (0.000676693367944593+0j)
IIIIIIIIIIIIXIXZYIIIXIYX (0.000676693367944593+0j)
IIIIIIIIIIIIIIIIIIXYYXIX (0.0024231125876219227+0j)
IIIIIIIIIIIIIIIIIIXXYYIX (-0.0026046188121036933+0j)
IIIIIIIIIIIIIIIIIIXYYYZY (-0.00018150622448177053+0j)
IIIIIIIIIIIIIIIIIIXXYXIY (0.00018150622448177053+0j)
IIIIIIIIIIIIIIIIIIXYYXZX (-0.0026046188121036933+0j)
IIIIIIIIIIIIIIIIIIXXYYZX (0.0024231125876219227+0j)
IIIIIIIIIIIIXYZIYIIIXXIX (0.0018428854068697287+0j)
IIIIIIIIIIIIXXZIYIIIXYIX (-0.0012067868105316347+0j)
IIIIIIIIIIIIXYZIYIIIXYZY (0.0006360985963380939+0j)
IIIIIIIIIIIIXXZIYIIIXXIY (-0.0006360985963380939+0j)
IIIIIIIIIIIIXYZIYIIIXXZX (-0.0012067868105316347+0j)
IIIIIIIIIIIIXXZIYIIIXYZX (0.0018428854068697287+0j)
IIIIIIIIIIIIIIIIIIYIYZIX (0.002990388216555385+0j)
IIIIIIIIIIIIIIIIIIXZXIZX (0.002410358238392699+0j)
IIIIIIIIIIIIIIIIIIYIXIIY (-0.0005800299781626868+0j)
IIIIIIIIIIIIIIIIIIXZYZIY (-0.0005800299781626868+0j)
IIIIIIIIIIIIIIIIIIYIYZZX (-0.002410358238392699+0j)
IIIIIIIIIIIIIIIIIIXZXIIX (-0.002990388216555385+0j)
IIIIIIIIIIIIYIIIYIIIXZIX (0.004633161357153095+0j)
IIIIIIIIIIIIXZZIYIIIYIZX (-0.0025374397282863386+0j)
IIIIIIIIIIIIYIIIYIIIYIIY (0.0020957216288667556+0j)
IIIIIIIIIIIIXZZIYIIIXZIY (-0.0020957216288667556+0j)
IIIIIIIIIIIIYIIIYIIIXZZX (-0.0025374397282863386+0j)
IIIIIIIIIIIIXZZIYIIIYIIX (0.004633161357153095+0j)
IIIIIIIIIIIIXIYIYIXXZIZX (-0.0017071060503127298+0j)
IIIIIIIIIIIIXIXZYIXYZIZX (0.0008699312606137737+0j)
IIIIIIIIIIIIXIYIYIXYZIIY (-0.0008371747896989561+0j)
IIIIIIIIIIIIXIXZYIXXZIZY (0.0008371747896989561+0j)
IIIIIIIIIIIIXIYIYIXXZIIX (0.0008699312606137737+0j)
IIIIIIIIIIIIXIXZYIXYZIIX (-0.0017071060503127298+0j)
IIIIIIIIIIIIXIXYYIXZZIZX (0.002430872341451772+0j)
IIIIIIIIIIIIXIXXYIYIZIZX (-0.002033433285482113+0j)
IIIIIIIIIIIIXIXYYIYIZIIY (0.00039743905596966+0j)
