Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIIIIIII (-80.08225714874858+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIIZ (6.456447352280448+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIYYX (0.07360078789394156+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXYY (-0.07360078789394156+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYIXX (0.0004595621310632226+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYIXY (-0.0004595621310632226+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXIXX (0.050492564949984206+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXIXY (-0.050492564949984206+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIZZ (6.45639688214713+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZIXZ (-0.057936837395190566+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZXI (0.057936837395190566+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXIXZ (0.06345936037279146+0j)
IIIIIIIIIIIIIIIIXXZIYIIIXIYI (-0.06345936037279146+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXIXZ (0.029958379565388597+0j)
IIIIIIIIIIIIIIXZZIIIYIIIXIYI (-0.029958379565388597+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZII (0.9180053452739414+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYXZI (0.10644687523851865+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYYZI (-0.10644687523851865+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXXZI (-0.08097085173931648+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXYZI (0.08097085173931648+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZZZI (0.7039458441239743+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXZZI (-0.14870573372167908+0j)
IIIIIIIIIIIIIIIIXXZIYIIIYIII (0.14870573372167908+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXZZI (-0.0098269722526538+0j)
IIIIIIIIIIIIIIXZZIIIYIIIYIII (0.0098269722526538+0j)
IIIIIIIIIIIIIIIIIIIIIIIZIIII (0.6462247451835716+0j)
IIIIIIIIIIIIIIIIXIYIYIXXZIII (-0.15511797128768934+0j)
IIIIIIIIIIIIIIIIXIXZYIXYZIII (0.15511797128768934+0j)
IIIIIIIIIIIIIIIIIIIIIIZZIIII (0.6864208963854153+0j)
IIIIIIIIIIIIIIIIYIIIYIXZZIII (-0.10862145763090615+0j)
IIIIIIIIIIIIIIIIXZZIYIYIZIII (0.10862145763090615+0j)
IIIIIIIIIIIIIIIIIIIIIZIIIIII (0.5489982179943328+0j)
IIIIIIIIIIIIIIXYZIIIYXZIZIII (-0.15047408711743052+0j)
IIIIIIIIIIIIIIXXZIIIYYZIZIII (0.15047408711743052+0j)
IIIIIIIIIIIIIIIIIIIIZZZIZIII (0.645412842557473+0j)
IIIIIIIIIIIIIIIIIIIZIIIIIIII (0.5242188496295745+0j)
IIIIIIIIIIIIIIIIIIZZIIIIIIII (0.2804926808512776+0j)
IIIIIIIIIIIIIIIIIZIIIIIIIIII (0.23902308815457976+0j)
IIIIIIIIIIIIIIYIYXZIIIIIIIII (-0.06228702451149268+0j)
IIIIIIIIIIIIIIXZYYZIIIIIIIII (0.06228702451149268+0j)
