Jordan-Wigner mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIIIIIII (-80.08225714874858+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIIZ (6.456447352280448+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIYZY (0.07360078789394156+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIXZX (0.07360078789394156+0j)
IIIIIIIIIIIIIIIIIIIIIIYZZZZY (0.0004595621310632226+0j)
IIIIIIIIIIIIIIIIIIIIIIXZZZZX (0.0004595621310632226+0j)
IIIIIIIIIIIIIIIIYZZZZZZZZZZY (0.050492564949984206+0j)
IIIIIIIIIIIIIIIIXZZZZZZZZZZX (0.050492564949984206+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIZI (6.45639688214713+0j)
IIIIIIIIIIIIIIIIIIIIIIIIYZYI (0.057936837395190566+0j)
IIIIIIIIIIIIIIIIIIIIIIIIXZXI (0.057936837395190566+0j)
IIIIIIIIIIIIIIIIIYZZZZZZZZYI (0.06345936037279146+0j)
IIIIIIIIIIIIIIIIIXZZZZZZZZXI (0.06345936037279146+0j)
IIIIIIIIIIIIIIYZZZZZZZZZZZYI (0.029958379565388597+0j)
IIIIIIIIIIIIIIXZZZZZZZZZZZXI (0.029958379565388597+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZII (0.9180053452739414+0j)
IIIIIIIIIIIIIIIIIIIIIIYZZYII (0.10644687523851865+0j)
IIIIIIIIIIIIIIIIIIIIIIXZZXII (0.10644687523851865+0j)
IIIIIIIIIIIIIIIIYZZZZZZZZYII (-0.08097085173931648+0j)
IIIIIIIIIIIIIIIIXZZZZZZZZXII (-0.08097085173931648+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZIII (0.7039458441239743+0j)
IIIIIIIIIIIIIIIIIYZZZZZZYIII (-0.14870573372167908+0j)
IIIIIIIIIIIIIIIIIXZZZZZZXIII (-0.14870573372167908+0j)
IIIIIIIIIIIIIIYZZZZZZZZZYIII (-0.0098269722526538+0j)
IIIIIIIIIIIIIIXZZZZZZZZZXIII (-0.0098269722526538+0j)
IIIIIIIIIIIIIIIIIIIIIIIZIIII (0.6462247451835716+0j)
IIIIIIIIIIIIIIIIIIYZZZZYIIII (-0.15511797128768934+0j)
IIIIIIIIIIIIIIIIIIXZZZZXIIII (-0.15511797128768934+0j)
IIIIIIIIIIIIIIIIIIIIIIZIIIII (0.6864208963854153+0j)
IIIIIIIIIIIIIIIIYZZZZZYIIIII (-0.10862145763090615+0j)
IIIIIIIIIIIIIIIIXZZZZZXIIIII (-0.10862145763090615+0j)
IIIIIIIIIIIIIIIIIIIIIZIIIIII (0.5489982179943328+0j)
IIIIIIIIIIIIIIIYZZZZZYIIIIII (-0.15047408711743052+0j)
IIIIIIIIIIIIIIIXZZZZZXIIIIII (-0.15047408711743052+0j)
IIIIIIIIIIIIIIIIIIIIZIIIIIII (0.645412842557473+0j)
IIIIIIIIIIIIIIIIIIIZIIIIIIII (0.5242188496295745+0j)
IIIIIIIIIIIIIIIIIIZIIIIIIIII (0.2804926808512776+0j)
IIIIIIIIIIIIIIIIIZIIIIIIIIII (0.23902308815457976+0j)
IIIIIIIIIIIIIIYZZYIIIIIIIIII (-0.06228702451149268+0j)
IIIIIIIIIIIIIIXZZXIIIIIIIIII (-0.06228702451149268+0j)
IIIIIIIIIIIIIIIIZIIIIIIIIIII (0.2312370201655612+0j)
IIIIIIIIIIIIIIIZIIIIIIIIIIII (0.21544296833046683+0j)
IIIIIIIIIIIIIIZIIIIIIIIIIIII (0.351776854884817+0j)
IIIIIIIIIIIIIZIIIIIIIIIIIIII (6.456447352280452+0j)
IIIIIIIIIIIYZYIIIIIIIIIIIIII (0.0736007878939414+0j)
IIIIIIIIIIIXZXIIIIIIIIIIIIII (0.0736007878939414+0j)
IIIIIIIIYZZZZYIIIIIIIIIIIIII (0.0004595621310632252+0j)
IIIIIIIIXZZZZXIIIIIIIIIIIIII (0.0004595621310632252+0j)
IIYZZZZZZZZZZYIIIIIIIIIIIIII (0.05049256494998424+0j)
IIXZZZZZZZZZZXIIIIIIIIIIIIII (0.05049256494998424+0j)
IIIIIIIIIIIIZIIIIIIIIIIIIIII (6.456396882147132+0j)
IIIIIIIIIIYZYIIIIIIIIIIIIIII (0.05793683739519055+0j)
IIIIIIIIIIXZXIIIIIIIIIIIIIII (0.05793683739519055+0j)
IIIYZZZZZZZZYIIIIIIIIIIIIIII (0.06345936037279153+0j)
IIIXZZZZZZZZXIIIIIIIIIIIIIII (0.06345936037279153+0j)
YZZZZZZZZZZZYIIIIIIIIIIIIIII (0.029958379565388688+0j)
XZZZZZZZZZZZXIIIIIIIIIIIIIII (0.029958379565388688+0j)
IIIIIIIIIIIZIIIIIIIIIIIIIIII (0.9180053452739417+0j)
IIIIIIIIYZZYIIIIIIIIIIIIIIII (0.10644687523851848+0j)
IIIIIIIIXZZXIIIIIIIIIIIIIIII (0.10644687523851848+0j)
IIYZZZZZZZZYIIIIIIIIIIIIIIII (-0.08097085173931654+0j)
IIXZZZZZZZZXIIIIIIIIIIIIIIII (-0.08097085173931654+0j)
IIIIIIIIIIZIIIIIIIIIIIIIIIII (0.7039458441239737+0j)
IIIYZZZZZZYIIIIIIIIIIIIIIIII (-0.148705733721679+0j)
IIIXZZZZZZXIIIIIIIIIIIIIIIII (-0.148705733721679+0j)
YZZZZZZZZZYIIIIIIIIIIIIIIIII (-0.009826972252653795+0j)
XZZZZZZZZZXIIIIIIIIIIIIIIIII (-0.009826972252653795+0j)
IIIIIIIIIZIIIIIIIIIIIIIIIIII (0.6462247451835721+0j)
IIIIYZZZZYIIIIIIIIIIIIIIIIII (-0.15511797128768962+0j)
IIIIXZZZZXIIIIIIIIIIIIIIIIII (-0.15511797128768962+0j)
IIIIIIIIZIIIIIIIIIIIIIIIIIII (0.6864208963854149+0j)
IIYZZZZZYIIIIIIIIIIIIIIIIIII (-0.10862145763090622+0j)
IIXZZZZZXIIIIIIIIIIIIIIIIIII (-0.10862145763090622+0j)
IIIIIIIZIIIIIIIIIIIIIIIIIIII (0.5489982179943326+0j)
IYZZZZZYIIIIIIIIIIIIIIIIIIII (-0.15047408711743093+0j)
IXZZZZZXIIIIIIIIIIIIIIIIIIII (-0.15047408711743093+0j)
IIIIIIZIIIIIIIIIIIIIIIIIIIII (0.6454128425574723+0j)
IIIIIZIIIIIIIIIIIIIIIIIIIIII (0.5242188496295739+0j)
IIIIZIIIIIIIIIIIIIIIIIIIIIII (0.280492680851277+0j)
IIIZIIIIIIIIIIIIIIIIIIIIIIII (0.23902308815458043+0j)
YZZYIIIIIIIIIIIIIIIIIIIIIIII (-0.062287024511492664+0j)
XZZXIIIIIIIIIIIIIIIIIIIIIIII (-0.062287024511492664+0j)
IIZIIIIIIIIIIIIIIIIIIIIIIIII (0.2312370201655634+0j)
IZIIIIIIIIIIIIIIIIIIIIIIIIII (0.2154429683304669+0j)
ZIIIIIIIIIIIIIIIIIIIIIIIIIII (0.35177685488481736+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIIZZ (0.0992524302529108+0j)
IIIIIIIIIIIIIIIIIIIIIIIIYZYZ (0.001208944169894914+0j)
IIIIIIIIIIIIIIIIIIIIIIIIXZXZ (0.001208944169894914+0j)
IIIIIIIIIIIIIIIIIYZZZZZZZZYZ (0.0008315092930533605+0j)
IIIIIIIIIIIIIIIIIXZZZZZZZZXZ (0.0008315092930533605+0j)
IIIIIIIIIIIIIIYZZZZZZZZZZZYZ (-0.004018631663877981+0j)
IIIIIIIIIIIIIIXZZZZZZZZZZZXZ (-0.004018631663877981+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZIZ (0.14484152548946946+0j)
IIIIIIIIIIIIIIIIIIIIIIYZZYIZ (0.026607424959019084+0j)
IIIIIIIIIIIIIIIIIIIIIIXZZXIZ (0.026607424959019084+0j)
IIIIIIIIIIIIIIIIYZZZZZZZZYIZ (-0.017940745644012247+0j)
IIIIIIIIIIIIIIIIXZZZZZZZZXIZ (-0.017940745644012247+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZIIZ (0.11722046481278132+0j)
IIIIIIIIIIIIIIIIIYZZZZZZYIIZ (-0.03428044867262285+0j)
IIIIIIIIIIIIIIIIIXZZZZZZXIIZ (-0.03428044867262285+0j)
IIIIIIIIIIIIIIYZZZZZZZZZYIIZ (0.0015103355904811063+0j)
IIIIIIIIIIIIIIXZZZZZZZZZXIIZ (0.0015103355904811063+0j)
IIIIIIIIIIIIIIIIIIIIIIIZIIIZ (0.11866071835670451+0j)
IIIIIIIIIIIIIIIIIIYZZZZYIIIZ (-0.038146416284262456+0j)
